,mean_abs_error_2020-04-20_2020-07-25,mean_abs_error_2020-04-27_2020-07-25,mean_abs_error_2020-05-04_2020-07-25,mean_abs_error_2020-05-11_2020-07-25,mean_abs_error_2020-05-18_2020-07-25,mean_abs_error_2020-05-25_2020-07-25,mean_abs_error_2020-06-01_2020-07-25,mean_abs_error_2020-06-08_2020-07-25,mean_abs_error_2020-06-15_2020-07-25,mean_abs_error_2020-06-22_2020-07-25,mean_abs_error_2020-06-29_2020-07-25,mean_abs_error_2020-07-06_2020-07-25,mean_abs_error_2020-07-13_2020-07-25,mean_abs_error_2020-07-20_2020-07-25,mean_sq_abs_error_2020-04-20_2020-07-25,mean_sq_abs_error_2020-04-27_2020-07-25,mean_sq_abs_error_2020-05-04_2020-07-25,mean_sq_abs_error_2020-05-11_2020-07-25,mean_sq_abs_error_2020-05-18_2020-07-25,mean_sq_abs_error_2020-05-25_2020-07-25,mean_sq_abs_error_2020-06-01_2020-07-25,mean_sq_abs_error_2020-06-08_2020-07-25,mean_sq_abs_error_2020-06-15_2020-07-25,mean_sq_abs_error_2020-06-22_2020-07-25,mean_sq_abs_error_2020-06-29_2020-07-25,mean_sq_abs_error_2020-07-06_2020-07-25,mean_sq_abs_error_2020-07-13_2020-07-25,mean_sq_abs_error_2020-07-20_2020-07-25
YYG-ParamSearch,,,,,820.0,543.1,364.9,298.7,231.6,177.9,137.7,128.6,53.2,29.4,,,,,2457823.2,1014980.4,304182.9,261688.8,209445.6,142638.2,110399.7,108699.7,19622.8,3924.1
COVIDhub-ensemble,,,,,,,,,,,98.1,104.2,68.5,27.2,,,,,,,,,,,63732.6,83354.8,24633.8,3206.3
UMass-MechBayes,,,,,,,,,,,192.0,109.2,51.8,26.5,,,,,,,,,,,452428.2,86037.8,11964.5,3215.5
OliverWyman-Navigator,,,,,,,,,,,163.4,111.8,75.8,24.5,,,,,,,,,,,106223.3,87314.9,20296.3,2055.2
LANL-GrowthRate,,,,,,,,288.3,187.9,169.3,159.7,138.3,90.2,44.8,,,,,,,,401917.4,209639.2,125806.4,167384.1,152323.1,41311.4,8745.7
UT-Mobility,,,,,,,,,,,143.0,141.0,60.8,32.4,,,,,,,,,,,80978.6,93878.6,10045.8,3928.0
UCLA-SuEIR,,,736.4,623.3,411.8,374.2,315.8,323.9,249.0,206.6,193.3,135.0,76.5,34.6,,,1594566.9,1762179.9,588412.2,464495.5,326089.3,372203.9,327043.9,232342.0,175808.3,132464.6,28134.9,5000.3
Covid19Sim-Simulator,,,,,,443.9,438.4,386.1,209.5,154.1,174.5,156.1,79.4,70.1,,,,,,688673.1,679622.8,560497.1,193864.0,131229.4,199526.4,180657.3,25561.2,22828.5
USACE-ERDC_SEIR,,,,,594.7,498.9,515.8,387.2,199.9,184.6,244.0,122.7,88.1,55.4,,,,,1026767.7,785388.0,786044.0,493782.8,164109.4,125651.0,279952.9,62618.2,27147.6,15328.7
IHME-CurveFit,1573.8,1426.9,651.1,426.8,421.2,,474.4,269.5,203.5,138.9,137.4,133.7,,78.6,6766404.1,5734835.1,1113356.5,687542.5,507269.9,,790938.6,254327.2,186369.1,67041.8,81666.3,85060.3,,19109.3
USC-SI_kJalpha,,,,,,,,,,,183.0,156.3,113.9,29.6,,,,,,,,,,,303264.0,120765.6,48681.2,2552.5
Baseline,2338.0,2055.3,1723.1,1447.4,1086.9,782.5,582.9,487.4,351.4,248.0,322.6,161.6,87.5,34.9,74200422.7,36322902.2,18862779.9,10981756.4,5800417.4,2082565.5,945275.8,743902.2,415856.4,239043.8,1157625.0,147240.0,34863.8,4779.1
UA-EpiCovDA,,,,,,,,,,,258.7,168.0,90.4,27.3,,,,,,,,,,,568456.0,168265.6,42455.3,2694.2
CovidAnalytics-DELPHI,,,,,,,,,,214.3,183.0,185.0,96.7,40.8,,,,,,,,,,163423.2,137904.1,170897.2,46360.0,6320.7
