,perc_error_2020-06-29_2020-11-14,perc_error_2020-07-06_2020-11-14,perc_error_2020-07-13_2020-11-14,perc_error_2020-07-20_2020-11-14,perc_error_2020-07-27_2020-11-14,perc_error_2020-08-03_2020-11-14,perc_error_2020-08-10_2020-11-14,perc_error_2020-08-17_2020-11-14,perc_error_2020-08-24_2020-11-14,perc_error_2020-08-31_2020-11-14,perc_error_2020-09-07_2020-11-14,perc_error_2020-09-14_2020-11-14,perc_error_2020-09-21_2020-11-14,perc_error_2020-09-28_2020-11-14,perc_error_2020-10-05_2020-11-14,perc_error_2020-10-12_2020-11-14,perc_error_2020-10-19_2020-11-14,perc_error_2020-10-26_2020-11-14,perc_error_2020-11-02_2020-11-14,perc_error_2020-11-09_2020-11-14
USC-SI_kJalpha,,,,,,,,,,,,,-0.215,-0.086,-0.178,-0.130,-0.100,0.009,-0.067,-0.076
Columbia_UNC-SurvCon,,,,,,,,,,,,,-0.302,0.187,0.181,-0.058,-0.016,0.029,-0.199,-0.063
Karlen-pypm,,,,,,,,,,,,,,,,-0.086,-0.073,0.024,-0.010,-0.003
BPagano-RtDriven,,,,,,,,,,,,,,,-0.385,-0.270,0.012,0.017,-0.073,0.010
QJHong-Encounter,,,,,,,,,,,,,,-0.084,-0.156,-0.127,-0.153,-0.110,-0.114,-0.119
JCB-PRM,,,,,,,,,,,,,-0.300,-0.248,-0.181,-0.125,-0.184,-0.110,-0.113,-0.085
Covid19Sim-Simulator,0.648,0.541,0.470,0.257,0.173,-0.065,,-0.505,-0.631,-0.340,-0.361,-0.413,-0.477,-0.351,-0.113,-0.212,-0.365,-0.089,-0.014,-0.116
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,0.061,0.043,-0.068,-0.140,-0.221
JHUAPL-Bucky,,,,,,,,,,,,,,,-0.219,-0.225,-0.172,-0.024,-0.200,-0.318
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,-0.189,-0.008,-0.034,0.022
IBF-TimeSeries,,,,,,,,,,,,,0.107,0.044,,-0.018,-0.033,0.088,0.161,0.636
CU-select,,,,,,,,,,,,,,,,,-0.069,-0.070,-0.024,0.095
OliverWyman-Navigator,,,,,,,,,,,,,,,,,-0.085,-0.042,-0.136,-0.042
UMass-MechBayes,,,,,,,,,,,,,,,,,-0.088,-0.042,-0.080,-0.095
LNQ-ens1,,,,,,,,,,,,,,,,,-0.193,-0.062,-0.069,-0.027
UA-EpiCovDA,,,,,,,,,,,,,,,,,-0.168,-0.035,-0.112,-0.098
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,-0.179,-0.048,-0.170,-0.105
COVIDhub-baseline,,,,,,,,,,,,,,,-0.214,-0.226,-0.273,-0.204,-0.260,-0.208
TTU-squider,,,,,,,,,,,,,,,,,0.170,0.197,-0.165,0.045
Baseline,-0.038,-0.419,-0.157,-0.149,0.025,0.291,0.220,0.194,0.145,0.070,0.010,-0.137,-0.096,-0.140,-0.212,-0.227,-0.286,-0.233,-0.271,-0.238
GT-DeepCOVID,,,,,,,,,,,,,,,,,-0.181,-0.145,-0.137,-0.182
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,-0.207,-0.093,-0.195,-0.132
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,-0.159,-0.142,-0.202,-0.194
COVIDhub-ensemble,,,,,,,,,,,,,,,,,-0.205,-0.168,-0.174,-0.175
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,-0.260,-0.245,-0.162,-0.161
MSRA-DeepST,,,,,,,,,,,,,,,,,-0.274,-0.179,-0.172,-0.180
UCLA-SuEIR,,,,,,,-0.435,-0.285,-0.302,-0.284,-0.347,-0.402,-0.368,-0.374,-0.305,-0.294,-0.315,-0.309,-0.282,-0.190
IowaStateLW-STEM,,-0.183,-0.206,-0.352,-0.289,-0.203,,-0.239,-0.154,-0.127,-0.221,-0.098,-0.129,-0.503,-0.250,-0.273,-0.372,-0.245,-0.263,-0.375
RobertWalraven-ESG,,,,,,,,,,,,,-0.664,,-0.639,,-0.339,-0.293,-0.086,-0.181
LANL-GrowthRate,,,,,,,,,,,,,,-0.607,-0.568,-0.532,-0.564,-0.465,-0.152,-0.064
STH-3PU,-0.685,-0.660,-0.675,0.297,0.239,1.002,-0.077,-0.083,-0.103,-0.115,-0.694,-0.196,-0.251,,-0.320,-0.295,-0.308,-0.364,-0.272,
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,-0.272,-0.284,-0.239,-0.190
UT-Mobility,,,,,,,,,,,,,,,,,-0.225,-0.216,-0.258,-0.278
IHME-CurveFit,-0.289,-0.214,,-0.091,-0.173,-0.058,0.250,,0.418,0.557,0.616,,-0.010,0.200,,,-0.214,-0.211,,
CEID-Walk,,,,,,,,,,,,,,,,,-0.271,-0.217,-0.258,-0.211
DDS-NBDS,,,,,,,,,,,,,,,,,-0.269,-0.248,-0.306,-0.163
JHU_IDD-CovidSP,,,,,,,,,,,,,,,-0.223,-0.290,-0.343,-0.405,-0.499,-0.581
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,-0.299,-0.235,-0.241,-0.289
Caltech-CS156,,,,,,,,,,,,,,,,,,,-0.218,-0.094
CovidAnalytics-DELPHI,,,,,,,,,,,,,,-0.482,-0.459,-0.422,-0.540,-0.353,-0.328,-0.329
NotreDame-mobility,,,,,,,,,,,,,,,-0.370,-0.439,-0.441,-0.372,-0.351,-0.397
PSI-DRAFT,,,,,,,,,,,,,,,-0.485,-0.466,-0.501,-0.386,-0.244,-0.340
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,,0.023
USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,,,-0.244,-0.182
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,-0.102
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,,-0.195,-0.362,-0.463
WalmartLabsML-LogForecasting,,,,,,,,,,,,,-0.480,-0.474,-0.474,-0.472,-0.486,-0.485,-0.496,-0.520
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,-0.291,-0.202
USACE-ERDC_SEIR,,,,,,,,,,,,,0.221,0.206,,0.338,,0.479,,
