,mean_abs_error_2020-04-20_2020-04-25,mean_abs_error_2020-04-27_2020-05-02,mean_abs_error_2020-05-04_2020-05-09,mean_abs_error_2020-05-11_2020-05-16,mean_abs_error_2020-05-18_2020-05-23,mean_abs_error_2020-05-25_2020-05-30,mean_abs_error_2020-06-01_2020-06-06,mean_abs_error_2020-06-08_2020-06-13,mean_abs_error_2020-06-15_2020-06-20,mean_abs_error_2020-06-22_2020-06-27,mean_abs_error_2020-06-29_2020-07-04,mean_abs_error_2020-07-06_2020-07-11,mean_abs_error_2020-07-13_2020-07-18,mean_abs_error_2020-07-20_2020-07-25,mean_abs_error_2020-07-27_2020-08-01,mean_abs_error_2020-08-03_2020-08-08,mean_abs_error_2020-08-10_2020-08-15,mean_abs_error_2020-08-17_2020-08-22,mean_abs_error_2020-08-24_2020-08-29,mean_abs_error_2020-08-31_2020-09-05,mean_abs_error_2020-09-07_2020-09-12,mean_abs_error_2020-09-14_2020-09-19,mean_abs_error_2020-09-21_2020-09-26,mean_abs_error_2020-09-28_2020-10-03,mean_abs_error_2020-10-05_2020-10-10,mean_abs_error_2020-10-12_2020-10-17,mean_abs_error_2020-10-19_2020-10-24,mean_abs_error_2020-10-26_2020-10-31,mean_sq_abs_error_2020-04-20_2020-04-25,mean_sq_abs_error_2020-04-27_2020-05-02,mean_sq_abs_error_2020-05-04_2020-05-09,mean_sq_abs_error_2020-05-11_2020-05-16,mean_sq_abs_error_2020-05-18_2020-05-23,mean_sq_abs_error_2020-05-25_2020-05-30,mean_sq_abs_error_2020-06-01_2020-06-06,mean_sq_abs_error_2020-06-08_2020-06-13,mean_sq_abs_error_2020-06-15_2020-06-20,mean_sq_abs_error_2020-06-22_2020-06-27,mean_sq_abs_error_2020-06-29_2020-07-04,mean_sq_abs_error_2020-07-06_2020-07-11,mean_sq_abs_error_2020-07-13_2020-07-18,mean_sq_abs_error_2020-07-20_2020-07-25,mean_sq_abs_error_2020-07-27_2020-08-01,mean_sq_abs_error_2020-08-03_2020-08-08,mean_sq_abs_error_2020-08-10_2020-08-15,mean_sq_abs_error_2020-08-17_2020-08-22,mean_sq_abs_error_2020-08-24_2020-08-29,mean_sq_abs_error_2020-08-31_2020-09-05,mean_sq_abs_error_2020-09-07_2020-09-12,mean_sq_abs_error_2020-09-14_2020-09-19,mean_sq_abs_error_2020-09-21_2020-09-26,mean_sq_abs_error_2020-09-28_2020-10-03,mean_sq_abs_error_2020-10-05_2020-10-10,mean_sq_abs_error_2020-10-12_2020-10-17,mean_sq_abs_error_2020-10-19_2020-10-24,mean_sq_abs_error_2020-10-26_2020-10-31
LNQ-ens1,,,,,,,,,,,,,,20.8,44.6,16.9,26.7,14.9,19.9,20.0,19.2,27.1,17.8,15.1,20.1,13.8,24.9,20.1,,,,,,,,,,,,,,1730.8,17057.6,1353.8,3701.9,837.1,1175.9,1089.6,1586.8,2485.0,1225.9,502.5,1294.8,442.9,1082.0,1023.9
CovidAnalytics-DELPHI,,90.6,140.5,92.6,72.5,31.7,30.4,37.1,37.3,28.8,38.8,70.6,52.3,40.8,50.1,44.5,37.4,31.5,27.3,21.4,26.0,29.1,25.6,24.3,23.7,21.2,41.6,32.4,,112463.9,217502.8,27548.9,16885.4,3213.2,2881.6,4112.5,3991.8,2953.9,6752.4,21836.1,12192.7,6320.7,23323.6,14122.1,8121.1,3693.3,2552.4,1214.2,2406.6,2455.2,2117.8,1282.0,1513.0,1245.7,3526.5,2319.9
UA-EpiCovDA,,,,,,79.5,87.5,81.9,24.2,18.1,43.4,45.7,33.3,27.3,36.7,26.7,36.0,17.6,29.3,41.4,38.8,42.4,27.7,20.9,22.7,21.1,28.8,21.0,,,,,,16561.7,35831.0,21054.8,1442.7,774.6,31033.5,9404.6,5660.5,2694.0,11356.2,4870.2,5994.3,1596.6,2870.8,9936.5,8785.0,9681.8,2502.6,1081.6,1310.8,1455.6,1676.0,1154.1
UT-Mobility,183.7,176.0,170.3,39.5,37.2,33.1,23.7,26.6,27.3,24.9,22.9,41.4,26.7,32.3,46.2,63.6,,41.6,31.2,,,27.4,33.2,43.5,28.4,24.7,35.1,30.6,773615.5,748892.1,846518.4,6627.2,5141.4,3158.4,1390.2,2909.7,3627.3,1673.0,1964.4,6819.8,1897.8,3927.9,7499.0,21799.1,,8844.3,3493.4,,,2898.1,4023.5,6338.9,2559.4,1948.4,2714.2,2328.2
JCB-PRM,,,,,,,,,,,,,,,38.7,22.4,24.3,20.8,22.4,19.9,22.6,22.7,19.6,15.3,24.2,20.3,28.4,26.1,,,,,,,,,,,,,,,13946.2,1552.3,1265.9,1418.1,2407.7,1263.2,1903.4,2214.9,1959.1,536.4,1354.5,826.1,2033.2,3420.9
CMU-TimeSeries,,,,,,,,,,,,,,29.8,45.5,21.6,25.1,20.9,26.5,21.2,27.6,23.3,19.6,21.0,21.1,19.8,29.8,26.3,,,,,,,,,,,,,,3780.5,17526.4,1660.0,3323.0,1894.0,2867.6,1175.2,2334.0,1832.7,1073.8,1050.9,1030.7,1424.0,2204.8,2208.3
CU-select,172.6,160.7,77.8,51.5,70.5,40.7,52.6,48.1,42.0,50.7,80.6,51.7,35.2,34.0,46.6,34.3,37.1,33.5,34.6,29.3,37.6,48.3,46.4,43.2,34.7,40.6,33.1,38.9,256668.0,336998.0,40259.5,7061.3,31006.5,5097.9,9385.5,6645.6,5472.7,10032.1,30934.1,11866.1,5252.2,4219.0,15420.6,4596.6,4886.0,3503.0,3230.0,2372.1,3793.5,6477.8,6009.6,4866.9,3225.4,6750.3,2668.8,4245.6
Geneva-DetGrowth,,,,,,,,34.2,,,,40.5,33.5,23.8,52.7,42.7,30.3,39.3,31.2,27.0,31.5,34.5,22.6,22.1,22.3,22.6,30.0,31.6,,,,,,,,3676.5,,,,8152.3,4153.1,2488.9,13048.8,9560.2,6952.2,9694.4,3895.6,2343.9,3151.2,5898.9,1634.3,1246.6,1378.9,1430.9,2035.4,2575.8
DDS-NBDS,,,,,,,,,,,,,,,44.7,38.7,62.8,24.9,23.2,21.4,24.0,24.9,17.4,22.2,26.2,20.9,21.6,26.6,,,,,,,,,,,,,,,10084.2,8148.0,32385.9,2878.2,2078.3,1362.1,2079.2,2344.9,1439.9,1562.2,2605.4,946.5,1221.0,1555.3
Karlen-pypm,,,,,,,,,,,,,,64.7,196.9,176.2,38.0,32.8,29.0,25.8,21.9,22.9,18.3,14.6,22.2,24.0,24.5,26.1,,,,,,,,,,,,,,54888.4,1130934.5,1121723.1,5129.1,5536.5,4515.7,3208.5,1795.9,1900.0,1769.6,519.7,1156.4,1573.8,1045.4,3183.9
JHU_IDD-CovidSP,,,,,373.5,65.4,63.3,54.1,38.4,49.0,52.8,45.8,46.0,56.0,70.8,60.1,69.7,58.3,50.8,44.2,38.2,26.5,24.3,16.0,24.3,25.6,34.3,39.7,,,,,698549.0,15296.2,16052.3,7151.4,4697.0,6442.6,8358.2,6204.1,7370.2,11454.7,34069.9,16631.0,24451.2,12486.9,9211.5,7377.1,5049.6,1615.3,1245.8,479.8,1613.2,1989.0,2237.4,3243.5
CEID-Walk,,,,,,,,,,,,,,,,,21.7,21.7,27.4,27.1,30.8,24.9,23.1,23.1,20.5,22.3,30.6,23.9,,,,,,,,,,,,,,,,,2102.1,2040.8,2863.3,2612.0,3298.7,2075.9,1625.9,1394.7,1037.9,1628.7,2223.3,1408.3
PSI-DRAFT,,,,,90.2,100.6,64.9,170.0,33.1,38.8,37.4,59.6,71.9,42.3,49.9,60.3,36.2,91.6,35.6,29.3,34.7,33.5,27.1,22.5,33.8,34.2,41.2,40.2,,,,,97933.9,61069.8,27456.0,177700.0,8035.3,9060.1,11284.6,15118.0,26358.8,5898.4,7994.1,30583.0,6529.1,53961.9,5744.1,2658.1,3234.5,3567.2,2452.5,1329.3,2832.9,4504.1,3553.7,3899.8
IowaStateLW-STEM,,114.8,155.6,,94.2,75.7,88.5,53.9,60.3,52.1,49.3,67.0,46.2,48.9,50.9,41.5,,43.5,58.6,31.2,32.0,32.2,48.7,29.4,27.7,26.4,33.3,34.8,,165266.5,500723.8,,44624.4,20539.9,28455.9,8760.2,12582.6,8966.4,10156.4,21471.0,7147.1,6219.9,17420.0,4739.9,,5641.3,13807.4,2553.4,4335.3,2341.7,6001.0,1925.0,2218.3,1320.8,2362.9,3685.6
GT-DeepCOVID,,,331.6,,,,,,,,,146.1,51.9,64.5,54.8,43.7,43.2,45.6,34.6,39.6,33.3,27.4,25.1,21.6,21.0,23.1,30.7,28.1,,,1457787.3,,,,,,,,,65342.7,12497.2,34391.4,24391.7,9581.1,12238.4,10310.3,4925.1,7429.2,6414.3,2843.5,2224.6,1719.6,1047.5,1955.6,2113.2,1914.5
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,41.2,25.0,19.2,26.0,16.7,24.8,22.9,16.9,23.9,25.7,,,,,,,,,,,,,,,,,,,10259.4,2309.1,1474.2,2317.2,960.3,1727.0,1203.2,875.7,1322.8,2965.2
IHME-CurveFit,73.2,107.7,89.0,80.0,60.5,,49.2,45.2,40.9,32.5,27.0,59.9,,78.6,90.2,94.1,60.3,,59.3,55.9,38.4,,62.3,52.3,,,54.7,82.8,45371.3,71745.9,36238.9,38818.5,14470.2,,6206.3,5849.9,4624.5,2840.3,2289.6,20847.7,,19108.9,43651.9,49371.2,31151.7,,15127.8,13287.0,5662.5,,12349.3,6989.6,,,9968.5,23549.8
NotreDame-mobility,,,,,,,,,,160.6,51.1,46.6,41.5,60.1,104.2,161.7,77.2,26.1,22.1,29.5,29.9,63.3,34.9,30.2,23.8,30.3,37.8,33.7,,,,,,,,,,840289.7,31499.7,10082.0,8658.6,13604.5,55648.8,120788.1,23570.2,2345.9,998.0,3011.0,2240.7,11483.6,5638.2,2632.7,1596.4,3159.6,3337.3,2454.1
Covid19Sim-Simulator,,,,,,69.8,85.6,85.2,50.6,39.3,77.8,99.8,58.7,70.1,111.4,69.5,,,211.8,23.6,29.4,27.7,57.8,48.0,45.3,82.0,95.8,39.3,,,,,,11389.7,18957.4,20743.2,6767.7,4027.4,84867.5,110095.1,12080.7,22829.1,87058.9,31872.9,,,278918.4,1778.0,2609.1,2704.5,11708.9,6704.7,4899.4,18575.9,19579.6,5838.1
USACE-ERDC_SEIR,,,,,80.1,68.2,129.4,118.7,111.6,150.9,239.0,37.4,43.0,55.4,67.0,59.4,63.2,58.2,49.8,43.1,49.7,58.7,58.9,58.1,,73.2,,78.5,,,,,33346.0,22092.1,100175.3,74907.7,46140.9,79401.1,246351.7,5334.0,5923.6,15328.9,29712.8,12498.1,9440.9,9301.8,6393.9,4935.1,7636.7,9886.1,11854.9,9903.3,,15856.7,,20903.7
SWC-TerminusCM,,,,,,,55.5,51.9,153.0,,26.5,,,,,,,,,,,,,,,,,,,,,,,,19331.2,7588.1,796459.6,,1718.1,,,,,,,,,,,,,,,,,
Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,,,,,27.7,29.5,28.6,27.8,27.5,26.3,23.5,35.6,,,,,,,,,,,,,,,,,,,,,2555.4,2437.7,2812.0,4286.4,1729.1,1844.2,1551.9,5338.2
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,,,,,35.5,33.3,26.9,24.9,25.4,26.4,23.7,30.5,,,,,,,,,,,,,,,,,,,,,3214.0,3303.2,1847.1,1145.8,1247.2,2377.7,1049.8,1931.7
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,,,37.6,23.7,23.2,27.2,23.8,21.9,,28.5,,,,,,,,,,,,,,,,,,,,,7627.1,2144.7,1979.8,2405.3,1551.0,1466.0,,1970.6
RobertWalraven-ESG,,,,,,,,,,,,241.8,295.7,2028.3,81.3,61.0,50.8,48.9,49.6,40.3,35.6,52.7,52.4,44.8,32.3,31.9,30.8,78.5,,,,,,,,,,,,1120448.4,1462540.1,26578074.9,41477.4,15990.7,10180.5,10943.3,7873.3,5556.9,6298.4,9799.8,11579.6,7219.4,2754.7,4277.2,1923.4,12496.0
Google_Harvard-CPF,,,,,,,,,,,,,,,,,,64.5,40.4,28.3,28.9,39.6,60.1,26.6,39.7,32.9,31.2,38.2,,,,,,,,,,,,,,,,,,25783.7,5769.4,2410.5,2777.6,4602.5,10924.9,2340.7,4291.4,3045.6,2989.3,5006.3
