,mean_abs_error_2020-04-20_2020-05-09,mean_abs_error_2020-04-27_2020-05-16,mean_abs_error_2020-05-04_2020-05-23,mean_abs_error_2020-05-11_2020-05-30,mean_abs_error_2020-05-18_2020-06-06,mean_abs_error_2020-05-25_2020-06-13,mean_abs_error_2020-06-01_2020-06-20,mean_abs_error_2020-06-08_2020-06-27,mean_abs_error_2020-06-15_2020-07-04,mean_abs_error_2020-06-22_2020-07-11,mean_abs_error_2020-06-29_2020-07-18,mean_abs_error_2020-07-06_2020-07-25,mean_abs_error_2020-07-13_2020-08-01,mean_abs_error_2020-07-20_2020-08-08,mean_abs_error_2020-07-27_2020-08-15,mean_abs_error_2020-08-03_2020-08-22,mean_abs_error_2020-08-10_2020-08-29,mean_abs_error_2020-08-17_2020-09-05,mean_abs_error_2020-08-24_2020-09-12,mean_abs_error_2020-08-31_2020-09-19,mean_abs_error_2020-09-07_2020-09-26,mean_abs_error_2020-09-14_2020-10-03,mean_abs_error_2020-09-21_2020-10-10,mean_abs_error_2020-09-28_2020-10-17,mean_abs_error_2020-10-05_2020-10-24,mean_abs_error_2020-10-12_2020-10-31,mean_abs_error_2020-10-19_2020-11-07,mean_abs_error_2020-10-26_2020-11-14,mean_abs_error_2020-11-02_2020-11-21,mean_abs_error_2020-11-09_2020-11-28,mean_abs_error_2020-11-16_2020-12-05,mean_abs_error_2020-11-23_2020-12-12,mean_abs_error_2020-11-30_2020-12-19,mean_abs_error_2020-12-07_2020-12-26,mean_abs_error_2020-12-14_2021-01-02,mean_abs_error_2020-12-21_2021-01-09,mean_abs_error_2020-12-28_2021-01-16,mean_abs_error_2021-01-04_2021-01-23,mean_abs_error_2021-01-11_2021-01-30,mean_abs_error_2021-01-18_2021-02-06,mean_abs_error_2021-01-25_2021-02-13,mean_abs_error_2021-02-01_2021-02-20,mean_abs_error_2021-02-08_2021-02-27,mean_abs_error_2021-02-15_2021-03-06,mean_sq_abs_error_2020-04-20_2020-05-09,mean_sq_abs_error_2020-04-27_2020-05-16,mean_sq_abs_error_2020-05-04_2020-05-23,mean_sq_abs_error_2020-05-11_2020-05-30,mean_sq_abs_error_2020-05-18_2020-06-06,mean_sq_abs_error_2020-05-25_2020-06-13,mean_sq_abs_error_2020-06-01_2020-06-20,mean_sq_abs_error_2020-06-08_2020-06-27,mean_sq_abs_error_2020-06-15_2020-07-04,mean_sq_abs_error_2020-06-22_2020-07-11,mean_sq_abs_error_2020-06-29_2020-07-18,mean_sq_abs_error_2020-07-06_2020-07-25,mean_sq_abs_error_2020-07-13_2020-08-01,mean_sq_abs_error_2020-07-20_2020-08-08,mean_sq_abs_error_2020-07-27_2020-08-15,mean_sq_abs_error_2020-08-03_2020-08-22,mean_sq_abs_error_2020-08-10_2020-08-29,mean_sq_abs_error_2020-08-17_2020-09-05,mean_sq_abs_error_2020-08-24_2020-09-12,mean_sq_abs_error_2020-08-31_2020-09-19,mean_sq_abs_error_2020-09-07_2020-09-26,mean_sq_abs_error_2020-09-14_2020-10-03,mean_sq_abs_error_2020-09-21_2020-10-10,mean_sq_abs_error_2020-09-28_2020-10-17,mean_sq_abs_error_2020-10-05_2020-10-24,mean_sq_abs_error_2020-10-12_2020-10-31,mean_sq_abs_error_2020-10-19_2020-11-07,mean_sq_abs_error_2020-10-26_2020-11-14,mean_sq_abs_error_2020-11-02_2020-11-21,mean_sq_abs_error_2020-11-09_2020-11-28,mean_sq_abs_error_2020-11-16_2020-12-05,mean_sq_abs_error_2020-11-23_2020-12-12,mean_sq_abs_error_2020-11-30_2020-12-19,mean_sq_abs_error_2020-12-07_2020-12-26,mean_sq_abs_error_2020-12-14_2021-01-02,mean_sq_abs_error_2020-12-21_2021-01-09,mean_sq_abs_error_2020-12-28_2021-01-16,mean_sq_abs_error_2021-01-04_2021-01-23,mean_sq_abs_error_2021-01-11_2021-01-30,mean_sq_abs_error_2021-01-18_2021-02-06,mean_sq_abs_error_2021-01-25_2021-02-13,mean_sq_abs_error_2021-02-01_2021-02-20,mean_sq_abs_error_2021-02-08_2021-02-27,mean_sq_abs_error_2021-02-15_2021-03-06
YYG-ParamSearch,213.3,176.0,94.6,97.3,111.8,90.3,65.2,67.3,71.7,73.7,91.9,131.1,103.0,111.7,103.6,74.2,57.1,46.8,45.4,49.5,58.3,70.9,65.1,63.5,44.0,,,,,,,,,,,,,,,,,,,,168229.5,138937.5,29841.6,36512.2,43770.8,27913.5,9086.6,11474.7,13145.7,18789.9,45638.9,117161.6,107031.8,96805.4,62523.6,14531.4,11514.3,9337.2,6609.0,9721.7,15018.4,20144.6,11762.0,9186.3,5027.2,,,,,,,,,,,,,,,,,,,
COVIDhub-ensemble,,150.2,86.9,103.7,89.6,84.4,86.7,67.7,73.9,63.1,72.0,106.6,124.6,97.5,92.1,61.4,51.1,39.3,44.9,50.2,51.5,58.5,49.8,58.3,62.5,67.0,110.7,113.7,152.8,153.1,184.8,158.9,303.4,187.7,177.2,147.1,278.5,343.9,236.7,195.5,165.6,155.7,200.8,221.6,,96635.6,17412.3,51144.0,25704.6,19066.2,19444.7,10783.6,14995.6,11140.5,28505.2,91505.6,118952.4,63066.8,58557.3,13205.8,10277.0,5900.4,6832.1,8275.8,11300.8,11378.9,6421.6,8003.7,9593.1,11718.6,30809.8,36886.6,70888.3,75431.5,115620.2,112612.2,269411.7,149384.3,126742.8,63473.1,295084.6,450762.0,207591.9,77016.1,77901.9,61867.2,123850.8,179132.4
UMass-MechBayes,,516.6,208.2,89.1,64.1,47.9,99.6,55.9,60.3,91.1,105.4,110.7,89.3,102.9,136.2,95.6,72.3,59.0,53.5,64.0,46.8,61.8,56.7,53.2,59.8,67.2,76.6,93.9,124.5,114.0,130.0,155.3,328.5,174.0,142.9,139.9,392.0,340.3,216.5,198.0,204.3,140.1,165.9,177.2,,1446563.1,192661.2,21741.1,13332.9,7350.2,23712.7,11731.3,12900.6,33502.8,94737.1,94354.5,57308.2,77779.2,133172.1,64186.8,18381.1,9908.3,7040.6,14679.0,7365.5,11794.3,8901.6,7795.2,10616.8,11083.3,15479.1,23587.6,42455.7,37368.7,58936.7,88719.3,285731.4,113010.6,72080.1,74414.4,418571.3,429215.4,184629.6,136059.1,201366.9,76650.8,114234.4,162524.0
OliverWyman-Navigator,,,,,,,,74.2,74.6,90.0,106.9,112.8,132.3,108.6,92.0,70.2,55.1,45.0,44.1,66.0,51.0,59.9,65.9,88.1,55.7,81.4,97.1,94.9,155.7,128.7,176.5,184.7,256.5,239.1,295.2,191.4,278.7,250.7,290.0,235.9,201.8,181.5,195.6,185.4,,,,,,,,16529.5,15448.0,22565.8,45149.1,95168.9,94483.3,54548.1,35465.6,16954.5,7943.0,15832.7,5478.5,13292.9,10617.0,9798.7,10811.4,24665.8,7693.7,17902.3,45066.8,27332.1,72071.0,48945.4,113163.6,125303.2,222679.5,205879.5,277477.4,108215.9,333552.6,252804.3,169265.3,125996.5,120805.2,116121.2,140291.5,130012.9
USC-SI_kJalpha,,,,,,,,,,,109.8,158.6,193.2,121.7,131.6,67.2,58.3,58.5,67.9,59.6,63.2,61.9,62.9,72.1,66.1,72.4,93.7,101.9,144.0,111.5,152.9,156.9,238.7,214.2,179.0,198.6,252.5,422.9,297.3,317.5,225.6,154.7,198.2,259.4,,,,,,,,,,,75650.9,124670.2,141984.7,53971.3,131350.0,9486.1,11848.8,8624.1,26387.0,14468.0,12714.2,9340.2,9870.5,12073.1,12084.4,15076.2,36152.0,44942.4,58078.4,37043.7,83539.7,88638.5,148575.9,139772.5,103746.2,126845.7,147052.0,586687.0,271403.9,277480.9,146597.5,73363.7,144711.6,493333.7
LNQ-ens1,,,,,,,,,,,,,,95.3,101.0,48.1,64.3,70.1,46.5,48.0,52.5,74.7,60.6,54.8,66.3,79.1,103.2,105.4,136.8,123.9,147.7,149.2,392.9,177.6,177.3,166.9,447.6,368.8,216.7,227.0,227.1,175.1,211.2,251.1,,,,,,,,,,,,,,65568.7,57454.0,5221.4,19588.1,16466.6,4812.9,7903.4,11180.5,15285.6,9369.3,6739.9,10137.1,13348.8,27345.9,31521.4,57282.9,44565.5,69847.5,92791.4,371162.5,97829.8,90380.0,70769.4,515039.9,421679.1,112743.0,136914.0,126544.2,94311.7,164977.5,535791.3
Baseline,227.6,227.3,179.1,205.0,175.4,134.1,113.9,128.0,111.4,97.5,211.2,163.8,165.4,151.7,116.3,77.6,68.5,77.2,67.4,71.1,67.5,66.0,71.7,74.1,62.8,97.1,123.0,131.5,186.5,205.7,285.8,261.0,448.4,241.4,261.2,221.3,398.5,374.2,254.0,183.0,177.5,294.1,421.5,306.0,721762.7,495490.7,240251.4,246477.1,187353.6,71935.9,33921.6,60146.2,40521.0,28490.2,579140.7,156517.1,172749.4,141031.9,78744.6,35273.3,28909.9,40475.8,33282.3,15307.5,19807.8,11851.6,13958.2,12538.6,9979.3,25726.8,36237.3,44304.2,104596.3,115069.7,212567.0,218882.2,497844.5,236732.4,257627.9,197131.4,676236.7,518695.7,165942.9,78318.0,91035.0,281441.7,701628.1,267438.3
LANL-GrowthRate,303.7,248.1,124.6,88.9,87.9,86.6,86.9,79.5,75.9,83.7,110.8,141.0,170.8,185.1,205.9,164.9,115.4,113.2,86.7,85.6,86.8,87.4,76.3,86.4,114.2,117.9,152.5,168.6,165.6,151.0,205.1,245.5,396.0,218.7,227.0,316.5,404.8,390.8,315.2,329.1,250.2,194.6,226.8,256.7,960645.8,327725.3,65550.6,29314.1,30588.5,24743.3,20417.6,20101.7,17967.2,22650.1,70949.2,163221.0,191721.4,225805.2,320709.4,164943.1,47968.6,45036.8,32879.1,30559.9,33401.8,22305.6,14238.9,19715.1,37224.7,35304.4,47292.4,78797.3,73293.3,53510.9,98760.0,197376.6,408902.5,118299.4,196260.6,540376.8,603693.1,599862.6,259261.9,393918.7,212363.5,87178.8,172752.3,344536.4
UCLA-SuEIR,,,221.4,159.4,73.4,74.3,79.1,89.8,64.3,83.4,126.2,138.6,145.1,149.9,109.6,88.9,74.4,82.7,61.6,68.2,66.0,60.9,70.7,66.8,87.1,116.8,158.6,167.8,219.6,237.5,376.4,260.4,476.0,234.8,267.4,239.3,521.2,417.5,277.0,239.0,303.2,225.7,279.6,,,,280707.6,279678.3,18586.8,17929.6,17403.1,20863.5,12684.3,26272.4,72147.8,141948.4,145816.1,162603.9,78110.3,51717.6,23098.9,28116.5,14544.0,12049.2,14343.0,10821.9,11072.0,9041.9,16893.3,28145.7,49737.8,62323.6,140734.5,137646.7,372562.4,196789.4,557461.4,192063.8,253576.3,212793.3,1011761.1,639959.8,260035.2,201871.1,319018.9,111581.8,227138.2,
Karlen-pypm,,,,,,,,,,,,,,412.3,292.2,251.4,142.4,116.5,76.9,75.7,65.9,69.7,60.9,61.4,57.4,71.2,92.0,109.5,118.8,93.4,150.9,161.7,208.4,189.9,202.4,160.8,200.0,264.9,219.5,213.4,243.0,188.9,224.9,180.8,,,,,,,,,,,,,,3205197.0,1343562.3,1154684.9,85929.7,89839.6,48837.4,28722.8,18236.4,17562.3,15513.1,15005.5,8206.5,14150.7,23451.4,56609.4,40971.1,29864.8,73415.8,93785.7,122082.5,124772.3,128384.5,73695.4,188811.6,274357.6,186361.2,126561.7,200140.8,98211.9,247976.0,156797.7
MOBS-GLEAM_COVID,494.5,313.0,298.5,305.6,184.2,108.5,98.9,99.3,95.2,118.0,149.8,164.7,184.5,176.4,158.0,256.4,96.9,81.0,81.2,100.4,75.1,96.3,83.6,119.8,98.7,95.4,112.1,109.6,177.5,152.6,214.0,222.9,279.3,230.1,290.4,203.2,239.2,272.5,239.6,237.9,166.1,220.9,247.3,253.1,1249319.4,355492.1,321351.8,574387.0,130895.2,41275.7,22887.9,22306.5,23562.6,41443.3,104083.3,158859.3,223480.4,112603.5,163807.0,714099.9,37401.8,23091.3,20519.7,30971.5,26139.0,33984.9,22590.2,53177.1,34048.8,24483.4,29435.0,32957.1,90246.2,76446.3,139825.1,160136.2,279753.2,171621.7,261596.5,117252.0,228997.1,264514.8,163765.1,127434.5,72854.7,151102.1,179690.9,195549.5
CMU-TimeSeries,,,,,,,,,,,,,,120.1,103.6,57.9,91.0,56.0,65.5,44.6,46.7,64.1,62.7,65.3,66.2,77.6,129.2,135.6,163.9,141.7,240.9,158.6,303.7,240.4,293.9,201.8,360.2,347.2,287.0,323.8,233.7,250.5,246.5,230.4,,,,,,,,,,,,,,115731.9,77966.7,12597.4,32720.6,15322.0,23461.3,4651.0,10220.0,10677.5,9152.0,8510.7,9575.4,15125.8,46005.9,45605.1,75830.8,61118.9,168919.4,97779.2,248365.2,146460.8,180929.5,84325.0,565476.8,371071.2,264526.6,342290.8,135498.4,171164.6,175000.9,176990.8
JCB-PRM,,,,,,,,,,,,,,,85.2,80.6,66.9,53.2,54.2,55.8,60.3,64.3,53.4,57.3,69.6,77.2,114.7,125.3,167.1,159.6,165.8,190.0,241.6,219.1,238.7,244.0,185.9,,,,,,,,,,,,,,,,,,,,,,22392.5,15375.7,9008.4,10306.2,21175.6,13861.5,13767.7,17342.6,11034.1,9271.9,10893.5,15093.8,42004.5,59992.4,85242.9,77408.8,106626.1,138008.6,214304.3,172804.2,150137.1,150610.9,95111.3,,,,,,,
COVIDhub-baseline,475.6,217.3,180.6,255.6,184.1,159.2,124.2,119.7,126.5,107.4,225.2,166.5,182.7,160.6,118.2,100.4,73.2,90.8,88.4,90.7,76.2,69.1,85.5,79.5,62.6,86.3,130.8,131.5,189.1,202.7,285.0,267.2,434.1,247.4,255.5,227.4,377.3,370.9,282.2,211.0,194.4,320.3,483.2,602.2,6060323.3,327656.2,185051.8,483588.2,174223.0,104028.5,46030.1,55876.6,60638.6,32953.1,632527.9,156450.3,200664.6,143078.2,77943.9,65836.1,25031.2,41780.3,45423.0,29307.1,25110.4,12998.8,19093.5,13825.7,10579.3,20321.5,48887.2,43807.8,110799.4,113277.8,213529.2,225432.8,467745.4,232315.3,257515.9,189993.9,596690.0,493542.2,208999.8,103039.1,103887.3,346528.6,834094.0,3894191.0
