,perc_error_2020-04-20_2020-05-23,perc_error_2020-04-27_2020-05-23,perc_error_2020-05-04_2020-05-23,perc_error_2020-05-11_2020-05-23,perc_error_2020-05-18_2020-05-23
CU-select,0.219,0.136,0.009,0.038,-0.176
YYG-ParamSearch,-0.246,-0.052,-0.029,0.074,0.050
COVIDhub-ensemble,,-0.163,-0.077,0.042,0.043
MOBS-GLEAM_COVID,,-0.425,-0.152,0.026,0.002
LANL-GrowthRate,,0.239,0.077,-0.175,-0.086
Baseline,0.250,0.257,0.236,0.255,0.120
UCLA-SuEIR,,,-0.138,0.017,0.125
GT-DeepCOVID,,,,0.012,-0.032
UT-Mobility,-0.682,-0.557,-0.427,-0.047,-0.145
IHME-CurveFit,-0.573,-0.607,0.196,0.245,0.318
COVIDhub-baseline,,0.283,0.234,0.376,0.192
CovidAnalytics-DELPHI,,,0.148,0.311,0.284
PSI-DRAFT,,,,,-0.039
UMass-MechBayes,,,,,0.066
Imperial-combined,,,,,0.107
IowaStateLW-STEM,,,-0.355,,0.447
Geneva-DetGrowth,,,,,-0.343
USACE-ERDC_SEIR,,,,,-0.354
JHU_IDD-CovidSP,,,,,0.938
