,mean_abs_error_2020-07-27_2020-12-12,mean_abs_error_2020-08-03_2020-12-12,mean_abs_error_2020-08-10_2020-12-12,mean_abs_error_2020-08-17_2020-12-12,mean_abs_error_2020-08-24_2020-12-12,mean_abs_error_2020-08-31_2020-12-12,mean_abs_error_2020-09-07_2020-12-12,mean_abs_error_2020-09-14_2020-12-12,mean_abs_error_2020-09-21_2020-12-12,mean_abs_error_2020-09-28_2020-12-12,mean_abs_error_2020-10-05_2020-12-12,mean_abs_error_2020-10-12_2020-12-12,mean_abs_error_2020-10-19_2020-12-12,mean_abs_error_2020-10-26_2020-12-12,mean_abs_error_2020-11-02_2020-12-12,mean_abs_error_2020-11-09_2020-12-12,mean_abs_error_2020-11-16_2020-12-12,mean_abs_error_2020-11-23_2020-12-12,mean_abs_error_2020-11-30_2020-12-12,mean_abs_error_2020-12-07_2020-12-12,mean_sq_abs_error_2020-07-27_2020-12-12,mean_sq_abs_error_2020-08-03_2020-12-12,mean_sq_abs_error_2020-08-10_2020-12-12,mean_sq_abs_error_2020-08-17_2020-12-12,mean_sq_abs_error_2020-08-24_2020-12-12,mean_sq_abs_error_2020-08-31_2020-12-12,mean_sq_abs_error_2020-09-07_2020-12-12,mean_sq_abs_error_2020-09-14_2020-12-12,mean_sq_abs_error_2020-09-21_2020-12-12,mean_sq_abs_error_2020-09-28_2020-12-12,mean_sq_abs_error_2020-10-05_2020-12-12,mean_sq_abs_error_2020-10-12_2020-12-12,mean_sq_abs_error_2020-10-19_2020-12-12,mean_sq_abs_error_2020-10-26_2020-12-12,mean_sq_abs_error_2020-11-02_2020-12-12,mean_sq_abs_error_2020-11-09_2020-12-12,mean_sq_abs_error_2020-11-16_2020-12-12,mean_sq_abs_error_2020-11-23_2020-12-12,mean_sq_abs_error_2020-11-30_2020-12-12,mean_sq_abs_error_2020-12-07_2020-12-12
USC-SI_kJalpha,,,,,,,,,,,,,726.3,583.7,477.7,352.8,251.7,156.9,140.5,82.3,,,,,,,,,,,,,1215959.2,821065.1,703549.7,329006.0,213386.5,88638.5,52350.1,17896.2
JCB-PRM,,,,,,,,,,,,,789.1,610.0,558.5,436.2,265.1,190.0,151.0,69.8,,,,,,,,,,,,,1470549.3,983234.6,874343.1,535946.2,269301.3,138008.6,75721.7,14988.5
BPagano-RtDriven,,,,,,,,,,,906.0,820.8,741.7,618.3,555.6,421.3,319.2,236.6,121.3,62.8,,,,,,,,,,,1530378.9,1529112.5,1552192.8,766586.0,592208.7,362594.9,267634.5,166552.5,38986.3,9535.2
Karlen-pypm,,,,,,,,,,,,,,,,292.0,268.4,161.7,128.5,63.3,,,,,,,,,,,,,,,,228664.6,206234.0,93785.7,49149.3,12325.5
LANL-GrowthRate,,,,,,,,,,,,,,1061.0,616.8,431.4,334.6,245.5,230.6,65.3,,,,,,,,,,,,,,2401022.5,918772.6,431753.4,255884.3,197376.6,131693.3,10791.7
JHUAPL-Bucky,,,,,,,,,,,,889.6,691.5,512.7,534.3,402.4,349.9,332.2,162.2,94.3,,,,,,,,,,,,1773405.8,1252727.0,664786.2,731177.7,460215.1,335324.6,371785.3,78832.2,21733.1
IowaStateLW-STEM,1762.0,1649.5,,1488.2,1442.0,1175.3,1124.2,909.8,894.1,1156.8,1098.3,1037.5,1016.9,841.3,713.2,598.8,444.7,190.0,162.0,72.4,6846855.7,6859303.0,,5080027.0,4588939.6,2926055.7,2637588.3,1947391.5,2024919.3,2672490.4,2487334.4,2242705.6,2100767.1,1563745.0,1205511.6,925321.2,527752.5,126288.6,73864.4,12572.3
LNQ-ens1,,,,,,,,,,,,,,,,,242.3,149.2,236.5,64.0,,,,,,,,,,,,,,,,,171606.1,92791.4,131807.3,11187.1
MSRA-DeepST,,,,,,,,,,,,,,,,,388.7,153.5,153.5,61.2,,,,,,,,,,,,,,,,,408787.3,99438.6,66969.3,9629.4
OliverWyman-Navigator,,,,,,,,,,,,,,,,,296.4,184.7,151.9,78.5,,,,,,,,,,,,,,,,,307813.6,125303.2,73332.5,21039.3
Caltech-CS156,,,,,,,,,,,,,,,,,298.2,175.3,189.2,71.1,,,,,,,,,,,,,,,,,274794.6,117371.3,92109.0,13955.5
UMass-MechBayes,,,,,,,,,,,,,,,,,230.2,155.3,197.3,84.0,,,,,,,,,,,,,,,,,181507.0,88719.3,102340.4,20294.8
COVIDhub-ensemble,,,,,,,,,,,,,,,,,315.3,158.9,183.1,71.7,,,,,,,,,,,,,,,,,300363.7,112612.2,92923.6,14310.2
GT-DeepCOVID,,,,,,,,,,,,,,,,,306.1,208.5,172.2,69.1,,,,,,,,,,,,,,,,,303458.3,140268.6,95708.1,14941.9
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,289.7,202.1,172.9,75.2,,,,,,,,,,,,,,,,,278878.1,113619.0,94873.1,15026.0
COVIDhub-baseline,,,,,,,,,,,,,866.6,719.4,697.0,587.2,480.5,267.2,254.2,74.2,,,,,,,,,,,,,1767587.1,1286261.0,1309695.4,841318.4,573546.1,225432.8,153169.7,14404.6
Covid19Sim-Simulator,1293.3,1173.4,,,1690.4,1167.5,1152.5,1205.3,1195.9,1039.2,789.5,773.9,848.4,577.5,447.7,345.1,,322.7,195.7,280.6,4877118.6,3195663.1,,,5845244.8,2876870.3,2895839.1,3201057.7,3129698.7,2336201.0,1714270.1,1558231.7,1646749.7,917065.4,634347.7,410046.0,,349827.0,96328.1,154433.9
CMU-TimeSeries,,,,,,,,,,,,,,,,,352.8,158.6,214.1,70.8,,,,,,,,,,,,,,,,,368380.2,97779.2,111038.0,13042.0
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,299.3,229.1,139.7,95.3,,,,,,,,,,,,,,,,,322470.1,150858.9,51519.4,21466.6
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,335.1,216.5,166.0,72.1,,,,,,,,,,,,,,,,,336372.7,153934.8,87089.8,13267.4
Google_Harvard-CPF,,,,,,,,,,,,,,,,,333.4,159.6,151.5,111.4,,,,,,,,,,,,,,,,,381698.2,90720.7,69532.5,31637.3
Baseline,1366.2,1760.6,1659.7,1589.0,1384.3,1198.8,1114.3,1028.5,993.4,943.1,912.0,889.9,876.8,750.3,703.6,596.7,480.8,261.0,268.9,78.6,4097077.5,11625097.5,8307756.3,6492363.3,4594575.4,2910899.2,2659337.4,2256516.6,2140069.1,2094387.6,1817624.0,1855871.4,1762569.3,1350120.4,1288866.6,851776.1,568476.3,218882.2,169296.5,17691.9
CU-select,,,,,,,,,,,,,,,,,228.4,205.9,237.2,97.6,,,,,,,,,,,,,,,,,133187.5,115893.6,130257.3,24231.8
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,480.1,193.9,155.6,76.3,,,,,,,,,,,,,,,,,649554.7,129558.3,70720.1,15698.4
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,351.8,222.9,175.3,76.5,,,,,,,,,,,,,,,,,355950.1,160136.2,93895.4,14626.9
JHU_IDD-CovidSP,,,,,,,,,,,,,,,842.3,802.5,302.1,254.8,250.2,158.0,,,,,,,,,,,,,,,1503696.2,1383153.1,231793.3,153747.9,141738.3,51457.7
UA-EpiCovDA,,,,,,,,,,,,,,,,,307.7,225.6,278.2,100.6,,,,,,,,,,,,,,,,,272332.2,200285.6,203959.3,28065.4
UCSB-ACTS,,,,,,,,,,,,,,,,,478.5,310.9,150.5,98.4,,,,,,,,,,,,,,,,,674758.2,274827.3,80643.5,26317.3
UCLA-SuEIR,,,,,,,1212.7,1247.3,1165.8,1113.0,1114.6,1073.9,1049.1,952.4,843.7,697.5,621.5,260.4,282.5,74.3,,,,,,,2945352.0,3106641.1,2862869.9,2611010.2,2611007.8,2431530.0,2356487.8,1982419.7,1711691.3,1052729.1,928476.9,196789.4,188402.7,12658.2
CovidAnalytics-DELPHI,,,,,,,,,,,,,,876.2,816.5,690.7,522.5,294.3,211.7,112.4,,,,,,,,,,,,,,1732485.4,1553186.1,1194774.0,725263.8,267326.0,132273.5,32337.9
CEID-Walk,,,,,,,,,,,,,,,,,480.3,269.7,251.6,73.0,,,,,,,,,,,,,,,,,573031.3,236810.2,150652.6,13294.8
DDS-NBDS,,,,,,,,,,,,,,,,,515.8,273.6,284.5,70.9,,,,,,,,,,,,,,,,,679581.1,248718.2,197956.6,16001.9
Columbia_UNC-SurvCon,,,,,,,,,,,,,1037.8,1052.5,770.0,566.5,672.4,280.3,299.5,396.6,,,,,,,,,,,,,3237568.5,5563947.5,2055403.6,730418.0,1408117.1,190424.4,201808.7,304510.5
PSI-DRAFT,,,,,,,,,,,,,,,683.8,671.5,580.2,415.4,315.9,131.4,,,,,,,,,,,,,,,1311566.7,1086521.7,804877.7,476257.1,268844.6,46304.5
UT-Mobility,,,,,,,,,,,,,,,,,479.0,298.0,241.3,95.9,,,,,,,,,,,,,,,,,563395.1,218239.1,122519.5,23639.7
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,443.7,370.0,257.5,96.5,,,,,,,,,,,,,,,,,503186.4,485676.2,147747.0,24407.3
NotreDame-mobility,,,,,,,,,,,,,,,781.8,700.6,484.2,393.3,293.8,142.3,,,,,,,,,,,,,,,1437132.5,1213027.7,489982.4,356912.0,239173.0,56603.0
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,291.6,65.7,,,,,,,,,,,,,,,,,,,192131.3,10687.6
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,,,,60.7,,,,,,,,,,,,,,,,,,,,9586.9
RobertWalraven-ESG,,,,,,,,,,,,,,,,,469.4,321.8,392.9,110.7,,,,,,,,,,,,,,,,,570755.0,334699.6,401288.9,29740.4
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,492.8,309.9,,,,,,,,,,,,,,,,,,,645048.2,276415.9,,
IHME-CurveFit,1432.0,1190.8,1440.5,,1555.9,1418.9,1443.5,,1162.6,1122.8,,,638.2,588.2,,,,270.5,,131.1,4655639.2,3142897.5,8203197.9,,13844423.8,11687899.8,9431366.4,,4918172.0,4715552.5,,,1018832.6,964490.3,,,,206172.8,,42484.0
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,80.5,,,,,,,,,,,,,,,,,,,,16737.9
WalmartLabsML-LogForecasting,,,,,,,,,,,,,1243.5,1147.1,1062.0,951.0,824.0,645.3,503.1,262.0,,,,,,,,,,,,,3038128.3,2621473.2,2301640.1,1849798.0,1391374.1,869691.3,513910.1,138044.1
TTU-squider,,,,,,,,,,,,,,,,,690.5,486.5,364.4,238.6,,,,,,,,,,,,,,,,,1485503.1,752340.9,449600.7,265698.3
Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,,,,,114.3,,,,,,,,,,,,,,,,,,,,31313.5
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,297.9,,,,,,,,,,,,,,,,,,,,193287.0,
USACE-ERDC_SEIR,,,,,,,,,,,,,,576.8,,,1011.0,912.4,687.3,,,,,,,,,,,,,,,1217912.2,,,3684820.7,2810055.9,1617227.8,
MITCovAlliance-SIR,,,,,,,,,,,,,1000.3,,,,,,,,,,,,,,,,,,,,2167507.1,,,,,,,
