,perc_error_2020-05-04_2020-09-05,perc_error_2020-05-11_2020-09-05,perc_error_2020-05-18_2020-09-05,perc_error_2020-05-25_2020-09-05,perc_error_2020-06-01_2020-09-05,perc_error_2020-06-08_2020-09-05,perc_error_2020-06-15_2020-09-05,perc_error_2020-06-22_2020-09-05,perc_error_2020-06-29_2020-09-05,perc_error_2020-07-06_2020-09-05,perc_error_2020-07-13_2020-09-05,perc_error_2020-07-20_2020-09-05,perc_error_2020-07-27_2020-09-05,perc_error_2020-08-03_2020-09-05,perc_error_2020-08-10_2020-09-05,perc_error_2020-08-17_2020-09-05,perc_error_2020-08-24_2020-09-05,perc_error_2020-08-31_2020-09-05
YYG-ParamSearch,,,,,,,-0.120,-0.306,-0.235,-0.318,-0.097,-0.130,-0.053,0.053,0.078,0.034,-0.058,-0.080
UCLA-SuEIR,,,,,-0.684,-0.687,-0.760,-0.773,-0.592,-0.584,-0.367,-0.313,-0.110,0.090,-0.131,0.033,0.017,0.080
STH-3PU,,,,,,,-0.503,-0.716,-0.777,-0.790,-0.828,-0.292,0.469,1.520,0.016,0.025,-0.004,-0.001
QJHong-Encounter,,,,,,,,,,,,,0.192,0.197,0.062,0.022,0.024,0.033
CovidAnalytics-DELPHI,,,,,,,,,,,-0.109,-0.119,-0.047,-0.108,-0.171,-0.140,0.041,0.009
IHME-CurveFit,,,,,,-0.269,-0.194,-0.320,-0.407,-0.343,,-0.071,-0.089,-0.039,0.047,,0.103,-0.002
Baseline,0.944,0.893,0.664,0.388,0.143,0.051,-0.126,-0.302,-0.074,-0.455,-0.221,-0.228,-0.082,0.167,0.113,0.103,0.070,-0.007
Columbia_UNC-SurvCon,,,,,,,,,,,0.225,-0.184,-0.201,-0.135,-0.177,0.052,-0.005,0.063
USC-SI_kJalpha,,,,,,,,,0.073,,1.161,-0.213,-0.391,0.181,-0.051,-0.048,0.013,0.095
OliverWyman-Navigator,,,,,,,,,,,,,,,-0.050,0.017,-0.012,-0.007
COVIDhub-ensemble,,,,,,,,,,,,,,,0.019,0.035,0.016,0.009
NotreDame-mobility,,,,,,,,,,,,,-0.257,-0.321,0.020,0.096,-0.007,-0.244
IowaStateLW-STEM,-0.577,,-0.579,-0.418,-0.501,-0.681,-0.547,-0.544,-0.807,-0.158,-0.292,-0.340,-0.266,-0.110,,-0.098,0.016,0.030
GT-DeepCOVID,,,,,,,,,,,,,,,0.045,0.053,0.005,-0.084
LNQ-ens1,,,,,,,,,,,,,,,0.152,0.088,0.008,-0.024
CU-select,,,,,,,,,,,,,,,-0.016,0.048,-0.118,-0.111
Karlen-pypm,,,,,,,,,,,,,,0.106,0.365,0.251,0.066,0.061
JCB-PRM,,,,,,,,,,,,,,,0.133,0.066,0.056,0.051
UMass-MechBayes,,,,,,,,,,,,,,,-0.124,-0.047,-0.093,-0.097
UA-EpiCovDA,,,,,,,,,,,,,,,0.169,0.085,0.039,0.116
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,-0.057,-0.187,-0.138,-0.097
Covid19Sim-Simulator,,,,-0.560,-0.618,-0.635,-0.403,-0.416,-0.110,-0.035,-0.081,-0.039,-0.057,-0.094,,-0.702,-1.025,0.366
COVIDhub-baseline,,,,,,,,,,,,,,,0.117,0.119,0.134,0.128
CEID-Walk,,,,,,,,,,,,,,,0.082,0.136,0.151,0.133
PSI-DRAFT,,,,,,,,,,,,,1.022,1.593,0.211,-0.328,0.108,0.088
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,-0.256,-0.188,-0.113,-0.172,-0.256
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,0.023,0.021
UMich-RidgeTfReg,,,,,,,,,,,,,,,-0.241,-0.382,0.124,-0.052
Auquan-SEIR,,,,,,,,,,,,,,,-0.219,-0.053,0.221,
DDS-NBDS,,,,,,,,,,,,,,,1.833,0.124,0.153,0.070
USACE-ERDC_SEIR,,,,,,,,-0.348,-0.176,,-0.088,1.100,0.405,0.365,0.366,0.342,0.259,0.143
JHU_IDD-CovidSP,,,,,,,,,,,,,,0.505,0.417,0.351,0.026,-0.174
LANL-GrowthRate,,,,,,,,,,,,-0.519,-0.487,-0.384,-0.299,-0.269,-0.248,-0.228
epiforecasts-ensemble1,,,,,,,,,,,,,,,-0.186,-0.201,-0.576,0.132
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,0.728,0.540,0.276,0.100
MITCovAlliance-SIR,,,,,,,,,,,-0.596,-0.563,-0.591,-0.473,,-0.821,,
RobertWalraven-ESG,,,,,,,,,,,,,,,1.149,-0.510,-0.575,-0.238
UT-Mobility,,,,,,,,,,,,,,,,0.531,0.225,
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,0.121
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,-0.196,-0.269
TTU-squider,,,,,,,,,,,,,,,,7.600,1.134,
JHUAPL-Bucky,,,,,,,,,,,,,,,,,,-0.612
