,perc_error_2020-09-21_2021-02-13,perc_error_2020-09-28_2021-02-13,perc_error_2020-10-05_2021-02-13,perc_error_2020-10-12_2021-02-13,perc_error_2020-10-19_2021-02-13,perc_error_2020-10-26_2021-02-13,perc_error_2020-11-02_2021-02-13,perc_error_2020-11-09_2021-02-13,perc_error_2020-11-16_2021-02-13,perc_error_2020-11-23_2021-02-13,perc_error_2020-11-30_2021-02-13,perc_error_2020-12-07_2021-02-13,perc_error_2020-12-14_2021-02-13,perc_error_2020-12-21_2021-02-13,perc_error_2020-12-28_2021-02-13,perc_error_2021-01-04_2021-02-13,perc_error_2021-01-11_2021-02-13,perc_error_2021-01-18_2021-02-13,perc_error_2021-01-25_2021-02-13,perc_error_2021-02-01_2021-02-13,perc_error_2021-02-08_2021-02-13
QJHong-Encounter,,,,,,,,,,,,,,-0.044,-0.029,-0.008,-0.036,0.036,-0.033,0.008,0.109
Karlen-pypm,,,,,,,,,,,,,,,,,0.012,0.021,-0.074,-0.093,-0.039
Columbia_UNC-SurvCon,,,,,,,,,,,,,,1.223,-0.006,-0.227,0.043,0.188,0.045,0.012,0.088
SigSci-TS,,,,,,,,,,,,,,,,,,-0.017,-0.035,-0.041,-0.021
Baseline,-0.604,-0.629,-0.661,-0.667,-0.689,-0.661,-0.663,-0.631,-0.584,-0.448,-0.498,-0.241,-0.183,-0.115,-0.279,-0.155,0.051,0.107,0.043,0.108,0.167
JHU_IDD-CovidSP,,,,,,,,,,,,,,,,-0.059,-0.014,0.018,-0.080,-0.187,-0.472
CovidAnalytics-DELPHI,,,,,,,,,,,,,,,,-0.353,-0.065,0.262,0.051,-0.045,-0.025
LANL-GrowthRate,,,,,,,,,,,,,,,,-0.242,0.263,0.236,-0.022,-0.097,0.029
RobertWalraven-ESG,,,,,,,,,,,,,,,,,,0.054,0.001,-0.044,-0.051
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,,0.037,0.007,0.032,0.169
OliverWyman-Navigator,,,,,,,,,,,,,,,,,,0.179,-0.026,-0.003,0.039
COVIDhub-ensemble,,,,,,,,,,,,,,,,,,0.111,-0.006,0.012,0.109
COVIDhub-baseline,,,,,,,,,,,,,,-0.114,-0.258,-0.154,0.042,0.130,0.064,0.144,0.312
PSI-DRAFT,,,,,,,,,,,,,,,,-0.192,-0.014,-0.046,0.207,0.215,0.244
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,0.153,0.018,0.038,0.098
USC-SI_kJalpha,,,,,,,,,,,,,,,,,,0.285,0.036,-0.013,0.035
IBF-TimeSeries,,,,,,,,,,,,,,-0.008,-0.145,-0.020,0.188,0.259,0.234,0.419,-0.033
UpstateSU-GRU,,,,,,,,,,,,,,,,,,-0.082,-0.151,-0.034,0.037
IowaStateLW-STEM,,-0.821,-0.727,-0.733,-0.771,-0.719,-0.682,-0.669,-0.580,-0.361,-0.401,-0.290,-0.024,-0.008,-0.052,-0.278,-0.113,0.136,0.051,0.201,0.159
UMass-MechBayes,,,,,,,,,,,,,,,,,,0.058,-0.141,-0.071,-0.040
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,0.186,0.040,0.063,0.134
BPagano-RtDriven,,,,,,,,,,,,,,,,,,-0.052,-0.056,0.110,0.164
JHUAPL-Bucky,,,,,,,,,,,,,-0.149,-0.128,-0.434,-0.444,-0.321,,-0.085,0.034,-0.135
Caltech-CS156,,,,,,,,,,,,,,,,,,-0.119,,-0.022,0.061
