,mean_abs_error_2020-04-20_2020-06-27,mean_abs_error_2020-04-27_2020-07-04,mean_abs_error_2020-05-04_2020-07-11,mean_abs_error_2020-05-11_2020-07-18,mean_abs_error_2020-05-18_2020-07-25,mean_abs_error_2020-05-25_2020-08-01,mean_abs_error_2020-06-01_2020-08-08,mean_abs_error_2020-06-08_2020-08-15,mean_abs_error_2020-06-15_2020-08-22,mean_abs_error_2020-06-22_2020-08-29,mean_abs_error_2020-06-29_2020-09-05,mean_abs_error_2020-07-06_2020-09-12,mean_abs_error_2020-07-13_2020-09-19,mean_abs_error_2020-07-20_2020-09-26,mean_abs_error_2020-07-27_2020-10-03,mean_abs_error_2020-08-03_2020-10-10,mean_abs_error_2020-08-10_2020-10-17,mean_abs_error_2020-08-17_2020-10-24,mean_abs_error_2020-08-24_2020-10-31,mean_abs_error_2020-08-31_2020-11-07,mean_abs_error_2020-09-07_2020-11-14,mean_abs_error_2020-09-14_2020-11-21,mean_abs_error_2020-09-21_2020-11-28,mean_abs_error_2020-09-28_2020-12-05,mean_abs_error_2020-10-05_2020-12-12,mean_abs_error_2020-10-12_2020-12-19,mean_abs_error_2020-10-19_2020-12-26,mean_abs_error_2020-10-26_2021-01-02,mean_abs_error_2020-11-02_2021-01-09,mean_abs_error_2020-11-09_2021-01-16,mean_abs_error_2020-11-16_2021-01-23,mean_abs_error_2020-11-23_2021-01-30,mean_abs_error_2020-11-30_2021-02-06,mean_abs_error_2020-12-07_2021-02-13,mean_abs_error_2020-12-14_2021-02-20,mean_abs_error_2020-12-21_2021-02-27,mean_abs_error_2020-12-28_2021-03-06,mean_sq_abs_error_2020-04-20_2020-06-27,mean_sq_abs_error_2020-04-27_2020-07-04,mean_sq_abs_error_2020-05-04_2020-07-11,mean_sq_abs_error_2020-05-11_2020-07-18,mean_sq_abs_error_2020-05-18_2020-07-25,mean_sq_abs_error_2020-05-25_2020-08-01,mean_sq_abs_error_2020-06-01_2020-08-08,mean_sq_abs_error_2020-06-08_2020-08-15,mean_sq_abs_error_2020-06-15_2020-08-22,mean_sq_abs_error_2020-06-22_2020-08-29,mean_sq_abs_error_2020-06-29_2020-09-05,mean_sq_abs_error_2020-07-06_2020-09-12,mean_sq_abs_error_2020-07-13_2020-09-19,mean_sq_abs_error_2020-07-20_2020-09-26,mean_sq_abs_error_2020-07-27_2020-10-03,mean_sq_abs_error_2020-08-03_2020-10-10,mean_sq_abs_error_2020-08-10_2020-10-17,mean_sq_abs_error_2020-08-17_2020-10-24,mean_sq_abs_error_2020-08-24_2020-10-31,mean_sq_abs_error_2020-08-31_2020-11-07,mean_sq_abs_error_2020-09-07_2020-11-14,mean_sq_abs_error_2020-09-14_2020-11-21,mean_sq_abs_error_2020-09-21_2020-11-28,mean_sq_abs_error_2020-09-28_2020-12-05,mean_sq_abs_error_2020-10-05_2020-12-12,mean_sq_abs_error_2020-10-12_2020-12-19,mean_sq_abs_error_2020-10-19_2020-12-26,mean_sq_abs_error_2020-10-26_2021-01-02,mean_sq_abs_error_2020-11-02_2021-01-09,mean_sq_abs_error_2020-11-09_2021-01-16,mean_sq_abs_error_2020-11-16_2021-01-23,mean_sq_abs_error_2020-11-23_2021-01-30,mean_sq_abs_error_2020-11-30_2021-02-06,mean_sq_abs_error_2020-12-07_2021-02-13,mean_sq_abs_error_2020-12-14_2021-02-20,mean_sq_abs_error_2020-12-21_2021-02-27,mean_sq_abs_error_2020-12-28_2021-03-06
YYG-ParamSearch,,,393.5,699.6,828.7,696.9,608.4,634.1,585.9,530.2,519.2,453.5,302.1,326.0,278.6,214.6,208.9,204.4,287.8,,,,,,,,,,,,,,,,,,,,,471663.1,1781526.2,2508291.8,1626003.2,1023899.0,1424340.3,1811199.9,1714610.5,1755864.2,1593388.6,436022.9,435104.8,195363.8,99783.3,123938.3,92405.8,232364.1,,,,,,,,,,,,,,,,,,
Covid19Sim-Simulator,,,,,,556.2,656.1,699.6,546.0,542.3,564.9,511.5,385.0,370.7,366.8,291.0,,,596.8,328.6,411.1,522.2,670.4,771.7,789.5,1024.4,1356.6,1125.0,1107.0,1205.7,,1644.5,1450.0,1212.1,900.2,816.9,1183.4,,,,,,1307350.3,1929337.8,2405330.9,1885544.9,1789906.8,1812256.8,2308591.6,1312671.8,899110.6,726674.7,228427.5,,,1253860.3,315099.2,427601.2,636997.9,998860.6,1319238.7,1714270.1,2553973.7,4065408.9,3359815.7,4062974.0,5257024.6,,8347632.7,7472553.4,4538327.8,2777170.0,1758342.5,4785450.5
IHME-CurveFit,1160.9,1087.0,490.3,358.6,414.6,,679.8,573.6,515.9,428.8,557.6,544.5,,419.0,371.6,395.2,472.1,,749.0,842.8,864.5,,779.1,945.0,,,839.4,942.0,,,,1000.7,,1024.9,1182.4,1032.4,1073.7,4356839.5,3878779.4,699191.7,510637.5,521371.8,,1920408.4,1594400.3,1572640.6,800880.0,1547885.7,1343886.5,,468009.6,274565.7,504931.9,857562.2,,3313805.8,3179651.0,2630785.4,,2124562.1,3313772.0,,,1855126.4,2373064.5,,,,4362212.2,,2432388.9,3840379.5,3133259.8,3623025.6
UCLA-SuEIR,,,520.4,509.5,407.8,494.3,535.8,654.7,681.3,728.1,784.8,722.7,498.2,457.9,343.8,302.7,397.1,350.6,362.0,366.9,420.4,552.4,651.1,825.5,1114.6,1390.5,1646.3,1861.3,2084.2,2259.7,2511.7,1629.0,2038.2,1585.0,1550.1,1421.5,1616.2,,,766596.8,1414747.1,610365.3,1038274.8,1326294.6,2205078.5,2900448.5,3079671.9,2994423.1,3140071.5,1218497.1,1180789.0,426295.1,391756.4,518388.0,274524.5,275418.8,259532.0,339656.9,598806.0,900137.3,1491320.5,2611007.8,4004230.7,5634827.6,7330636.9,9961695.2,11803442.8,15751070.4,10575545.8,15446763.5,10855254.2,10867356.3,8754616.1,12659707.7
IowaStateLW-STEM,,564.5,711.6,,571.4,592.1,708.1,736.4,697.3,701.6,810.1,644.4,529.6,415.0,442.2,430.6,,471.5,524.8,420.2,459.2,391.8,522.0,869.0,1098.3,1349.9,1597.5,1679.9,1824.7,2001.7,2012.3,1533.5,1788.1,1688.6,1544.9,1551.9,1359.8,,778930.0,1475902.3,,1005928.0,1281704.3,2155698.9,2604837.3,2451072.2,2400719.1,3797068.1,2026972.3,1266970.6,454376.4,644485.0,998058.1,,962273.8,1239808.7,528217.2,451901.3,383050.4,631925.0,1545728.1,2487334.4,3735462.0,5167438.6,6124743.0,7871050.5,10312559.5,12143143.7,9607573.4,12400415.6,11994996.8,9012582.7,7886261.2,5307295.2
Baseline,1394.0,1373.5,1301.4,1268.0,1104.7,968.6,890.0,928.0,824.7,765.8,1090.4,731.4,553.3,422.8,269.1,532.9,491.3,541.8,500.6,476.1,477.6,503.6,605.1,729.8,912.0,1166.3,1379.8,1482.7,1763.4,1948.8,1990.2,1758.6,2023.1,1626.2,1653.7,1387.3,1263.9,30541943.2,18109777.5,11440142.1,8511365.7,5844316.2,3101989.3,2439053.6,2845370.6,2822705.5,2726029.0,9984469.0,2984129.5,1407067.0,596159.6,280087.8,2041252.1,1608933.3,1433953.0,1254052.4,665442.9,693063.6,555848.3,802815.3,1264226.7,1817624.0,3044260.8,4254922.0,5170457.3,7777259.3,9539050.4,11527049.8,11057095.7,15300519.0,10963148.4,9842738.1,6140397.5,6661749.3
USACE-ERDC_SEIR,,,,,603.7,626.9,720.9,721.1,549.3,517.2,606.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1049602.7,1408282.0,1863635.3,2050455.9,1651350.6,1300440.7,2236383.2,,,,,,,,,,,,,,,,,,,,,,,,,,
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,906.0,1018.3,1081.3,1112.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1530378.9,2381364.5,3246837.7,2514850.5,,,,,,,,,
USC-SI_kJalpha,,,,,,,,,,,842.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7869880.7,,,,,,,,,,,,,,,,,,,,,,,,,,
JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,,,,,,,1198.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3083236.0,,,,,,,,,,,
