,mean_abs_error_2020-09-07_2021-01-23,mean_abs_error_2020-09-14_2021-01-23,mean_abs_error_2020-09-21_2021-01-23,mean_abs_error_2020-09-28_2021-01-23,mean_abs_error_2020-10-05_2021-01-23,mean_abs_error_2020-10-12_2021-01-23,mean_abs_error_2020-10-19_2021-01-23,mean_abs_error_2020-10-26_2021-01-23,mean_abs_error_2020-11-02_2021-01-23,mean_abs_error_2020-11-09_2021-01-23,mean_abs_error_2020-11-16_2021-01-23,mean_abs_error_2020-11-23_2021-01-23,mean_abs_error_2020-11-30_2021-01-23,mean_abs_error_2020-12-07_2021-01-23,mean_abs_error_2020-12-14_2021-01-23,mean_abs_error_2020-12-21_2021-01-23,mean_abs_error_2020-12-28_2021-01-23,mean_abs_error_2021-01-04_2021-01-23,mean_abs_error_2021-01-11_2021-01-23,mean_abs_error_2021-01-18_2021-01-23,mean_sq_abs_error_2020-09-07_2021-01-23,mean_sq_abs_error_2020-09-14_2021-01-23,mean_sq_abs_error_2020-09-21_2021-01-23,mean_sq_abs_error_2020-09-28_2021-01-23,mean_sq_abs_error_2020-10-05_2021-01-23,mean_sq_abs_error_2020-10-12_2021-01-23,mean_sq_abs_error_2020-10-19_2021-01-23,mean_sq_abs_error_2020-10-26_2021-01-23,mean_sq_abs_error_2020-11-02_2021-01-23,mean_sq_abs_error_2020-11-09_2021-01-23,mean_sq_abs_error_2020-11-16_2021-01-23,mean_sq_abs_error_2020-11-23_2021-01-23,mean_sq_abs_error_2020-11-30_2021-01-23,mean_sq_abs_error_2020-12-07_2021-01-23,mean_sq_abs_error_2020-12-14_2021-01-23,mean_sq_abs_error_2020-12-21_2021-01-23,mean_sq_abs_error_2020-12-28_2021-01-23,mean_sq_abs_error_2021-01-04_2021-01-23,mean_sq_abs_error_2021-01-11_2021-01-23,mean_sq_abs_error_2021-01-18_2021-01-23
JCB-PRM,,,,,,,,,,,,,1063.1,787.5,597.6,489.7,278.2,,,,,,,,,,,,,,,,4080033.2,2212326.7,1066061.1,751479.4,217796.6,,,
Karlen-pypm,,,,,,,,,,,,,,,,349.5,291.2,264.9,148.1,66.4,,,,,,,,,,,,,,,,388695.4,360867.5,274357.6,78850.6,10804.5
Baseline,2419.1,2696.5,2628.2,2617.4,2672.0,2656.7,2671.8,2494.0,2435.9,2252.6,1990.2,1503.3,1526.3,973.9,865.1,564.8,546.8,374.2,150.1,54.0,12792367.4,15043716.1,14588590.8,15205161.9,15503392.8,16224696.1,16814002.6,15453363.6,15554246.6,13233307.8,11527049.8,7755146.1,8060764.9,4069340.4,2829697.3,1214251.9,1335302.4,518695.7,62135.6,6747.8
COVIDhub-baseline,,,,,,,,,,,,,1492.4,986.4,851.9,571.2,522.9,370.9,167.4,69.2,,,,,,,,,,,,,7745013.8,4095493.4,2791015.9,1204551.9,1205283.5,493542.2,74745.3,11202.5
Google_Harvard-CPF,,,,,,,,,,,,,,,,,289.6,270.1,157.9,62.9,,,,,,,,,,,,,,,,,266088.7,281493.8,66459.1,7832.9
Covid19Sim-Simulator,3072.9,3279.5,3310.8,3055.7,2506.3,2472.1,2698.8,1872.9,1512.0,1441.9,,1395.5,1027.0,691.7,595.8,406.1,347.3,343.0,430.6,363.9,23463186.8,25498668.8,25535767.6,21130284.6,14539268.3,13903506.7,17490831.7,10471533.5,8878102.2,7599803.8,,6022390.3,3617376.5,1877029.7,1415993.0,524272.9,340547.1,357994.6,631033.3,459490.3
IowaStateLW-STEM,2992.8,2743.2,2743.3,3225.8,3148.1,3070.8,3062.8,2788.2,2528.8,2318.0,2012.3,1279.7,1298.3,1027.1,742.2,595.5,398.9,312.0,212.9,104.0,17821730.2,16077839.4,17232799.5,21802806.9,21214445.9,20771446.1,20850075.2,18328434.1,16063858.9,14303415.8,12143143.7,6521633.1,6171322.0,4263915.8,2258172.7,1325363.3,625933.7,405776.7,130959.2,30142.6
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,337.8,272.5,148.2,69.8,,,,,,,,,,,,,,,,,447717.9,264514.8,62230.2,9486.6
OliverWyman-Navigator,,,,,,,,,,,,,,,,,380.9,250.7,168.7,60.2,,,,,,,,,,,,,,,,,570371.7,252804.3,54983.8,8241.0
GT-DeepCOVID,,,,,,,,,,,,,,,,,404.2,300.8,153.8,50.4,,,,,,,,,,,,,,,,,567803.0,251953.0,77888.6,6280.4
