,perc_error_2020-04-20_2020-07-11,perc_error_2020-04-27_2020-07-18,perc_error_2020-05-04_2020-07-25,perc_error_2020-05-11_2020-08-01,perc_error_2020-05-18_2020-08-08,perc_error_2020-05-25_2020-08-15,perc_error_2020-06-01_2020-08-22,perc_error_2020-06-08_2020-08-29,perc_error_2020-06-15_2020-09-05,perc_error_2020-06-22_2020-09-12,perc_error_2020-06-29_2020-09-19,perc_error_2020-07-06_2020-09-26,perc_error_2020-07-13_2020-10-03,perc_error_2020-07-20_2020-10-10,perc_error_2020-07-27_2020-10-17,perc_error_2020-08-03_2020-10-24,perc_error_2020-08-10_2020-10-31,perc_error_2020-08-17_2020-11-07,perc_error_2020-08-24_2020-11-14,perc_error_2020-08-31_2020-11-21,perc_error_2020-09-07_2020-11-28,perc_error_2020-09-14_2020-12-05,perc_error_2020-09-21_2020-12-12,perc_error_2020-09-28_2020-12-19,perc_error_2020-10-05_2020-12-26,perc_error_2020-10-12_2021-01-02,perc_error_2020-10-19_2021-01-09,perc_error_2020-10-26_2021-01-16,perc_error_2020-11-02_2021-01-23,perc_error_2020-11-09_2021-01-30,perc_error_2020-11-16_2021-02-06,perc_error_2020-11-23_2021-02-13,perc_error_2020-11-30_2021-02-20,perc_error_2020-12-07_2021-02-27,perc_error_2020-12-14_2021-03-06
Baseline,0.909,0.993,0.992,0.948,0.712,0.417,0.152,0.052,-0.126,-0.293,-0.049,-0.428,-0.158,-0.138,0.054,0.342,0.275,0.228,0.145,-0.002,-0.117,-0.324,-0.370,-0.464,-0.539,-0.577,-0.634,-0.628,-0.645,-0.625,-0.585,-0.448,-0.483,-0.196,-0.100
IHME-CurveFit,-0.729,-0.783,-0.135,-0.200,-0.283,,,-0.279,-0.194,-0.299,-0.406,-0.306,,-0.071,-0.112,-0.001,0.256,,0.418,0.521,0.617,,0.079,0.101,,,-0.274,-0.290,,,,-0.188,,-0.057,-0.206
Covid19Sim-Simulator,,,,,,-0.533,-0.615,-0.637,-0.403,-0.414,0.029,0.158,0.196,0.205,0.204,0.013,,-0.487,-0.631,-0.422,-0.486,-0.593,-0.717,-0.692,-0.431,-0.469,-0.719,-0.168,-0.217,0.069,,0.092,0.013,0.237,0.082
YYG-ParamSearch,,,,,,,,0.029,-0.120,-0.296,-0.221,-0.285,-0.043,-0.146,-0.071,-0.013,-0.042,,,,,,,,,,,,,,,,,,
IowaStateLW-STEM,,,-0.471,,-0.498,-0.386,-0.477,-0.662,-0.547,-0.543,-0.809,-0.147,-0.214,-0.315,-0.239,-0.140,,-0.204,-0.154,-0.196,-0.337,-0.316,-0.432,-0.721,-0.607,-0.646,-0.720,-0.682,-0.661,-0.661,-0.581,-0.361,-0.385,-0.258,0.063
UCLA-SuEIR,,,-0.385,-0.299,-0.315,-0.515,-0.634,-0.664,-0.760,-0.787,-0.610,-0.602,-0.399,-0.347,-0.155,-0.049,-0.354,-0.234,-0.302,-0.354,-0.471,-0.582,-0.621,-0.676,-0.652,-0.670,-0.705,-0.738,-0.677,-0.565,-0.468,-0.296,-0.540,-0.178,-0.264
STH-3PU,,,,,,,,,-0.503,-0.722,-0.784,-0.785,-0.800,-0.066,0.417,1.351,-0.026,-0.053,-0.103,-0.173,-0.723,-0.385,-0.481,,-0.595,-0.625,-0.665,-0.710,-0.714,,,,,,
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,-0.600,-0.493,-0.387,-0.399,,,,,,,
USACE-ERDC_SEIR,,,,,-0.576,-0.637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC-SI_kJalpha,,,,,,,,,,,-0.011,,,,,,,,,,,,,,,,,,,,,,,,
JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,,,,,,,-0.647,,,,,,,,,
