,perc_error_2020-09-21_2021-02-27,perc_error_2020-09-28_2021-02-27,perc_error_2020-10-05_2021-02-27,perc_error_2020-10-12_2021-02-27,perc_error_2020-10-19_2021-02-27,perc_error_2020-10-26_2021-02-27,perc_error_2020-11-02_2021-02-27,perc_error_2020-11-09_2021-02-27,perc_error_2020-11-16_2021-02-27,perc_error_2020-11-23_2021-02-27,perc_error_2020-11-30_2021-02-27,perc_error_2020-12-07_2021-02-27,perc_error_2020-12-14_2021-02-27,perc_error_2020-12-21_2021-02-27,perc_error_2020-12-28_2021-02-27,perc_error_2021-01-04_2021-02-27,perc_error_2021-01-11_2021-02-27,perc_error_2021-01-18_2021-02-27,perc_error_2021-01-25_2021-02-27,perc_error_2021-02-01_2021-02-27,perc_error_2021-02-08_2021-02-27,perc_error_2021-02-15_2021-02-27,perc_error_2021-02-22_2021-02-27
LANL-GrowthRate,,,,,,,,,,,,,,,,,,0.514,0.054,-0.037,0.024,-0.018,-0.200
QJHong-Encounter,,,,,,,,,,,,,,,,,,0.184,0.066,0.102,0.179,0.247,-0.061
Karlen-pypm,,,,,,,,,,,,,,,,,,,-0.006,-0.073,-0.029,-0.004,-0.159
IHME-CurveFit,,,,,-0.243,-0.264,,,,-0.171,,-0.057,-0.213,0.076,0.105,,,0.118,0.096,-0.003,-0.082,-0.226,-0.361
JHU_IDD-CovidSP,,,,,,,,,,,,,,,,,,0.183,0.097,0.023,-0.042,-0.094,-0.449
USC-SI_kJalpha,,,,,,,,,,,,,,,,,,,0.069,0.030,0.037,0.156,-0.155
CovidAnalytics-DELPHI,,,,,,,,,,,,,,,,,,0.278,0.264,0.112,0.122,0.231,-0.043
Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,-0.194,0.190,0.379,0.146,0.064,0.096,0.281,-0.153
SigSci-TS,,,,,,,,,,,,,,,,,,,,0.044,0.033,0.083,-0.047
FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,0.067,0.228,0.116,0.161,-0.088
JHUAPL-Bucky,,,,,,,,,,,,,,,,-0.434,-0.286,,-0.174,0.048,0.043,0.077,-0.382
UMass-MechBayes,,,,,,,,,,,,,,,,,,,,-0.015,0.036,0.079,-0.218
PSI-DRAFT,,,,,,,,,,,,,,,,,,0.031,0.392,0.395,0.404,0.214,-0.062
TTU-squider,,,,,,,,,,,,,,,,,,,,-0.002,0.027,-0.096,-0.394
CU-select,,,,,,,,,,,,,,,,,,,,-0.101,-0.067,-0.069,-0.177
Baseline,-0.603,-0.628,-0.658,-0.664,-0.684,-0.654,-0.654,-0.619,-0.568,-0.424,-0.471,-0.196,-0.128,-0.048,-0.213,-0.064,0.180,0.260,0.218,0.330,0.462,0.232,-0.116
UA-EpiCovDA,,,,,,,,,,,,,,,,,,,,-0.139,-0.102,-0.005,-0.190
