,mean_abs_error_2020-05-25_2020-10-10,mean_abs_error_2020-06-01_2020-10-10,mean_abs_error_2020-06-08_2020-10-10,mean_abs_error_2020-06-15_2020-10-10,mean_abs_error_2020-06-22_2020-10-10,mean_abs_error_2020-06-29_2020-10-10,mean_abs_error_2020-07-06_2020-10-10,mean_abs_error_2020-07-13_2020-10-10,mean_abs_error_2020-07-20_2020-10-10,mean_abs_error_2020-07-27_2020-10-10,mean_abs_error_2020-08-03_2020-10-10,mean_abs_error_2020-08-10_2020-10-10,mean_abs_error_2020-08-17_2020-10-10,mean_abs_error_2020-08-24_2020-10-10,mean_abs_error_2020-08-31_2020-10-10,mean_abs_error_2020-09-07_2020-10-10,mean_abs_error_2020-09-14_2020-10-10,mean_abs_error_2020-09-21_2020-10-10,mean_abs_error_2020-09-28_2020-10-10,mean_abs_error_2020-10-05_2020-10-10,mean_sq_abs_error_2020-05-25_2020-10-10,mean_sq_abs_error_2020-06-01_2020-10-10,mean_sq_abs_error_2020-06-08_2020-10-10,mean_sq_abs_error_2020-06-15_2020-10-10,mean_sq_abs_error_2020-06-22_2020-10-10,mean_sq_abs_error_2020-06-29_2020-10-10,mean_sq_abs_error_2020-07-06_2020-10-10,mean_sq_abs_error_2020-07-13_2020-10-10,mean_sq_abs_error_2020-07-20_2020-10-10,mean_sq_abs_error_2020-07-27_2020-10-10,mean_sq_abs_error_2020-08-03_2020-10-10,mean_sq_abs_error_2020-08-10_2020-10-10,mean_sq_abs_error_2020-08-17_2020-10-10,mean_sq_abs_error_2020-08-24_2020-10-10,mean_sq_abs_error_2020-08-31_2020-10-10,mean_sq_abs_error_2020-09-07_2020-10-10,mean_sq_abs_error_2020-09-14_2020-10-10,mean_sq_abs_error_2020-09-21_2020-10-10,mean_sq_abs_error_2020-09-28_2020-10-10,mean_sq_abs_error_2020-10-05_2020-10-10
YYG-ParamSearch,,,,,,,,397.1,392.2,301.3,214.6,190.2,146.2,146.8,123.8,108.9,102.5,65.1,35.1,14.7,,,,,,,,568181.4,534945.0,225973.4,99783.3,103702.6,50176.0,78180.9,62084.9,47766.1,40244.8,11762.0,2588.6,507.2
USC-SI_kJalpha,,,,,,,,,,,,,232.7,234.5,172.9,118.0,87.8,62.9,46.4,18.8,,,,,,,,,,,,,148844.0,194523.5,123720.5,36155.5,20253.8,9870.5,5583.0,911.4
UCLA-SuEIR,,,,,,,1013.4,626.1,555.1,383.3,302.7,333.2,248.8,196.6,166.5,118.9,82.5,70.7,39.7,21.7,,,,,,,5153897.9,1667797.5,1535770.1,489707.0,391756.4,379921.6,156266.3,98718.2,54326.1,37241.6,19699.1,11072.0,3152.3,1212.7
JCB-PRM,,,,,,,,,,,,,,,,93.9,89.0,53.4,35.1,22.9,,,,,,,,,,,,,,,,34348.7,30156.0,11034.1,2820.3,1216.0
Karlen-pypm,,,,,,,,,,,,,,,,117.9,92.8,60.9,33.1,20.9,,,,,,,,,,,,,,,,57149.4,32536.9,15513.1,3195.9,944.0
Baseline,2376.2,1919.7,1787.7,1411.5,1146.2,1537.1,922.5,657.3,470.8,308.7,532.9,409.3,378.9,276.7,207.7,141.7,96.5,71.7,41.0,19.4,18265950.4,11479226.9,9990978.5,7413644.0,5445120.1,21302728.1,4339585.2,1763808.1,680953.9,373760.3,2041252.1,1166144.3,739831.7,428875.3,136030.7,86506.6,24064.4,13958.2,3976.5,948.1
COVIDhub-ensemble,,,,,,,,,,,,,,,,,77.7,49.8,30.5,18.8,,,,,,,,,,,,,,,,,19671.9,6421.6,1893.6,850.7
JHU_IDD-CovidSP,,,,,,,,,,,,,,,,139.8,96.1,59.7,38.9,23.6,,,,,,,,,,,,,,,,54744.8,19791.7,8033.4,2819.5,1395.4
UMass-MechBayes,,,,,,,,,,,,,,,,,88.0,56.7,32.0,19.4,,,,,,,,,,,,,,,,,21534.5,8901.6,2454.6,1181.0
LNQ-ens1,,,,,,,,,,,,,,,,,108.7,60.6,27.3,18.3,,,,,,,,,,,,,,,,,27453.9,9369.3,1493.5,1096.8
