,perc_error_2020-04-27_2020-08-08,perc_error_2020-05-04_2020-08-08,perc_error_2020-05-11_2020-08-08,perc_error_2020-05-18_2020-08-08,perc_error_2020-05-25_2020-08-08,perc_error_2020-06-01_2020-08-08,perc_error_2020-06-08_2020-08-08,perc_error_2020-06-15_2020-08-08,perc_error_2020-06-22_2020-08-08,perc_error_2020-06-29_2020-08-08,perc_error_2020-07-06_2020-08-08,perc_error_2020-07-13_2020-08-08,perc_error_2020-07-20_2020-08-08,perc_error_2020-07-27_2020-08-08,perc_error_2020-08-03_2020-08-08
Baseline,0.967,0.929,0.907,0.699,0.437,0.196,0.107,-0.079,-0.270,-0.048,-0.458,-0.244,-0.283,-0.194,-0.009
YYG-ParamSearch,,,,,,0.164,0.066,-0.078,-0.297,-0.257,-0.380,-0.213,-0.201,-0.166,-0.084
USACE-ERDC_SEIR,,,,-0.579,-0.605,-0.607,-0.607,-0.361,-0.278,-0.164,-0.088,-0.022,0.671,0.160,0.204
CovidAnalytics-DELPHI,,,,,,,,,,,0.132,-0.006,-0.081,-0.117,-0.217
Columbia_UNC-SurvCon,,,,,,,,,,,0.416,0.253,-0.067,-0.113,-0.052
JHU_IDD-CovidSP,,,,,,,,,,,0.234,0.074,0.004,-0.122,-0.211
OliverWyman-Navigator,,,,,,,,,,,,0.017,-0.079,-0.093,0.021
IowaStateLW-STEM,,-0.527,,-0.501,-0.364,-0.422,-0.564,-0.450,-0.476,-0.765,-0.086,-0.300,-0.316,-0.248,-0.028
QJHong-Encounter,,,,,,,,,,,0.979,0.284,-0.018,-0.063,0.066
PSI-DRAFT,,,,,,,,,,-0.366,-0.485,-0.379,-0.173,0.028,0.222
GT-DeepCOVID,,,,,,,,,,,,-0.037,-0.134,-0.107,0.085
COVIDhub-ensemble,,,,,,,,,,,,-0.178,-0.177,-0.117,-0.054
UCLA-SuEIR,,-0.482,-0.358,-0.320,-0.471,-0.557,-0.552,-0.646,-0.664,-0.507,-0.532,-0.306,-0.298,-0.116,0.157
UMass-MechBayes,,,,,,,,,,,,0.036,-0.123,-0.189,-0.095
USC-SI_kJalpha,,,,,,,,,,0.164,0.705,0.593,-0.084,-0.285,0.183
CU-select,,,,,,,,,,,,-0.234,-0.320,0.060,0.076
IHME-CurveFit,,-0.273,-0.278,-0.288,,-0.441,-0.237,-0.168,-0.291,-0.331,-0.328,,-0.123,-0.223,-0.399
CovidActNow-SEIR_CAN,,,,,,,,,,,-0.139,,,,
Covid19Sim-Simulator,,,,,-0.517,-0.597,-0.624,-0.320,-0.350,-0.263,-0.204,-0.314,-0.323,-0.529,-0.427
LNQ-ens1,,,,,,,,,,,,,-0.002,-0.069,0.163
MOBS-GLEAM_COVID,,,,,,,,,,,,-0.324,0.160,-0.059,0.232
COVIDhub-baseline,,,,,,,,,,,,-0.255,-0.265,-0.172,0.105
LANL-GrowthRate,,,,,,,,,,-0.324,-0.579,-0.430,-0.413,-0.389,-0.294
NotreDame-mobility,,,,,,,,,,0.063,-0.623,-0.443,-0.383,-0.458,-0.990
JCB-PRM,,,,,,,,,,,,,,-0.018,0.079
STH-3PU,,,,,,,,-0.378,-0.632,-0.707,-0.736,-0.794,-0.348,0.026,0.450
UA-EpiCovDA,,,,,,,,,,,,-0.438,-0.216,-0.051,-1.292
UT-Mobility,,,,,,,,,,,,0.321,0.215,0.277,0.403
SWC-TerminusCM,,,,,,,,,,-0.576,,,,,
Auquan-SEIR,,,,,,,,,,,-0.517,,,,0.093
epiforecasts-ensemble1,,,,,,,,,,,-0.622,-0.433,-0.466,-0.240,-1.023
RobertWalraven-ESG,,,,,,,,,,,,-0.981,-0.169,-0.429,-0.444
DDS-NBDS,,,,,,,,,,,,,,0.268,0.115
UMich-RidgeTfReg,,,,,,,,,,,,-0.512,-0.506,-0.363,-0.331
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,-0.080
MITCovAlliance-SIR,,,,,,,,,,,-0.521,-0.620,-0.687,-0.839,-1.007
Geneva-DetGrowth,,,,,,,,,,,,,,,0.266
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,-0.508,-0.808
Karlen-pypm,,,,,,,,,,,,,,-0.584,-1.161
