,perc_error_2020-07-13_2020-11-28,perc_error_2020-07-20_2020-11-28,perc_error_2020-07-27_2020-11-28,perc_error_2020-08-03_2020-11-28,perc_error_2020-08-10_2020-11-28,perc_error_2020-08-17_2020-11-28,perc_error_2020-08-24_2020-11-28,perc_error_2020-08-31_2020-11-28,perc_error_2020-09-07_2020-11-28,perc_error_2020-09-14_2020-11-28,perc_error_2020-09-21_2020-11-28,perc_error_2020-09-28_2020-11-28,perc_error_2020-10-05_2020-11-28,perc_error_2020-10-12_2020-11-28,perc_error_2020-10-19_2020-11-28,perc_error_2020-10-26_2020-11-28,perc_error_2020-11-02_2020-11-28,perc_error_2020-11-09_2020-11-28,perc_error_2020-11-16_2020-11-28,perc_error_2020-11-23_2020-11-28
BPagano-RtDriven,,,,,,,,,,,,,-0.465,-0.318,-0.080,-0.062,-0.146,-0.069,-0.094,0.098
USC-SI_kJalpha,,,,,,,,,,,,,-0.337,-0.284,-0.241,-0.107,-0.135,-0.093,-0.043,0.154
QJHong-Encounter,,,,,,,,,,,,,-0.281,-0.208,-0.239,-0.193,-0.173,-0.146,-0.074,0.059
Columbia_UNC-SurvCon,,,,,,,,,,,,,0.122,-0.169,-0.102,-0.040,-0.204,-0.152,-0.120,0.126
IBF-TimeSeries,,,,,,,,,,,,,,-0.203,-0.233,-0.118,-0.166,-0.061,0.048,0.585
JCB-PRM,,,,,,,,,,,,,-0.283,-0.244,-0.304,-0.208,-0.207,-0.161,-0.123,0.022
Karlen-pypm,,,,,,,,,,,,,,,,-0.002,-0.038,-0.021,0.067,0.145
JHUAPL-Bucky,,,,,,,,,,,,,,-0.377,-0.287,-0.130,-0.265,-0.223,-0.046,-0.498
UMass-MechBayes,,,,,,,,,,,,,,,,,-0.113,-0.018,0.038,0.067
CU-select,,,,,,,,,,,,,,,,,-0.086,0.101,-0.095,-0.026
Covid19Sim-Simulator,0.446,0.178,0.075,-0.170,,-0.563,-0.679,-0.485,-0.486,-0.530,-0.604,-0.506,-0.222,-0.272,-0.450,-0.129,-0.094,-0.095,,0.193
LANL-GrowthRate,,,,,,,,,,,,,,-0.666,-0.693,-0.627,-0.256,-0.116,-0.061,0.036
UA-EpiCovDA,,,,,,,,,,,,,,,,,-0.208,-0.098,-0.075,-0.044
LNQ-ens1,,,,,,,,,,,,,,,,,-0.203,-0.095,-0.046,0.219
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,-0.156,0.024,0.096,0.277
JHU_IDD-CovidSP,,,,,,,,,,,,,,,-0.410,-0.473,-0.551,-0.606,-0.077,0.017
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,-0.242,-0.183,-0.176,0.063
Caltech-CS156,,,,,,,,,,,,,,,,,-0.320,-0.205,-0.174,0.023
COVIDhub-baseline,,,,,,,,,,,,,-0.337,-0.354,-0.396,-0.347,-0.390,-0.350,-0.304,-0.044
OliverWyman-Navigator,,,,,,,,,,,,,,,,,-0.248,-0.138,-0.152,0.115
UCLA-SuEIR,,,,,,,-0.415,-0.407,-0.471,-0.519,-0.498,-0.508,-0.443,-0.435,-0.453,-0.470,-0.416,-0.327,-0.287,0.002
COVIDhub-ensemble,,,,,,,,,,,,,,,,,-0.278,-0.242,-0.190,0.022
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,-0.265,-0.207,-0.204,0.035
Baseline,-0.216,-0.210,-0.053,0.184,0.109,0.075,0.021,-0.055,-0.117,-0.250,-0.223,-0.268,-0.334,-0.352,-0.404,-0.363,-0.389,-0.355,-0.314,-0.073
TTU-squider,,,,,,,,,,,,,,,,,-0.256,-0.156,-0.254,0.104
MSRA-DeepST,,,,,,,,,,,,,,,,,-0.286,-0.230,-0.183,0.123
CovidAnalytics-DELPHI,,,,,,,,,,,,,,-0.556,-0.655,-0.476,-0.419,-0.368,-0.279,0.015
IowaStateLW-STEM,-0.266,-0.406,-0.353,-0.283,,-0.333,-0.263,-0.247,-0.337,-0.234,-0.279,-0.598,-0.395,-0.418,-0.499,-0.398,-0.381,-0.395,-0.282,0.132
GT-DeepCOVID,,,,,,,,,,,,,,,,,-0.340,-0.343,-0.180,0.107
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,-0.331,-0.334,-0.294,-0.046
PSI-DRAFT,,,,,,,,,,,,,,,-0.609,-0.484,-0.342,-0.428,-0.191,-0.114
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,-0.333,-0.356,-0.200,-0.082
IHME-CurveFit,,-0.125,-0.225,-0.124,0.201,,0.385,0.500,0.617,,0.060,0.175,,,-0.228,-0.211,,,,-0.295
RobertWalraven-ESG,,,,,,,,,,,,,-0.751,,,,-0.309,-0.231,-0.215,0.224
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,-0.264,-0.255,-0.216,0.307
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,-0.224,-0.282,-0.350,-0.399,-0.413
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,-0.390,-0.324,-0.217,0.104
UT-Mobility,,,,,,,,,,,,,,,,,-0.374,-0.343,-0.285,-0.096
CEID-Walk,,,,,,,,,,,,,,,,,-0.389,-0.359,-0.303,-0.034
STH-3PU,-0.672,0.278,0.130,0.716,-0.168,-0.180,-0.202,-0.217,-0.723,-0.314,-0.361,,-0.424,-0.417,-0.434,-0.489,-0.423,,,
DDS-NBDS,,,,,,,,,,,,,,,,,-0.458,-0.273,-0.335,0.058
