,mean_abs_error_2020-04-20_2020-05-02,mean_abs_error_2020-04-27_2020-05-02,mean_sq_abs_error_2020-04-20_2020-05-02,mean_sq_abs_error_2020-04-27_2020-05-02
YYG-ParamSearch,118.8,52.0,55811.2,14980.0
Baseline_0.98,127.3,56.2,130988.0,20623.2
Baseline,131.2,59.0,245096.0,24024.3
COVIDhub-baseline,297.2,47.9,2437393.4,13307.1
LANL-GrowthRate,194.8,86.5,502847.0,44093.7
IHME-CurveFit,166.7,102.4,117048.3,63382.8
MIT_CovidAnalytics-DELPHI,,88.2,,112342.0
COVIDhub-ensemble,,88.9,,125822.5
CU-select,218.3,161.9,180684.3,336959.7
MOBS_NEU-GLEAM_COVID,336.9,101.2,553603.9,39670.9
UT-Mobility,291.8,169.8,1254990.3,742192.2
IowaStateLW-STEM,,116.0,,165290.1
UMass-MechBayes,,171.2,,301817.1
