,mean_abs_error_2020-04-27_2020-08-29,mean_abs_error_2020-05-04_2020-09-05,mean_abs_error_2020-05-18_2020-09-19,mean_abs_error_2020-05-25_2020-09-26,mean_abs_error_2020-06-01_2020-10-03,mean_abs_error_2020-06-08_2020-10-10,mean_abs_error_2020-06-15_2020-10-17,mean_abs_error_2020-06-22_2020-10-24,mean_abs_error_2020-06-29_2020-10-31,mean_abs_error_2020-07-06_2020-11-07,mean_abs_error_2020-07-13_2020-11-14,mean_abs_error_2020-07-20_2020-11-21,mean_abs_error_2020-07-27_2020-11-28,mean_abs_error_2020-08-03_2020-12-05,mean_abs_error_2020-08-10_2020-12-12,mean_abs_error_2020-08-17_2020-12-19,mean_abs_error_2020-08-24_2020-12-26,mean_abs_error_2020-08-31_2021-01-02,mean_abs_error_2020-09-07_2021-01-09,mean_abs_error_2020-09-14_2021-01-16,mean_abs_error_2020-09-21_2021-01-23,mean_abs_error_2020-09-28_2021-01-30,mean_abs_error_2020-10-05_2021-02-06,mean_abs_error_2020-10-12_2021-02-13,mean_abs_error_2020-10-19_2021-02-20,mean_abs_error_2020-10-26_2021-02-27,mean_abs_error_2020-11-02_2021-03-06,mean_sq_abs_error_2020-04-27_2020-08-29,mean_sq_abs_error_2020-05-04_2020-09-05,mean_sq_abs_error_2020-05-18_2020-09-19,mean_sq_abs_error_2020-05-25_2020-09-26,mean_sq_abs_error_2020-06-01_2020-10-03,mean_sq_abs_error_2020-06-08_2020-10-10,mean_sq_abs_error_2020-06-15_2020-10-17,mean_sq_abs_error_2020-06-22_2020-10-24,mean_sq_abs_error_2020-06-29_2020-10-31,mean_sq_abs_error_2020-07-06_2020-11-07,mean_sq_abs_error_2020-07-13_2020-11-14,mean_sq_abs_error_2020-07-20_2020-11-21,mean_sq_abs_error_2020-07-27_2020-11-28,mean_sq_abs_error_2020-08-03_2020-12-05,mean_sq_abs_error_2020-08-10_2020-12-12,mean_sq_abs_error_2020-08-17_2020-12-19,mean_sq_abs_error_2020-08-24_2020-12-26,mean_sq_abs_error_2020-08-31_2021-01-02,mean_sq_abs_error_2020-09-07_2021-01-09,mean_sq_abs_error_2020-09-14_2021-01-16,mean_sq_abs_error_2020-09-21_2021-01-23,mean_sq_abs_error_2020-09-28_2021-01-30,mean_sq_abs_error_2020-10-05_2021-02-06,mean_sq_abs_error_2020-10-12_2021-02-13,mean_sq_abs_error_2020-10-19_2021-02-20,mean_sq_abs_error_2020-10-26_2021-02-27,mean_sq_abs_error_2020-11-02_2021-03-06
Baseline,3403.8,3162.4,2581.2,2142.4,1830.5,1787.7,1476.9,1247.1,1807.6,1169.8,911.1,851.0,994.4,1537.8,1659.7,1803.4,1757.6,1697.2,1882.1,2388.5,2628.2,2932.6,3328.0,3537.1,3745.7,3676.6,3753.1,84026852.0,54952574.7,27419253.9,14729563.1,10405478.7,9990978.5,8070858.6,6192536.4,29657459.1,5642590.5,2448177.2,1710320.5,2410136.2,10195943.4,8307756.3,7714321.3,6705352.3,6304960.6,7899708.4,11653797.7,14588590.8,19452777.3,24793195.0,30397622.2,35309840.6,37919937.7,42512149.0
IowaStateLW-STEM,1450.3,1640.5,1594.1,1530.3,1681.8,1534.9,1271.7,1234.2,1345.3,1084.1,1109.6,1042.9,1259.3,1410.0,,1715.2,1834.9,1911.9,2240.7,2403.8,2743.3,3605.7,3882.1,4084.2,4280.0,4146.8,3945.3,6786374.2,7126839.7,9156040.8,9537019.3,12536315.4,9661329.6,6774279.7,5447550.1,7595814.2,4041283.4,4047078.3,2151850.5,4195382.9,5457791.4,,6547863.2,7156482.6,7552930.7,10069506.7,12158648.6,17232799.5,27961535.2,33712882.6,39299520.5,44542827.2,45881000.0,45555706.0
IHME-CurveFit,,,,,,1523.5,1230.7,964.8,950.7,809.6,,1088.5,1027.8,1044.8,1440.5,,1776.0,1637.2,1629.5,,1548.0,1440.1,,,1709.3,1763.4,,,,,,,7308188.5,6462026.3,3554897.6,2428800.8,1603845.4,,2827779.1,2264239.8,2473045.7,8203197.9,,17169543.0,17747502.6,14796724.5,,10174842.5,10480410.6,,,6246149.4,8446767.0,
Covid19Sim-Simulator,,,,1215.8,1259.4,1248.9,1034.9,1000.6,2012.4,1835.3,1460.8,1090.6,973.1,971.6,,,2307.3,2082.6,2325.2,2899.1,3310.8,3439.6,3308.4,3323.5,3819.3,2679.8,2553.6,,,,6945771.9,7129697.1,7025915.5,5067526.6,3894084.2,42900801.5,34775475.2,15659101.2,5016317.8,3697937.4,2150432.8,,,10432505.0,8647380.9,12704450.9,19429938.3,25535767.6,27438419.6,25834725.8,26725249.8,38851989.3,25210717.9,25789777.4
