,mean_abs_error_2020-08-17_2021-01-02,mean_abs_error_2020-08-24_2021-01-02,mean_abs_error_2020-08-31_2021-01-02,mean_abs_error_2020-09-07_2021-01-02,mean_abs_error_2020-09-14_2021-01-02,mean_abs_error_2020-09-21_2021-01-02,mean_abs_error_2020-09-28_2021-01-02,mean_abs_error_2020-10-05_2021-01-02,mean_abs_error_2020-10-12_2021-01-02,mean_abs_error_2020-10-19_2021-01-02,mean_abs_error_2020-10-26_2021-01-02,mean_abs_error_2020-11-02_2021-01-02,mean_abs_error_2020-11-09_2021-01-02,mean_abs_error_2020-11-16_2021-01-02,mean_abs_error_2020-11-23_2021-01-02,mean_abs_error_2020-11-30_2021-01-02,mean_abs_error_2020-12-07_2021-01-02,mean_abs_error_2020-12-14_2021-01-02,mean_abs_error_2020-12-21_2021-01-02,mean_abs_error_2020-12-28_2021-01-02,mean_sq_abs_error_2020-08-17_2021-01-02,mean_sq_abs_error_2020-08-24_2021-01-02,mean_sq_abs_error_2020-08-31_2021-01-02,mean_sq_abs_error_2020-09-07_2021-01-02,mean_sq_abs_error_2020-09-14_2021-01-02,mean_sq_abs_error_2020-09-21_2021-01-02,mean_sq_abs_error_2020-09-28_2021-01-02,mean_sq_abs_error_2020-10-05_2021-01-02,mean_sq_abs_error_2020-10-12_2021-01-02,mean_sq_abs_error_2020-10-19_2021-01-02,mean_sq_abs_error_2020-10-26_2021-01-02,mean_sq_abs_error_2020-11-02_2021-01-02,mean_sq_abs_error_2020-11-09_2021-01-02,mean_sq_abs_error_2020-11-16_2021-01-02,mean_sq_abs_error_2020-11-23_2021-01-02,mean_sq_abs_error_2020-11-30_2021-01-02,mean_sq_abs_error_2020-12-07_2021-01-02,mean_sq_abs_error_2020-12-14_2021-01-02,mean_sq_abs_error_2020-12-21_2021-01-02,mean_sq_abs_error_2020-12-28_2021-01-02
JCB-PRM,,,,,,,,,,,,,1002.2,631.3,646.8,449.9,327.3,238.7,180.2,65.4,,,,,,,,,,,,,2969976.4,1440949.2,1258281.5,716307.2,373222.6,150137.1,78801.8,11136.6
Karlen-pypm,,,,,,,,,,,,,,,,371.5,292.5,202.4,129.7,63.0,,,,,,,,,,,,,,,,366257.1,278609.0,128384.5,46774.5,10155.1
Caltech-CS156,,,,,,,,,,,,,,,,,273.0,159.5,104.3,61.3,,,,,,,,,,,,,,,,,235004.4,92025.0,32183.7,11169.4
COVIDhub-ensemble,,,,,,,,,,,,,,,,,265.4,177.2,121.2,59.1,,,,,,,,,,,,,,,,,317593.4,126742.8,38788.2,12157.3
UMass-MechBayes,,,,,,,,,,,,,,,,,242.9,142.9,94.1,80.9,,,,,,,,,,,,,,,,,190184.3,72080.1,35294.5,19048.0
GT-DeepCOVID,,,,,,,,,,,,,,,,,253.8,223.1,116.6,69.7,,,,,,,,,,,,,,,,,239723.4,185554.4,53186.5,15139.6
COVIDhub-baseline,,,,,,,,,,,,,1260.9,1098.2,757.0,739.8,373.1,255.5,137.3,80.2,,,,,,,,,,,,,3863426.0,3143870.6,1782943.9,1586878.7,545345.2,257515.9,54683.0,21415.7
Baseline,2158.3,1919.9,1697.2,1644.8,1720.3,1668.7,1662.1,1664.5,1663.1,1647.6,1482.7,1435.2,1290.4,1102.8,738.2,755.7,364.7,261.2,129.0,93.4,10562780.7,7959296.6,6304960.6,6074689.3,6238708.8,5926598.3,6102623.3,5806432.5,6079803.1,6084974.5,5170457.3,5132225.3,3971090.4,3165043.7,1719732.1,1658049.2,547083.4,257627.9,54620.2,30880.8
IowaStateLW-STEM,2188.3,2014.3,1911.9,1878.5,1678.0,1669.3,2057.5,1986.9,1920.2,1907.1,1679.9,1482.9,1318.1,1080.4,591.8,571.2,382.3,292.8,164.9,124.7,10138057.6,8789144.9,7552930.7,7283054.5,6037808.1,6489671.3,8389617.8,8007683.8,7611819.9,7459098.5,6124743.0,5111256.1,4297078.5,3145020.1,1247634.7,1049312.8,506253.1,219124.2,57691.1,32232.5
Google_Harvard-CPF,,,,,,,,,,,,,,,,,360.3,187.6,134.8,57.3,,,,,,,,,,,,,,,,,425219.0,98659.8,46736.3,8881.8
LNQ-ens1,,,,,,,,,,,,,,,,,258.9,177.3,138.0,86.8,,,,,,,,,,,,,,,,,179123.7,90380.0,52561.4,19627.7
