,mean_abs_error_2020-04-20_2020-06-13,mean_abs_error_2020-04-27_2020-06-20,mean_abs_error_2020-05-04_2020-06-27,mean_abs_error_2020-05-11_2020-07-04,mean_abs_error_2020-05-18_2020-07-11,mean_abs_error_2020-05-25_2020-07-18,mean_abs_error_2020-06-01_2020-07-25,mean_abs_error_2020-06-08_2020-08-01,mean_abs_error_2020-06-15_2020-08-08,mean_abs_error_2020-06-22_2020-08-15,mean_abs_error_2020-06-29_2020-08-22,mean_abs_error_2020-07-06_2020-08-29,mean_abs_error_2020-07-13_2020-09-05,mean_abs_error_2020-07-20_2020-09-12,mean_abs_error_2020-07-27_2020-09-19,mean_abs_error_2020-08-03_2020-09-26,mean_abs_error_2020-08-10_2020-10-03,mean_abs_error_2020-08-17_2020-10-10,mean_abs_error_2020-08-24_2020-10-17,mean_abs_error_2020-08-31_2020-10-24,mean_abs_error_2020-09-07_2020-10-31,mean_abs_error_2020-09-14_2020-11-07,mean_abs_error_2020-09-21_2020-11-14,mean_abs_error_2020-09-28_2020-11-21,mean_abs_error_2020-10-05_2020-11-28,mean_abs_error_2020-10-12_2020-12-05,mean_abs_error_2020-10-19_2020-12-12,mean_abs_error_2020-10-26_2020-12-19,mean_abs_error_2020-11-02_2020-12-26,mean_abs_error_2020-11-09_2021-01-02,mean_abs_error_2020-11-16_2021-01-09,mean_abs_error_2020-11-23_2021-01-16,mean_abs_error_2020-11-30_2021-01-23,mean_abs_error_2020-12-07_2021-01-30,mean_abs_error_2020-12-14_2021-02-06,mean_abs_error_2020-12-21_2021-02-13,mean_abs_error_2020-12-28_2021-02-20,mean_abs_error_2021-01-04_2021-02-27,mean_abs_error_2021-01-11_2021-03-06,mean_sq_abs_error_2020-04-20_2020-06-13,mean_sq_abs_error_2020-04-27_2020-06-20,mean_sq_abs_error_2020-05-04_2020-06-27,mean_sq_abs_error_2020-05-11_2020-07-04,mean_sq_abs_error_2020-05-18_2020-07-11,mean_sq_abs_error_2020-05-25_2020-07-18,mean_sq_abs_error_2020-06-01_2020-07-25,mean_sq_abs_error_2020-06-08_2020-08-01,mean_sq_abs_error_2020-06-15_2020-08-08,mean_sq_abs_error_2020-06-22_2020-08-15,mean_sq_abs_error_2020-06-29_2020-08-22,mean_sq_abs_error_2020-07-06_2020-08-29,mean_sq_abs_error_2020-07-13_2020-09-05,mean_sq_abs_error_2020-07-20_2020-09-12,mean_sq_abs_error_2020-07-27_2020-09-19,mean_sq_abs_error_2020-08-03_2020-09-26,mean_sq_abs_error_2020-08-10_2020-10-03,mean_sq_abs_error_2020-08-17_2020-10-10,mean_sq_abs_error_2020-08-24_2020-10-17,mean_sq_abs_error_2020-08-31_2020-10-24,mean_sq_abs_error_2020-09-07_2020-10-31,mean_sq_abs_error_2020-09-14_2020-11-07,mean_sq_abs_error_2020-09-21_2020-11-14,mean_sq_abs_error_2020-09-28_2020-11-21,mean_sq_abs_error_2020-10-05_2020-11-28,mean_sq_abs_error_2020-10-12_2020-12-05,mean_sq_abs_error_2020-10-19_2020-12-12,mean_sq_abs_error_2020-10-26_2020-12-19,mean_sq_abs_error_2020-11-02_2020-12-26,mean_sq_abs_error_2020-11-09_2021-01-02,mean_sq_abs_error_2020-11-16_2021-01-09,mean_sq_abs_error_2020-11-23_2021-01-16,mean_sq_abs_error_2020-11-30_2021-01-23,mean_sq_abs_error_2020-12-07_2021-01-30,mean_sq_abs_error_2020-12-14_2021-02-06,mean_sq_abs_error_2020-12-21_2021-02-13,mean_sq_abs_error_2020-12-28_2021-02-20,mean_sq_abs_error_2021-01-04_2021-02-27,mean_sq_abs_error_2021-01-11_2021-03-06
YYG-ParamSearch,,,257.7,507.7,596.3,442.7,379.7,422.3,426.1,407.4,412.3,401.6,242.8,265.7,234.9,176.6,171.5,146.2,186.0,211.0,263.3,,,,,,,,,,,,,,,,,,,,,250551.8,815736.5,1129346.4,690637.8,335849.2,620324.4,933789.2,1043808.2,1222731.4,1289700.1,388539.8,343770.8,149714.2,70017.6,87504.8,50176.0,126487.7,162392.9,199880.5,,,,,,,,,,,,,,,,,,
Covid19Sim-Simulator,,,,,,349.7,433.9,497.8,383.5,399.7,416.5,389.6,259.0,268.3,260.2,228.2,,,470.2,218.7,269.4,290.6,368.8,399.6,449.4,574.0,848.4,780.3,734.7,756.3,,1177.3,1027.0,880.3,834.7,685.0,870.5,894.4,610.0,,,,,,422372.1,700487.9,1126267.0,936032.2,1038852.9,910676.7,1047093.2,530689.0,463538.3,366484.2,162529.3,,,987195.4,204502.2,252923.1,205816.5,299498.6,373183.2,523825.6,869702.2,1646749.7,1606931.0,1709613.8,2006045.5,,4333111.7,3617376.5,2793596.0,2588016.1,1273317.6,2690446.0,2547391.9,1010136.0
UCLA-SuEIR,,,395.9,357.2,257.7,283.7,318.6,440.7,470.0,531.7,606.6,582.4,415.7,373.5,278.7,238.2,276.6,248.8,238.3,256.8,259.8,301.1,359.7,450.6,589.9,789.2,1049.1,1271.0,1404.2,1511.1,1778.5,1146.7,1560.0,1190.6,1313.6,1169.4,1371.4,1084.1,962.6,,,431479.5,1011071.9,199904.9,243939.6,351201.1,900673.2,1429880.2,1737243.3,1926166.2,2201834.5,940560.5,856098.3,316125.4,272086.5,272913.7,156266.3,137202.5,126788.9,142925.2,180803.2,263012.7,424362.6,753119.1,1353426.2,2356487.8,3439948.7,4519102.6,5015002.0,7454756.5,4809017.6,8257927.9,6155395.6,7415361.9,5853525.8,8912648.0,4561702.4,2672067.9
IowaStateLW-STEM,,466.3,583.3,,349.6,342.7,431.6,491.5,502.5,526.9,649.0,538.3,463.8,360.0,318.6,326.2,,336.3,369.0,284.1,299.8,243.1,321.2,472.9,571.3,758.7,1016.9,1137.8,1213.3,1318.1,1380.3,1051.4,1298.3,1274.9,1187.5,1177.9,1011.5,907.9,882.2,,535390.3,1108803.2,,330656.7,361617.5,672694.3,1100997.0,1226023.7,1404271.1,2576473.6,1525490.6,952415.0,340597.4,327329.4,539109.8,,501839.6,704770.3,298132.5,237640.6,149126.3,217767.6,456433.5,719543.8,1232325.2,2100767.1,2787269.3,3379283.6,4297078.5,5278593.2,4264632.2,6171322.0,6741478.2,5610513.9,5187538.1,3363251.3,3012879.9,1872296.6
IHME-CurveFit,1007.2,942.8,408.8,302.6,290.3,,478.1,378.5,374.3,343.0,439.7,466.2,,352.6,293.7,286.3,301.8,,538.5,602.4,559.2,,467.4,628.5,,,638.2,730.0,,,,769.4,,794.1,1038.6,855.9,879.6,,,3542032.5,3201240.3,533602.0,348167.2,291391.2,,822780.9,654294.0,835870.8,544999.9,1063785.2,1084170.1,,337963.1,196308.4,243269.2,264353.8,,1555112.3,1698693.0,1007552.0,,724833.7,1526434.5,,,1018832.6,1431148.0,,,,2319926.6,,1547856.2,3098226.6,1860425.8,2068963.6,,
Baseline,991.5,964.0,930.5,928.0,772.4,652.9,596.7,650.9,609.1,577.5,866.6,610.4,468.6,365.5,237.0,372.8,334.0,378.9,341.5,328.5,320.0,296.8,365.4,420.5,496.6,650.7,876.8,1011.1,1177.8,1290.4,1390.6,1259.1,1526.3,1223.1,1318.8,1107.5,1052.7,952.2,984.3,16250161.3,9671526.5,6127123.0,4684679.2,3140433.6,1465335.4,978525.2,1369076.0,1480445.9,1606290.7,6360536.3,2197308.0,1126781.7,517677.1,181603.6,1014378.4,810215.4,739831.7,639485.2,350058.0,379921.7,223418.6,304897.9,431158.1,526461.0,1041258.8,1762569.3,2392958.0,3453530.0,3971090.4,5185871.8,5235776.2,8060764.9,6328357.2,6570358.2,4292359.9,4968005.7,2685239.9,2122437.3
USC-SI_kJalpha,,,,,,,,,,,678.0,766.6,694.1,521.7,444.5,269.0,286.5,232.7,293.6,270.6,261.1,367.3,337.3,415.6,438.6,572.1,726.3,821.2,851.9,959.8,,,,,,,,,,,,,,,,,,,,5928950.7,2357076.5,1392667.8,827755.6,1113238.6,219385.8,275890.1,148844.0,292481.3,311945.7,157990.0,291712.8,243044.6,374747.3,435870.9,814205.1,1215959.2,1529751.7,2095652.9,2365196.1,,,,,,,,,
JCB-PRM,,,,,,,,,,,,,,,,,,,,,201.2,282.0,323.4,364.0,437.1,568.9,789.1,808.3,931.0,1002.2,828.9,1144.2,1063.1,1050.4,1114.2,1568.5,1090.1,,,,,,,,,,,,,,,,,,,,,,,132247.8,180563.9,224355.0,307353.1,460991.5,753474.3,1470549.3,1683799.7,2390667.5,2969976.4,2384469.4,4035731.8,4080033.2,3626314.5,4162384.1,8943979.8,5403337.1,,
USACE-ERDC_SEIR,,,,,430.6,407.8,511.3,502.3,373.4,388.8,503.6,309.1,331.4,1220.5,787.3,633.9,528.5,482.6,423.7,476.9,486.8,481.9,487.8,460.4,,606.8,,650.9,,,1978.8,1771.1,1854.7,,,,,,,,,,,586302.0,520254.5,802942.8,931288.2,785657.5,760044.4,1679878.7,666663.7,473019.4,5830471.0,1765432.3,1147003.3,855314.6,696837.1,589241.8,611732.6,795405.9,632910.5,623186.4,629775.7,,1262437.7,,1480006.2,,,15137584.5,11065831.2,12686160.5,,,,,,
JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,,,390.3,,,,619.3,691.5,718.4,896.5,948.8,1798.1,1372.3,1003.0,940.8,855.7,1442.6,1701.8,1319.3,1104.3,,,,,,,,,,,,,,,,,,,,,,511780.5,,,,927692.0,1252727.0,1280313.4,2064278.1,2503433.0,9256749.4,9366741.2,2231334.7,2337098.8,1461887.0,7345373.3,6074988.2,8021406.8,6994982.1
