,mean_abs_error_2020-04-20_2020-05-09,mean_abs_error_2020-04-27_2020-05-09,mean_abs_error_2020-05-04_2020-05-09,mean_sq_abs_error_2020-04-20_2020-05-09,mean_sq_abs_error_2020-04-27_2020-05-09,mean_sq_abs_error_2020-05-04_2020-05-09
YYG-ParamSearch,193.4,115.4,42.8,133803.3,63782.9,7591.9
Baseline_0.98,225.2,129.6,39.5,404968.0,100163.2,6249.9
Baseline,255.1,142.6,41.2,919636.5,159458.8,7394.9
COVIDhub-ensemble,,124.2,44.3,,94247.4,10032.4
LANL-GrowthRate,320.0,181.5,55.7,1167063.4,176281.1,15088.3
MIT_CovidAnalytics-DELPHI,,109.9,139.0,,38051.3,209521.4
MOBS_NEU-GLEAM_COVID,472.6,217.5,74.7,1038645.3,169852.8,19748.7
CU-select,350.1,227.6,82.8,535184.9,259407.4,38858.7
IHME-CurveFit,337.2,253.2,87.9,451228.1,337496.4,37895.1
IowaStateLW-STEM,,138.3,164.6,,69806.0,491477.2
UMass-MechBayes,,311.8,81.2,,740627.4,36529.4
Auquan-SEIR,,,99.1,,,82538.7
UT-Mobility,468.5,285.4,175.2,2106677.2,1203610.1,829957.7
UCLA-SuEIR,,,158.7,,,439660.6
GT-DeepCOVID,,,336.4,,,1444145.8
