,perc_error_2020-08-24_2021-01-09,perc_error_2020-08-31_2021-01-09,perc_error_2020-09-07_2021-01-09,perc_error_2020-09-14_2021-01-09,perc_error_2020-09-21_2021-01-09,perc_error_2020-09-28_2021-01-09,perc_error_2020-10-05_2021-01-09,perc_error_2020-10-12_2021-01-09,perc_error_2020-10-19_2021-01-09,perc_error_2020-10-26_2021-01-09,perc_error_2020-11-02_2021-01-09,perc_error_2020-11-09_2021-01-09,perc_error_2020-11-16_2021-01-09,perc_error_2020-11-23_2021-01-09,perc_error_2020-11-30_2021-01-09,perc_error_2020-12-07_2021-01-09,perc_error_2020-12-14_2021-01-09,perc_error_2020-12-21_2021-01-09,perc_error_2020-12-28_2021-01-09,perc_error_2021-01-04_2021-01-09
QJHong-Encounter,,,,,,,,,,,,-0.304,-0.060,0.040,-0.063,-0.104,-0.024,0.015,0.012,0.053
JCB-PRM,,,,,,,,,,,,,-0.107,0.031,-0.035,0.016,0.095,0.163,-0.002,
IBF-TimeSeries,,,,,,,,,,,,,-0.362,-0.232,-0.315,-0.078,0.053,0.097,-0.035,0.182
Karlen-pypm,,,,,,,,,,,,,,,,0.052,0.066,0.055,-0.075,-0.183
Columbia_UNC-SurvCon,,,,,,,,,,,,,0.513,0.261,-0.345,-0.171,0.069,0.192,0.021,-0.178
GT-DeepCOVID,,,,,,,,,,,,,,,,,-0.029,0.007,-0.059,-0.173
LANL-GrowthRate,,,,,,,,,,,,,,,-0.518,-0.041,0.105,0.089,0.141,-0.222
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,0.032,0.050,-0.113,-0.159
IowaStateLW-STEM,-0.545,-0.541,-0.604,-0.544,-0.583,-0.775,-0.660,-0.672,-0.720,-0.660,-0.626,-0.618,-0.524,-0.289,-0.341,-0.209,0.059,0.112,0.054,-0.301
OliverWyman-Navigator,,,,,,,,,,,,,,,,,0.024,0.047,-0.156,-0.191
PSI-DRAFT,,,,,,,,,,,,,,,-0.468,-0.071,0.409,-0.105,-0.156,-0.200
JHUAPL-Bucky,,,,,,,,,,,,-0.362,0.547,0.221,-0.193,-0.137,-0.167,-0.031,-0.345,-0.395
COVIDhub-ensemble,,,,,,,,,,,,,,,,,0.023,0.047,-0.156,-0.249
COVIDhub-baseline,,,,,,,,,,,,,-0.544,-0.410,-0.454,-0.202,-0.138,-0.055,-0.243,-0.200
TTU-squider,,,,,,,,,,,,,,,,,0.037,0.103,0.178,0.059
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,0.069,0.084,-0.180,-0.136
