,mean_abs_error_2020-04-27_2020-08-15,mean_abs_error_2020-05-04_2020-08-22,mean_abs_error_2020-05-11_2020-08-29,mean_abs_error_2020-05-18_2020-09-05,mean_abs_error_2020-05-25_2020-09-12,mean_abs_error_2020-06-01_2020-09-19,mean_abs_error_2020-06-08_2020-09-26,mean_abs_error_2020-06-15_2020-10-03,mean_abs_error_2020-06-22_2020-10-10,mean_abs_error_2020-06-29_2020-10-17,mean_abs_error_2020-07-06_2020-10-24,mean_abs_error_2020-07-13_2020-10-31,mean_abs_error_2020-07-20_2020-11-07,mean_abs_error_2020-07-27_2020-11-14,mean_abs_error_2020-08-03_2020-11-21,mean_abs_error_2020-08-10_2020-11-28,mean_abs_error_2020-08-17_2020-12-05,mean_abs_error_2020-08-24_2020-12-12,mean_abs_error_2020-08-31_2020-12-19,mean_abs_error_2020-09-07_2020-12-26,mean_abs_error_2020-09-14_2021-01-02,mean_abs_error_2020-09-21_2021-01-09,mean_abs_error_2020-09-28_2021-01-16,mean_abs_error_2020-10-05_2021-01-23,mean_abs_error_2020-10-12_2021-01-30,mean_abs_error_2020-10-19_2021-02-06,mean_abs_error_2020-10-26_2021-02-13,mean_abs_error_2020-11-02_2021-02-20,mean_abs_error_2020-11-09_2021-02-27,mean_abs_error_2020-11-16_2021-03-06,mean_sq_abs_error_2020-04-27_2020-08-15,mean_sq_abs_error_2020-05-04_2020-08-22,mean_sq_abs_error_2020-05-11_2020-08-29,mean_sq_abs_error_2020-05-18_2020-09-05,mean_sq_abs_error_2020-05-25_2020-09-12,mean_sq_abs_error_2020-06-01_2020-09-19,mean_sq_abs_error_2020-06-08_2020-09-26,mean_sq_abs_error_2020-06-15_2020-10-03,mean_sq_abs_error_2020-06-22_2020-10-10,mean_sq_abs_error_2020-06-29_2020-10-17,mean_sq_abs_error_2020-07-06_2020-10-24,mean_sq_abs_error_2020-07-13_2020-10-31,mean_sq_abs_error_2020-07-20_2020-11-07,mean_sq_abs_error_2020-07-27_2020-11-14,mean_sq_abs_error_2020-08-03_2020-11-21,mean_sq_abs_error_2020-08-10_2020-11-28,mean_sq_abs_error_2020-08-17_2020-12-05,mean_sq_abs_error_2020-08-24_2020-12-12,mean_sq_abs_error_2020-08-31_2020-12-19,mean_sq_abs_error_2020-09-07_2020-12-26,mean_sq_abs_error_2020-09-14_2021-01-02,mean_sq_abs_error_2020-09-21_2021-01-09,mean_sq_abs_error_2020-09-28_2021-01-16,mean_sq_abs_error_2020-10-05_2021-01-23,mean_sq_abs_error_2020-10-12_2021-01-30,mean_sq_abs_error_2020-10-19_2021-02-06,mean_sq_abs_error_2020-10-26_2021-02-13,mean_sq_abs_error_2020-11-02_2021-02-20,mean_sq_abs_error_2020-11-09_2021-02-27,mean_sq_abs_error_2020-11-16_2021-03-06
Baseline,2875.5,2718.6,2549.6,2252.5,1888.1,1642.2,1610.1,1340.8,1146.2,1625.4,1028.6,776.2,639.5,731.0,1179.9,1239.9,1365.6,1384.3,1387.2,1471.5,1720.3,1992.9,2313.1,2672.0,2973.5,3329.8,3363.8,3453.8,3372.0,3110.5,62571200.0,41022004.1,30017975.7,20841909.0,11433848.1,8354663.8,8175836.6,6764231.0,5445120.1,24010508.8,4933346.6,2089290.3,1120691.7,1458248.4,7685420.1,6106183.8,5401892.2,4594575.4,3900050.7,4723145.3,6238708.8,8221690.0,11694853.6,15503392.8,20968467.0,27065016.7,30273219.2,34064463.4,34348240.8,34541386.8
IHME-CurveFit,,1059.5,,,,,1239.5,900.7,699.3,782.6,733.1,,828.6,757.2,800.5,1140.9,,1555.9,1473.0,1561.8,,1527.6,1429.7,,,1600.3,1682.6,,,,,4198532.9,,,,,5200868.9,3635755.0,1725652.8,2049385.4,1553466.7,,1634806.6,1135543.0,1779176.8,4741227.4,,13844423.8,13446018.8,12748199.5,,9904148.2,9472020.3,,,5628818.3,7963183.1,,,
IowaStateLW-STEM,1218.1,1406.1,,1380.0,1329.2,1466.9,1352.4,1136.6,1094.2,1187.2,947.5,931.3,785.3,948.4,1037.7,,1268.1,1442.0,1409.5,1586.8,1678.0,2016.5,2853.9,3148.1,3445.5,3794.3,3761.9,3613.2,3519.2,3291.0,4564930.6,5263428.0,,7004478.2,7102666.3,9509671.2,7953130.5,5789806.0,4757476.9,6749262.0,3498238.5,3172079.3,1342891.9,2793110.7,3669949.1,,3887572.6,4588939.6,4241096.7,5373842.9,6037808.1,9306811.1,16644791.6,21214445.9,26903785.4,33675118.5,36121435.7,36159277.3,37514029.0,38364107.8
Covid19Sim-Simulator,,,,,1083.6,1141.9,1145.2,918.4,871.4,1429.0,1379.4,1167.8,878.2,771.4,676.9,,,1690.4,1483.4,1689.5,2096.9,2496.3,2681.2,2506.3,2792.1,3377.9,2487.0,2299.5,2690.2,,,,,,5637000.8,6027875.4,6092253.6,4316429.7,3390423.3,21944340.5,20224733.1,10085184.8,3779657.0,2770257.7,1059329.2,,,5845244.8,4477647.9,6329508.5,9819042.0,13923810.8,15912226.0,14539268.3,18174008.5,29039238.1,20680730.0,20453066.4,23448233.5,
YYG-ParamSearch,,,,,,,,,,,,521.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,779546.3,,,,,,,,,,,,,,,,,,
