,perc_error_2020-04-20_2020-05-09,perc_error_2020-04-27_2020-05-16,perc_error_2020-05-04_2020-05-23,perc_error_2020-05-11_2020-05-30,perc_error_2020-05-18_2020-06-06,perc_error_2020-05-25_2020-06-13,perc_error_2020-06-01_2020-06-20,perc_error_2020-06-08_2020-06-27,perc_error_2020-06-15_2020-07-04,perc_error_2020-06-22_2020-07-11,perc_error_2020-06-29_2020-07-18,perc_error_2020-07-06_2020-07-25,perc_error_2020-07-13_2020-08-01,perc_error_2020-07-20_2020-08-08,perc_error_2020-07-27_2020-08-15,perc_error_2020-08-03_2020-08-22,perc_error_2020-08-10_2020-08-29,perc_error_2020-08-17_2020-09-05,perc_error_2020-08-24_2020-09-12,perc_error_2020-08-31_2020-09-19,perc_error_2020-09-07_2020-09-26,perc_error_2020-09-14_2020-10-03,perc_error_2020-09-21_2020-10-10,perc_error_2020-09-28_2020-10-17,perc_error_2020-10-05_2020-10-24,perc_error_2020-10-12_2020-10-31,perc_error_2020-10-19_2020-11-07,perc_error_2020-10-26_2020-11-14,perc_error_2020-11-02_2020-11-21,perc_error_2020-11-09_2020-11-28,perc_error_2020-11-16_2020-12-05,perc_error_2020-11-23_2020-12-12,perc_error_2020-11-30_2020-12-19,perc_error_2020-12-07_2020-12-26,perc_error_2020-12-14_2021-01-02,perc_error_2020-12-21_2021-01-09,perc_error_2020-12-28_2021-01-16,perc_error_2021-01-04_2021-01-23,perc_error_2021-01-11_2021-01-30,perc_error_2021-01-18_2021-02-06,perc_error_2021-01-25_2021-02-13,perc_error_2021-02-01_2021-02-20,perc_error_2021-02-08_2021-02-27,perc_error_2021-02-15_2021-03-06
UMass-MechBayes,,,,,0.035,0.011,0.201,0.169,0.108,0.073,0.171,-0.123,-0.027,-0.122,-0.168,-0.082,-0.100,-0.047,-0.096,-0.083,-0.077,-0.127,-0.044,-0.028,-0.070,-0.054,-0.082,-0.042,-0.133,-0.018,0.031,0.063,-0.282,-0.045,0.062,-0.087,-0.295,-0.207,-0.017,-0.014,-0.141,-0.006,0.036,0.030
COVIDhub-ensemble,,-0.183,-0.077,0.082,-0.014,0.170,0.182,0.196,0.325,0.187,0.143,-0.260,-0.182,-0.176,-0.091,-0.027,-0.008,0.035,0.058,0.039,-0.005,-0.130,-0.044,0.017,-0.112,-0.114,-0.188,-0.168,-0.251,-0.242,-0.250,-0.140,-0.288,-0.102,0.054,0.047,-0.176,-0.221,-0.055,0.060,-0.006,0.095,0.179,0.212
OliverWyman-Navigator,,,,,,,,-0.041,0.206,0.064,0.066,-0.197,-0.032,-0.078,-0.041,0.096,-0.038,0.017,0.002,0.020,-0.026,-0.153,-0.006,0.139,-0.016,-0.012,-0.068,-0.042,-0.224,-0.138,-0.226,-0.094,-0.133,-0.082,0.062,0.047,-0.176,-0.154,0.167,0.116,-0.026,0.100,0.169,0.124
GT-DeepCOVID,,,,0.077,-0.159,0.066,0.096,0.169,0.353,-0.164,0.105,-0.604,-0.032,-0.134,-0.098,-0.002,0.042,0.053,0.044,-0.047,0.023,-0.071,0.036,0.137,0.024,-0.050,-0.118,-0.145,-0.275,-0.343,-0.298,-0.149,-0.246,-0.079,-0.023,0.007,-0.090,-0.162,-0.063,0.070,-0.010,-0.110,0.186,0.468
YYG-ParamSearch,-0.246,-0.062,-0.029,0.145,0.256,0.246,0.156,0.206,0.207,-0.112,-0.163,-0.356,-0.240,-0.201,-0.119,0.015,0.063,0.034,-0.037,-0.062,-0.106,-0.215,-0.189,-0.050,-0.070,,,,,,,,,,,,,,,,,,,
MOBS-GLEAM_COVID,-0.416,-0.398,-0.152,0.050,0.031,0.041,-0.011,-0.024,0.062,-0.176,-0.285,-0.278,-0.317,0.161,0.012,0.480,-0.070,-0.187,-0.124,-0.118,-0.090,-0.159,-0.094,0.200,-0.154,-0.033,-0.186,-0.093,-0.260,-0.207,-0.272,-0.139,-0.257,-0.025,0.048,0.050,-0.144,-0.143,0.003,0.095,0.018,0.137,0.211,0.202
CU-select,0.238,0.071,0.009,0.116,0.046,0.169,0.591,0.541,0.636,1.038,1.441,0.440,-0.201,-0.319,0.160,0.181,-0.053,0.048,-0.067,0.028,-0.018,-0.180,0.016,0.065,-0.095,-0.099,-0.072,-0.070,-0.086,0.101,-0.140,-0.197,-0.412,-0.245,0.053,-0.007,-0.397,-0.500,-0.425,-0.156,-0.170,-0.126,-0.067,-0.126
QJHong-Encounter,,,,,,,,,,,,0.420,0.215,-0.017,0.018,0.145,0.065,0.022,0.031,-0.022,-0.047,-0.156,-0.137,0.008,-0.037,-0.073,-0.135,-0.110,-0.172,-0.146,-0.111,-0.072,-0.121,-0.101,0.004,0.015,-0.052,-0.036,-0.108,-0.021,-0.033,0.089,0.179,0.212
USC-SI_kJalpha,,,,,,,,,,,0.259,0.505,0.474,-0.084,-0.296,0.204,-0.011,-0.048,-0.008,0.052,0.075,-0.120,-0.041,0.145,-0.023,-0.045,-0.074,0.009,-0.126,-0.093,-0.065,0.050,-0.202,-0.124,0.051,0.099,-0.176,-0.319,-0.090,0.219,0.036,0.040,0.037,0.089
Columbia_UNC-SurvCon,,,,,,,,,,,,0.132,0.217,-0.067,-0.125,-0.069,-0.145,0.052,-0.019,0.018,0.082,-0.057,-0.060,0.200,0.162,0.021,0.003,0.029,-0.246,-0.152,-0.152,0.040,-0.187,-0.109,0.087,0.192,-0.029,-0.211,-0.038,0.117,0.045,0.075,0.096,0.223
UMass-ExpertCrowd,-0.393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karlen-pypm,,,,,,,,,,,,,,,-0.293,-0.235,0.318,0.251,0.093,0.040,-0.066,-0.141,-0.125,-0.076,-0.076,-0.016,-0.062,0.024,-0.063,-0.021,0.053,0.024,-0.145,-0.015,0.066,0.055,-0.118,-0.176,-0.061,-0.029,-0.074,-0.051,-0.029,-0.065
Baseline,0.083,0.162,0.236,0.404,0.422,0.371,0.301,0.376,0.297,-0.030,0.176,-0.395,-0.231,-0.283,-0.161,0.091,0.070,0.103,0.144,0.115,0.084,-0.045,0.030,0.010,-0.099,-0.129,-0.245,-0.233,-0.356,-0.355,-0.398,-0.299,-0.444,-0.154,-0.094,-0.069,-0.309,-0.211,-0.018,0.047,0.043,0.259,0.462,0.287
CovidAnalytics-DELPHI,,,0.148,0.343,0.257,0.072,0.006,0.195,0.264,-0.012,0.046,0.339,0.050,-0.081,-0.093,-0.153,-0.186,-0.140,0.072,0.040,-0.037,-0.133,-0.191,-0.247,-0.272,-0.288,-0.486,-0.353,-0.399,-0.368,-0.319,-0.135,-0.249,-0.206,0.031,-0.111,-0.244,-0.295,-0.129,0.261,0.051,0.065,0.122,0.189
UCLA-SuEIR,,,-0.138,0.046,0.184,0.040,-0.055,-0.011,-0.152,-0.314,-0.297,-0.445,-0.276,-0.297,-0.106,0.123,-0.105,0.033,0.017,0.028,-0.035,-0.134,-0.072,-0.107,-0.135,-0.162,-0.257,-0.309,-0.377,-0.327,-0.372,-0.265,-0.477,-0.103,-0.157,-0.104,-0.562,-0.388,-0.230,-0.250,-0.316,-0.100,0.078,
LNQ-ens1,,,,,,,,,,,,,,-0.001,-0.036,0.202,0.113,0.088,0.020,0.015,-0.009,-0.134,-0.021,0.048,-0.059,-0.051,-0.142,-0.062,-0.159,-0.095,-0.087,-0.030,-0.348,0.033,0.221,0.082,-0.279,-0.219,0.115,0.141,0.135,0.152,0.253,0.369
COVIDhub-baseline,0.334,0.193,0.234,0.517,0.441,0.434,0.331,0.364,0.377,0.010,0.214,-0.386,-0.239,-0.265,-0.148,0.133,0.081,0.119,0.196,0.179,0.095,-0.017,0.090,0.035,-0.089,-0.121,-0.226,-0.204,-0.353,-0.350,-0.396,-0.307,-0.427,-0.149,-0.085,-0.055,-0.280,-0.201,-0.018,0.076,0.064,0.285,0.539,0.705
LANL-GrowthRate,,0.249,0.077,-0.173,-0.061,0.097,0.048,0.176,0.378,0.214,0.019,-0.468,-0.378,-0.413,-0.409,-0.327,-0.273,-0.269,-0.259,-0.282,-0.359,-0.253,-0.251,-0.351,-0.362,-0.370,-0.497,-0.465,-0.231,-0.116,-0.117,-0.248,-0.449,-0.030,0.125,0.089,0.064,-0.251,0.093,0.129,-0.022,-0.046,0.024,-0.093
IowaStateLW-STEM,,,-0.355,,0.075,0.114,0.182,0.099,0.193,-0.064,-0.613,0.114,-0.268,-0.316,-0.256,-0.086,,-0.098,0.044,0.071,-0.034,0.099,0.178,-0.329,-0.057,-0.135,-0.320,-0.245,-0.345,-0.395,-0.364,-0.154,-0.294,-0.134,0.129,0.112,-0.024,-0.291,-0.155,0.087,0.051,0.345,0.435,0.333
UA-EpiCovDA,,,,,,0.454,0.611,0.677,1.343,-0.038,0.108,-0.467,-0.388,-0.216,-0.007,-0.496,0.118,0.085,0.140,0.291,0.214,0.160,0.154,0.116,0.041,-0.044,-0.139,-0.035,-0.184,-0.098,-0.108,-0.226,-0.420,-0.198,-0.004,-0.191,-0.514,-0.330,-0.121,-0.085,-0.119,-0.122,-0.102,-0.030
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,0.080,0.045,-0.022,-0.135,0.008,0.109,0.046,-0.127,-0.133,-0.008,-0.118,0.024,0.023,0.114,0.027,-0.015,0.054,0.094,-0.315,-0.285,-0.041,0.051,-0.101,-0.049,0.016,
JHU_IDD-CovidSP,,2.297,,,1.581,0.812,0.767,0.931,0.652,0.695,0.420,0.179,-0.017,0.005,0.041,0.204,0.257,0.351,0.191,0.180,0.096,0.092,0.045,0.017,-0.140,-0.218,-0.328,-0.405,-0.544,-0.606,-0.170,-0.202,-0.365,-0.349,-0.334,0.228,-0.041,-0.124,-0.109,-0.051,-0.080,-0.034,-0.042,-0.014
JCB-PRM,,,,,,,,,,,,,,,0.066,0.139,0.138,0.066,0.068,-0.003,-0.043,-0.144,-0.107,-0.108,-0.099,-0.053,-0.148,-0.110,-0.190,-0.161,-0.174,-0.112,-0.176,-0.037,0.094,0.163,-0.016,,,,,,,
UT-Mobility,-0.591,-0.548,-0.427,-0.039,-0.314,0.194,-0.064,-0.103,0.165,0.006,-0.089,-0.248,0.156,0.215,0.499,0.899,,0.531,0.278,,,-0.125,-0.060,-0.294,-0.142,-0.175,-0.196,-0.216,-0.341,-0.343,-0.353,-0.214,-0.363,-0.031,0.098,0.172,,,-0.021,,0.142,,,
IHME-CurveFit,-0.422,-0.548,0.196,0.235,0.330,,-0.013,0.065,0.211,-0.061,-0.152,-0.278,,-0.122,-0.162,-0.110,0.008,,0.259,0.239,0.122,,-0.270,0.095,,,-0.242,-0.211,,,,-0.194,,-0.059,-0.290,0.143,0.139,,,0.084,0.040,-0.043,-0.082,-0.150
