,mean_abs_error_2020-04-27_2020-08-29,mean_abs_error_2020-05-04_2020-08-29,mean_abs_error_2020-05-11_2020-08-29,mean_abs_error_2020-05-18_2020-08-29,mean_abs_error_2020-05-25_2020-08-29,mean_abs_error_2020-06-01_2020-08-29,mean_abs_error_2020-06-08_2020-08-29,mean_abs_error_2020-06-15_2020-08-29,mean_abs_error_2020-06-22_2020-08-29,mean_abs_error_2020-06-29_2020-08-29,mean_abs_error_2020-07-06_2020-08-29,mean_abs_error_2020-07-13_2020-08-29,mean_abs_error_2020-07-20_2020-08-29,mean_abs_error_2020-07-27_2020-08-29,mean_abs_error_2020-08-03_2020-08-29,mean_abs_error_2020-08-10_2020-08-29,mean_abs_error_2020-08-17_2020-08-29,mean_abs_error_2020-08-24_2020-08-29,mean_sq_abs_error_2020-04-27_2020-08-29,mean_sq_abs_error_2020-05-04_2020-08-29,mean_sq_abs_error_2020-05-11_2020-08-29,mean_sq_abs_error_2020-05-18_2020-08-29,mean_sq_abs_error_2020-05-25_2020-08-29,mean_sq_abs_error_2020-06-01_2020-08-29,mean_sq_abs_error_2020-06-08_2020-08-29,mean_sq_abs_error_2020-06-15_2020-08-29,mean_sq_abs_error_2020-06-22_2020-08-29,mean_sq_abs_error_2020-06-29_2020-08-29,mean_sq_abs_error_2020-07-06_2020-08-29,mean_sq_abs_error_2020-07-13_2020-08-29,mean_sq_abs_error_2020-07-20_2020-08-29,mean_sq_abs_error_2020-07-27_2020-08-29,mean_sq_abs_error_2020-08-03_2020-08-29,mean_sq_abs_error_2020-08-10_2020-08-29,mean_sq_abs_error_2020-08-17_2020-08-29,mean_sq_abs_error_2020-08-24_2020-08-29
YYG-ParamSearch,,,,,,,802.5,650.6,523.9,465.9,398.8,217.5,206.2,163.4,99.3,58.3,29.2,18.1,,,,,,,2272046.6,2182051.0,1657649.8,1457712.2,1247975.5,344780.1,247932.1,102757.9,23975.4,12320.7,3406.8,876.5
Baseline,3384.6,2928.1,2533.8,2063.8,1598.0,1295.4,1175.7,920.7,762.2,980.7,608.4,416.9,298.0,178.7,122.7,68.4,42.4,18.2,83897384.9,47704609.6,29898527.2,17776686.7,8256127.8,5247186.0,4543017.1,3445579.6,2662228.1,8074822.3,2148567.2,938366.6,404304.0,125749.2,99945.4,30583.2,11509.8,1456.8
USC-SI_kJalpha,,,,,,,,,,763.6,763.3,574.6,339.5,246.1,94.9,58.4,34.8,23.2,,,,,,,,,,7141561.1,2333771.6,969418.9,363057.1,393632.6,20721.2,12012.9,3380.6,2744.3
UCLA-SuEIR,,,,,923.7,834.0,846.6,782.7,726.6,697.3,578.5,368.3,297.6,177.9,119.8,72.9,52.2,22.5,,,,,4124366.0,3356195.2,3748828.3,3607598.3,3013430.6,2405737.1,2150978.6,761602.1,564413.2,169985.5,87646.4,21847.0,12452.2,1990.9
CovidAnalytics-DELPHI,,,,,,,,,,,440.7,318.4,238.7,168.7,146.1,100.5,52.1,25.1,,,,,,,,,,,862007.7,485462.1,259909.8,152479.4,83115.4,35917.1,7592.1,2446.7
COVIDhub-ensemble,,,,,,,,,,,,,,,75.3,51.5,28.4,17.1,,,,,,,,,,,,,,,18139.7,11023.3,2629.2,910.3
OliverWyman-Navigator,,,,,,,,,,,,,,,103.0,55.2,31.0,19.4,,,,,,,,,,,,,,,37189.3,8328.1,6289.0,1040.3
LNQ-ens1,,,,,,,,,,,,,,,68.3,64.3,43.3,17.8,,,,,,,,,,,,,,,12998.9,20915.6,5005.0,785.6
JCB-PRM,,,,,,,,,,,,,,,113.2,68.5,36.3,20.3,,,,,,,,,,,,,,,28631.4,9254.6,4664.7,2308.9
UMass-MechBayes,,,,,,,,,,,,,,,131.8,71.2,41.0,20.7,,,,,,,,,,,,,,,116081.5,17658.3,4265.2,1151.2
