,mean_abs_error_2020-09-14_2021-01-30,mean_abs_error_2020-09-21_2021-01-30,mean_abs_error_2020-09-28_2021-01-30,mean_abs_error_2020-10-05_2021-01-30,mean_abs_error_2020-10-12_2021-01-30,mean_abs_error_2020-10-19_2021-01-30,mean_abs_error_2020-10-26_2021-01-30,mean_abs_error_2020-11-02_2021-01-30,mean_abs_error_2020-11-09_2021-01-30,mean_abs_error_2020-11-16_2021-01-30,mean_abs_error_2020-11-23_2021-01-30,mean_abs_error_2020-11-30_2021-01-30,mean_abs_error_2020-12-07_2021-01-30,mean_abs_error_2020-12-14_2021-01-30,mean_abs_error_2020-12-21_2021-01-30,mean_abs_error_2020-12-28_2021-01-30,mean_abs_error_2021-01-04_2021-01-30,mean_abs_error_2021-01-11_2021-01-30,mean_abs_error_2021-01-18_2021-01-30,mean_abs_error_2021-01-25_2021-01-30,mean_sq_abs_error_2020-09-14_2021-01-30,mean_sq_abs_error_2020-09-21_2021-01-30,mean_sq_abs_error_2020-09-28_2021-01-30,mean_sq_abs_error_2020-10-05_2021-01-30,mean_sq_abs_error_2020-10-12_2021-01-30,mean_sq_abs_error_2020-10-19_2021-01-30,mean_sq_abs_error_2020-10-26_2021-01-30,mean_sq_abs_error_2020-11-02_2021-01-30,mean_sq_abs_error_2020-11-09_2021-01-30,mean_sq_abs_error_2020-11-16_2021-01-30,mean_sq_abs_error_2020-11-23_2021-01-30,mean_sq_abs_error_2020-11-30_2021-01-30,mean_sq_abs_error_2020-12-07_2021-01-30,mean_sq_abs_error_2020-12-14_2021-01-30,mean_sq_abs_error_2020-12-21_2021-01-30,mean_sq_abs_error_2020-12-28_2021-01-30,mean_sq_abs_error_2021-01-04_2021-01-30,mean_sq_abs_error_2021-01-11_2021-01-30,mean_sq_abs_error_2021-01-18_2021-01-30,mean_sq_abs_error_2021-01-25_2021-01-30
JCB-PRM,,,,,,,,,,,,,1050.4,802.0,703.7,423.9,,,,,,,,,,,,,,,,,3626314.5,2090912.5,1728117.4,496167.9,,,,
Baseline,3014.3,2933.8,2932.6,3009.1,2973.5,3009.6,2819.3,2760.8,2563.5,2279.5,1758.6,1781.3,1223.1,1105.6,764.1,720.7,524.6,254.0,104.1,62.2,19116655.0,18644438.8,19452777.3,20050983.5,20968467.0,21846968.3,20381779.6,20562019.6,17824684.1,15789166.4,11057095.7,11602795.4,6328357.2,4636358.7,2208293.3,2380199.5,1029832.1,165942.9,25462.0,14988.2
Karlen-pypm,,,,,,,,,,,,,,,,387.3,364.7,219.5,131.7,79.2,,,,,,,,,,,,,,,,651416.7,529673.7,186361.2,57258.3,27442.4
COVIDhub-baseline,,,,,,,,,,,,,1234.6,1088.2,782.8,701.8,528.8,282.2,124.8,58.0,,,,,,,,,,,,,6364086.0,4567901.2,2210884.2,2182244.4,1012745.3,208999.8,33801.8,11355.9
LNQ-ens1,,,,,,,,,,,,,,,,,484.2,216.7,115.9,53.6,,,,,,,,,,,,,,,,,801696.2,112743.0,30458.8,9266.5
COVIDhub-ensemble,,,,,,,,,,,,,,,,,470.7,236.7,115.6,53.7,,,,,,,,,,,,,,,,,910511.1,207591.9,26399.6,11353.0
JHU_IDD-CovidSP,,,,,,,,,,,,,,,660.7,476.8,430.0,329.1,205.7,141.7,,,,,,,,,,,,,,,1339410.3,658994.0,647201.8,370752.3,123687.6,67224.0
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,391.8,239.6,150.8,66.2,,,,,,,,,,,,,,,,,533730.4,163765.1,46493.6,13405.6
OliverWyman-Navigator,,,,,,,,,,,,,,,,,330.7,290.0,123.3,67.9,,,,,,,,,,,,,,,,,424244.0,169265.3,32507.0,23909.3
GT-DeepCOVID,,,,,,,,,,,,,,,,,400.2,233.5,107.5,87.6,,,,,,,,,,,,,,,,,451400.7,170661.6,25802.5,39196.4
UMass-MechBayes,,,,,,,,,,,,,,,,,444.2,216.5,117.2,80.1,,,,,,,,,,,,,,,,,800990.8,184629.6,62066.5,35259.6
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,392.4,253.0,157.9,66.3,,,,,,,,,,,,,,,,,503835.5,160333.0,49332.3,12613.2
LANL-GrowthRate,,,,,,,,,,,,,,,899.7,749.7,547.6,315.2,169.3,58.9,,,,,,,,,,,,,,,3533698.4,2016642.2,1181044.6,259261.9,94544.2,11953.7
Google_Harvard-CPF,,,,,,,,,,,,,,,,,381.1,258.7,142.1,72.2,,,,,,,,,,,,,,,,,513393.1,177365.6,37883.1,16939.7
Covid19Sim-Simulator,3667.7,3708.6,3439.6,2895.3,2792.1,3046.6,2112.7,1753.6,1738.3,,1644.5,1255.3,880.3,718.4,513.6,478.8,402.4,518.1,396.4,314.5,32702487.9,32809482.4,27438419.6,19516974.2,18174008.5,23114427.9,13958270.2,12138951.9,10729864.7,,8347632.7,5490230.7,2793596.0,2058377.7,782793.2,647240.7,502621.5,933050.3,637654.6,327943.0
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,429.4,282.0,136.8,63.7,,,,,,,,,,,,,,,,,775572.3,366309.8,44262.9,19951.3
IowaStateLW-STEM,3089.6,3096.1,3605.7,3524.6,3445.5,3437.7,3147.9,2870.4,2642.4,2323.1,1533.5,1547.1,1274.9,972.4,803.9,564.8,466.6,337.8,175.9,88.5,20819949.3,22250935.4,27961535.2,27332471.7,26903785.4,27124297.6,24177396.0,21405860.9,19262116.1,16809905.1,9607573.4,9208127.1,6741478.2,3855271.4,2499151.1,1280943.1,912443.2,334098.7,69486.9,15613.6
