,perc_error_2020-04-20_2020-06-20,perc_error_2020-04-27_2020-06-27,perc_error_2020-05-04_2020-07-04,perc_error_2020-05-11_2020-07-11,perc_error_2020-05-18_2020-07-18,perc_error_2020-05-25_2020-07-25,perc_error_2020-06-01_2020-08-01,perc_error_2020-06-08_2020-08-08,perc_error_2020-06-15_2020-08-15,perc_error_2020-06-22_2020-08-22,perc_error_2020-06-29_2020-08-29,perc_error_2020-07-06_2020-09-05,perc_error_2020-07-13_2020-09-12,perc_error_2020-07-20_2020-09-19,perc_error_2020-07-27_2020-09-26,perc_error_2020-08-03_2020-10-03,perc_error_2020-08-10_2020-10-10,perc_error_2020-08-17_2020-10-17,perc_error_2020-08-24_2020-10-24,perc_error_2020-08-31_2020-10-31,perc_error_2020-09-07_2020-11-07,perc_error_2020-09-14_2020-11-14,perc_error_2020-09-21_2020-11-21,perc_error_2020-09-28_2020-11-28,perc_error_2020-10-05_2020-12-05,perc_error_2020-10-12_2020-12-12,perc_error_2020-10-19_2020-12-19,perc_error_2020-10-26_2020-12-26,perc_error_2020-11-02_2021-01-02,perc_error_2020-11-09_2021-01-09,perc_error_2020-11-16_2021-01-16,perc_error_2020-11-23_2021-01-23,perc_error_2020-11-30_2021-01-30,perc_error_2020-12-07_2021-02-06
YYG-ParamSearch,,,0.144,0.503,0.698,0.466,0.182,0.063,-0.099,-0.314,-0.245,-0.318,-0.068,-0.123,-0.044,0.049,0.043,-0.032,-0.176,-0.249,,,,,,,,,,,,,,
Baseline,0.645,0.785,0.904,0.990,0.836,0.554,0.234,0.104,-0.108,-0.303,-0.081,-0.455,-0.200,-0.187,-0.004,0.302,0.268,0.275,0.232,0.157,0.068,-0.119,-0.147,-0.240,-0.383,-0.460,-0.547,-0.536,-0.569,-0.565,-0.542,-0.416,-0.485,-0.239
IHME-CurveFit,-0.687,-0.740,0.042,0.026,0.042,,-0.370,-0.240,-0.194,-0.325,-0.400,-0.343,,-0.067,-0.090,-0.011,0.209,,0.382,0.560,0.585,,0.044,0.221,,,-0.262,-0.232,,,,-0.139,,-0.061
Covid19Sim-Simulator,,,,,,-0.452,-0.582,-0.625,-0.357,-0.400,-0.166,-0.035,-0.003,0.073,0.107,0.012,,-0.462,-0.593,-0.182,-0.294,-0.401,-0.537,-0.486,-0.269,-0.356,-0.608,-0.142,-0.168,0.028,,0.092,0.065,0.065
IowaStateLW-STEM,,,-0.408,,-0.353,-0.266,-0.376,-0.565,-0.492,-0.529,-0.803,-0.158,-0.268,-0.328,-0.251,-0.118,,-0.126,-0.045,-0.029,-0.164,-0.080,-0.194,-0.582,-0.450,-0.532,-0.641,-0.590,-0.581,-0.601,-0.530,-0.316,-0.379,-0.282
UCLA-SuEIR,,,-0.254,-0.108,-0.085,-0.329,-0.503,-0.554,-0.687,-0.733,-0.580,-0.584,-0.371,-0.320,-0.124,0.027,-0.257,-0.100,-0.167,-0.170,-0.281,-0.390,-0.427,-0.489,-0.497,-0.551,-0.611,-0.654,-0.601,-0.513,-0.453,-0.313,-0.535,-0.223
USACE-ERDC_SEIR,,,,,-0.439,-0.505,-0.578,-0.608,-0.400,-0.318,-0.164,,,,,,,,,,,,,,,,,,,,,,,
STH-3PU,,,,,,,,,-0.426,-0.688,-0.767,-0.790,-0.828,-0.244,0.515,1.621,-0.001,0.002,-0.031,-0.047,-0.682,-0.179,-0.297,,-0.463,-0.518,-0.580,-0.637,-0.641,,,,,
QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.328,,-0.272,-0.038,0.085,,
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,-0.494,-0.392,-0.255,-0.252,,,,,,
USC-SI_kJalpha,,,,,,,,,,,0.113,,,,,,,,,,,,,,,,,,,,,,,
JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,,,,,,,-0.509,,,,-0.333,0.644,,,-0.138
