,perc_error_2020-04-20_2020-05-02,perc_error_2020-04-27_2020-05-02
Baseline,0.080,0.021
Baseline_0.98,-0.041,-0.029
YYG-ParamSearch,-0.234,-0.138
CU-select,0.265,-0.343
Imperial-combined,,-0.070
LANL-GrowthRate,,0.146
Geneva-DetGrowth,,-0.259
MOBS_NEU-GLEAM_COVID,-0.388,-0.392
IHME-CurveFit,-0.300,-0.443
COVIDhub-ensemble,,-0.415
UT-Mobility,-0.544,-0.755
JHU_IDD-CovidSP,,-0.998
