,perc_error_2020-04-20_2020-06-27,perc_error_2020-04-27_2020-07-04,perc_error_2020-05-04_2020-07-11,perc_error_2020-05-11_2020-07-18,perc_error_2020-05-18_2020-07-25,perc_error_2020-05-25_2020-08-01,perc_error_2020-06-01_2020-08-08,perc_error_2020-06-08_2020-08-15,perc_error_2020-06-15_2020-08-22,perc_error_2020-06-22_2020-08-29,perc_error_2020-06-29_2020-09-05,perc_error_2020-07-06_2020-09-12,perc_error_2020-07-13_2020-09-19,perc_error_2020-07-20_2020-09-26,perc_error_2020-07-27_2020-10-03,perc_error_2020-08-03_2020-10-10,perc_error_2020-08-10_2020-10-17,perc_error_2020-08-17_2020-10-24,perc_error_2020-08-24_2020-10-31,perc_error_2020-08-31_2020-11-07,perc_error_2020-09-07_2020-11-14,perc_error_2020-09-14_2020-11-21,perc_error_2020-09-21_2020-11-28,perc_error_2020-09-28_2020-12-05,perc_error_2020-10-05_2020-12-12,perc_error_2020-10-12_2020-12-19,perc_error_2020-10-19_2020-12-26,perc_error_2020-10-26_2021-01-02,perc_error_2020-11-02_2021-01-09,perc_error_2020-11-09_2021-01-16,perc_error_2020-11-16_2021-01-23,perc_error_2020-11-23_2021-01-30,perc_error_2020-11-30_2021-02-06,perc_error_2020-12-07_2021-02-13,perc_error_2020-12-14_2021-02-20,perc_error_2020-12-21_2021-02-27,perc_error_2020-12-28_2021-03-06
YYG-ParamSearch,,,0.161,0.534,0.710,0.427,0.169,0.051,-0.108,-0.311,-0.235,-0.299,-0.056,-0.130,-0.046,0.034,0.020,-0.069,-0.203,,,,,,,,,,,,,,,,,,
Baseline,0.756,0.905,0.966,1.024,0.823,0.492,0.201,0.080,-0.120,-0.304,-0.074,-0.443,-0.187,-0.171,0.022,0.325,0.281,0.264,0.216,0.110,0.010,-0.204,-0.223,-0.347,-0.468,-0.530,-0.588,-0.580,-0.613,-0.604,-0.571,-0.447,-0.504,-0.241,-0.152,-0.048,-0.182
IHME-CurveFit,-0.700,-0.751,-0.007,-0.035,-0.040,,-0.438,-0.261,-0.202,-0.326,-0.407,-0.330,,-0.071,-0.093,-0.006,0.237,,0.397,0.551,0.616,,0.060,0.133,,,-0.279,-0.267,,,,-0.181,,-0.074,-0.222,0.076,0.101
Covid19Sim-Simulator,,,,,,-0.488,-0.596,-0.632,-0.379,-0.410,-0.110,0.033,0.064,0.119,0.150,0.021,,-0.466,-0.599,-0.268,-0.361,-0.480,-0.604,-0.582,-0.361,-0.428,-0.655,-0.169,-0.216,0.003,,0.060,0.013,0.108,-0.006,-0.020,-0.053
IowaStateLW-STEM,,,-0.424,,-0.401,-0.321,-0.419,-0.605,-0.518,-0.539,-0.807,-0.150,-0.251,-0.325,-0.243,-0.122,,-0.151,-0.074,-0.082,-0.221,-0.177,-0.279,-0.648,-0.533,-0.598,-0.678,-0.634,-0.626,-0.639,-0.562,-0.355,-0.405,-0.290,0.009,0.052,0.047
UCLA-SuEIR,,,-0.291,-0.159,-0.159,-0.406,-0.555,-0.598,-0.717,-0.755,-0.592,-0.588,-0.381,-0.329,-0.130,0.006,-0.287,-0.145,-0.207,-0.231,-0.347,-0.470,-0.498,-0.577,-0.577,-0.618,-0.653,-0.693,-0.644,-0.552,-0.474,-0.331,-0.554,-0.225,-0.294,-0.163,-0.726
STH-3PU,,,,,,,,,-0.459,-0.704,-0.777,-0.792,-0.824,-0.204,0.493,1.546,-0.005,-0.015,-0.046,-0.084,-0.694,-0.266,-0.361,,-0.535,-0.581,-0.620,-0.672,-0.683,,,,,,,,
USACE-ERDC_SEIR,,,,,-0.482,-0.559,-0.605,-0.634,-0.429,-0.332,-0.176,,,,,,,,,,,,,,,,,,,,,,,,,,
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,-0.555,-0.457,-0.315,-0.321,,,,,,,,,
USC-SI_kJalpha,,,,,,,,,,,0.073,,,,,,,,,,,,,,,,,,,,,,,,,,
QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.080,,,,,,
JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,,,,,,,-0.585,,,,,,,,,,,
