,mean_abs_error_2020-05-18_2020-09-12,mean_abs_error_2020-05-25_2020-09-12,mean_abs_error_2020-06-01_2020-09-12,mean_abs_error_2020-06-08_2020-09-12,mean_abs_error_2020-06-15_2020-09-12,mean_abs_error_2020-06-22_2020-09-12,mean_abs_error_2020-06-29_2020-09-12,mean_abs_error_2020-07-06_2020-09-12,mean_abs_error_2020-07-13_2020-09-12,mean_abs_error_2020-07-20_2020-09-12,mean_abs_error_2020-07-27_2020-09-12,mean_abs_error_2020-08-03_2020-09-12,mean_abs_error_2020-08-10_2020-09-12,mean_abs_error_2020-08-17_2020-09-12,mean_abs_error_2020-08-24_2020-09-12,mean_abs_error_2020-08-31_2020-09-12,mean_abs_error_2020-09-07_2020-09-12,mean_sq_abs_error_2020-05-18_2020-09-12,mean_sq_abs_error_2020-05-25_2020-09-12,mean_sq_abs_error_2020-06-01_2020-09-12,mean_sq_abs_error_2020-06-08_2020-09-12,mean_sq_abs_error_2020-06-15_2020-09-12,mean_sq_abs_error_2020-06-22_2020-09-12,mean_sq_abs_error_2020-06-29_2020-09-12,mean_sq_abs_error_2020-07-06_2020-09-12,mean_sq_abs_error_2020-07-13_2020-09-12,mean_sq_abs_error_2020-07-20_2020-09-12,mean_sq_abs_error_2020-07-27_2020-09-12,mean_sq_abs_error_2020-08-03_2020-09-12,mean_sq_abs_error_2020-08-10_2020-09-12,mean_sq_abs_error_2020-08-17_2020-09-12,mean_sq_abs_error_2020-08-24_2020-09-12,mean_sq_abs_error_2020-08-31_2020-09-12,mean_sq_abs_error_2020-09-07_2020-09-12
YYG-ParamSearch,,,,,776.6,624.7,560.2,453.5,273.2,265.7,207.4,139.4,109.7,66.2,45.4,29.5,20.1,,,,,3031468.0,2222859.4,1995947.2,1593388.6,413656.9,343770.8,131277.3,48805.5,42761.0,15296.2,6609.0,3271.2,1704.8
USC-SI_kJalpha,,,,,,,891.8,,,521.7,368.4,158.8,132.2,78.5,67.9,35.8,26.6,,,,,,,8035718.0,,,827755.6,825169.3,68525.0,56290.8,14846.6,26387.0,4451.0,1908.7
UCLA-SuEIR,,,,1004.9,962.2,894.4,859.9,722.7,452.0,373.5,241.1,179.2,136.8,105.8,61.6,44.6,28.6,,,,5392355.4,5201736.1,4374713.3,3505759.8,3140071.5,1071699.4,856098.3,261743.5,170281.8,76522.2,40235.5,14544.0,5896.2,2566.5
Baseline,2418.2,1888.1,1534.1,1402.3,1104.3,909.3,1186.6,731.4,513.4,365.5,215.3,241.5,161.0,125.2,67.4,37.9,23.2,24052722.3,11433848.1,7323066.7,6365564.4,4829184.3,3699366.1,11967869.3,2984129.5,1273232.0,517677.1,154354.5,403254.7,177090.9,91686.9,33282.3,4408.6,1842.5
COVIDhub-ensemble,,,,,,,,,,,,,,55.6,44.9,30.2,18.8,,,,,,,,,,,,,,10050.7,6832.1,2619.0,1494.6
CovidAnalytics-DELPHI,,,,,,,,,,334.1,254.5,201.6,164.0,92.9,82.5,49.5,26.5,,,,,,,,,,378256.7,255862.8,128528.7,81044.1,22988.9,38364.3,12973.6,2421.5
LNQ-ens1,,,,,,,,,,,,,,96.4,46.5,26.3,19.0,,,,,,,,,,,,,,39635.4,4812.9,2852.7,1582.8
UMass-MechBayes,,,,,,,,,,,,,,77.5,53.5,31.0,15.2,,,,,,,,,,,,,,15470.6,7040.6,4076.9,1072.1
OliverWyman-Navigator,,,,,,,,,,,,,,56.7,44.1,41.8,23.6,,,,,,,,,,,,,,19369.6,5478.5,4686.9,1778.5
JCB-PRM,,,,,,,,,,,,,,76.2,54.2,37.8,23.0,,,,,,,,,,,,,,25267.9,21175.6,6024.8,1911.9
CMU-TimeSeries,,,,,,,,,,,,,,75.1,65.5,30.1,27.3,,,,,,,,,,,,,,25945.7,23461.3,2553.1,2301.6
LANL-GrowthRate,,,,,,,,,,,476.8,337.5,205.3,153.1,86.7,48.2,26.6,,,,,,,,,,,1408304.7,600995.8,147991.7,79429.0,32879.1,10580.8,3131.9
Karlen-pypm,,,,,,,,,,,,,287.8,168.4,76.9,44.9,22.2,,,,,,,,,,,,,369081.0,185330.4,48837.4,10897.7,1799.6
NotreDame-mobility,,,,,,,,,,,,423.3,353.3,157.2,81.5,46.9,29.4,,,,,,,,,,,,877981.5,772620.3,120798.5,17001.3,6275.0,2201.5
MOBS-GLEAM_COVID,,,,,,,,,,,,,,114.1,81.2,58.4,23.9,,,,,,,,,,,,,,45188.3,20519.7,10543.3,2488.4
DDS-NBDS,,,,,,,,,,,,,,182.0,98.4,37.6,23.9,,,,,,,,,,,,,,92490.7,46451.7,5624.2,2073.9
Covid19Sim-Simulator,,1083.6,1074.2,1014.5,746.4,657.9,635.7,511.5,302.1,268.3,209.1,171.1,,,272.6,43.3,28.9,,5637000.8,5426978.1,4980187.0,3195588.4,2384413.0,2677014.9,2308591.6,826489.9,463538.3,241093.3,128665.2,,,438422.1,9788.7,2590.9
GT-DeepCOVID,,,,,,,,,,,,,,104.6,67.2,65.1,33.7,,,,,,,,,,,,,,53552.3,24891.9,22831.4,6446.9
IowaStateLW-STEM,1483.9,1329.2,1350.3,1160.1,937.5,839.5,869.3,644.4,496.1,360.0,259.0,230.2,,147.6,130.1,55.1,32.4,8050307.7,7102666.3,8082986.8,6148394.1,4208115.8,3245205.1,4321976.1,2026972.3,1090008.3,340597.4,226542.9,235560.4,,82231.3,87594.1,12053.1,4358.3
IHME-CurveFit,,,,983.4,661.6,469.4,600.1,544.5,,352.6,254.0,195.2,154.8,,182.9,93.9,39.1,,,,3825568.1,2445112.0,822823.6,1701046.8,1343886.5,,337963.1,151434.0,149430.4,65156.1,,213359.2,54379.8,5691.9
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,90.1,52.4,19.6,,,,,,,,,,,,,,,51961.3,15389.1,1479.7
CEID-Walk,,,,,,,,,,,,,,142.1,91.4,57.1,30.3,,,,,,,,,,,,,,98329.8,49892.2,11144.3,3134.9
COVIDhub-baseline,,,,,,,,,,,,,,146.0,88.4,57.6,30.4,,,,,,,,,,,,,,95522.2,45423.0,11233.8,2959.6
UA-EpiCovDA,,,,,,,,,,,,,,121.1,80.3,94.8,37.7,,,,,,,,,,,,,,232079.5,51112.8,64212.4,8728.6
CU-select,,,,,,,,,,,,,,172.0,87.9,53.7,38.5,,,,,,,,,,,,,,216175.0,20424.9,9846.0,3986.0
PSI-DRAFT,,,,,,,,,,,,1632.8,403.9,297.7,113.5,56.3,35.6,,,,,,,,,,,,27415205.5,510883.6,374715.7,71485.4,10185.1,3293.4
Google_Harvard-CPF,,,,,,,,,,,,,,,,48.6,28.8,,,,,,,,,,,,,,,,4504.5,2783.7
USACE-ERDC_SEIR,,,,,,,649.6,,,1220.5,665.8,464.5,319.8,228.0,153.7,99.6,50.5,,,,,,,2372316.3,,,5830471.0,1267737.9,588377.5,275576.6,155781.9,67347.7,27060.0,7747.3
JHU_IDD-CovidSP,,,,,,,,,,,,,358.6,256.5,109.3,63.0,39.3,,,,,,,,,,,,,394755.3,217202.7,37073.5,9535.1,5132.6
epiforecasts-ensemble1,,,,,,,,,,,,,,112.2,118.0,104.1,89.8,,,,,,,,,,,,,,32470.2,36315.8,40947.9,36593.4
UMich-RidgeTfReg,,,,,,,,,,,,,,,,48.9,31.4,,,,,,,,,,,,,,,,5278.8,3022.1
MITCovAlliance-SIR,,,,,,,,,,764.3,692.6,449.0,,438.9,,,28.1,,,,,,,,,,3508699.5,2690765.8,1216298.4,,1138391.9,,,3532.8
