,mean_abs_error_2020-05-18_2020-09-19,mean_abs_error_2020-05-25_2020-09-19,mean_abs_error_2020-06-01_2020-09-19,mean_abs_error_2020-06-08_2020-09-19,mean_abs_error_2020-06-15_2020-09-19,mean_abs_error_2020-06-22_2020-09-19,mean_abs_error_2020-06-29_2020-09-19,mean_abs_error_2020-07-06_2020-09-19,mean_abs_error_2020-07-13_2020-09-19,mean_abs_error_2020-07-20_2020-09-19,mean_abs_error_2020-07-27_2020-09-19,mean_abs_error_2020-08-03_2020-09-19,mean_abs_error_2020-08-10_2020-09-19,mean_abs_error_2020-08-17_2020-09-19,mean_abs_error_2020-08-24_2020-09-19,mean_abs_error_2020-08-31_2020-09-19,mean_abs_error_2020-09-07_2020-09-19,mean_abs_error_2020-09-14_2020-09-19,mean_sq_abs_error_2020-05-18_2020-09-19,mean_sq_abs_error_2020-05-25_2020-09-19,mean_sq_abs_error_2020-06-01_2020-09-19,mean_sq_abs_error_2020-06-08_2020-09-19,mean_sq_abs_error_2020-06-15_2020-09-19,mean_sq_abs_error_2020-06-22_2020-09-19,mean_sq_abs_error_2020-06-29_2020-09-19,mean_sq_abs_error_2020-07-06_2020-09-19,mean_sq_abs_error_2020-07-13_2020-09-19,mean_sq_abs_error_2020-07-20_2020-09-19,mean_sq_abs_error_2020-07-27_2020-09-19,mean_sq_abs_error_2020-08-03_2020-09-19,mean_sq_abs_error_2020-08-10_2020-09-19,mean_sq_abs_error_2020-08-17_2020-09-19,mean_sq_abs_error_2020-08-24_2020-09-19,mean_sq_abs_error_2020-08-31_2020-09-19,mean_sq_abs_error_2020-09-07_2020-09-19,mean_sq_abs_error_2020-09-14_2020-09-19
YYG-ParamSearch,,,,,828.7,673.6,611.6,486.6,302.1,300.4,234.9,159.3,129.9,86.2,66.6,49.5,35.8,23.9,,,,,3396167.9,2457841.5,2232468.3,1733390.2,436022.9,389670.8,149714.2,60372.0,57931.4,22921.9,15918.3,9721.7,5454.2,2375.8
USC-SI_kJalpha,,,,,,,947.7,,,,444.5,214.5,183.4,110.9,102.5,59.6,45.6,22.0,,,,,,,8097184.2,,,,1113238.6,129428.1,108782.4,29771.4,52968.3,14468.0,5907.9,1634.9
UCLA-SuEIR,,,,,1054.2,980.1,944.7,797.3,498.2,417.3,278.7,207.8,180.8,139.4,90.3,68.2,47.2,23.5,,,,,5993422.1,5052742.5,4053775.5,3633514.3,1218497.1,1010622.1,316125.4,220280.2,124914.7,61672.6,27894.6,12049.2,6808.2,1954.6
Baseline,2581.2,2020.8,1642.2,1512.0,1194.2,983.0,1279.4,783.1,553.3,397.9,237.0,304.7,211.1,180.5,110.6,71.1,44.2,23.1,27419253.9,13079825.0,8354663.8,7276238.6,5492241.2,4172996.7,14098846.3,3353158.6,1407067.0,558727.7,181603.6,669311.4,322502.0,181771.6,80350.4,15307.5,7377.1,1907.2
COVIDhub-ensemble,,,,,,,,,,,,,,,64.9,50.2,33.1,21.2,,,,,,,,,,,,,,,14647.1,8275.8,4222.3,1878.0
OliverWyman-Navigator,,,,,,,,,,,,,,,64.6,66.0,37.8,21.0,,,,,,,,,,,,,,,10574.3,13292.9,4873.3,1574.4
JCB-PRM,,,,,,,,,,,,,,,81.0,55.8,37.3,22.9,,,,,,,,,,,,,,,46886.4,13861.5,5640.3,2212.9
UMass-MechBayes,,,,,,,,,,,,,,,90.9,64.0,27.9,22.4,,,,,,,,,,,,,,,21379.1,14679.0,2795.5,2064.1
CovidAnalytics-DELPHI,,,,,,,,,,,,,205.2,128.8,124.1,86.5,57.8,29.1,,,,,,,,,,,,,124340.2,42664.2,78986.3,34526.8,10682.6,2521.6
Karlen-pypm,,,,,,,,,,,,,,217.9,111.0,75.7,38.8,23.4,,,,,,,,,,,,,,324406.8,99854.7,28722.8,6433.9,1951.4
LNQ-ens1,,,,,,,,,,,,,,,68.9,48.0,36.3,25.6,,,,,,,,,,,,,,,12364.1,7903.4,4635.0,2305.0
CMU-TimeSeries,,,,,,,,,,,,,,,92.1,44.6,39.4,24.0,,,,,,,,,,,,,,,40386.0,4651.0,4690.2,1902.8
LANL-GrowthRate,,,,,,,,,,,,402.1,264.3,207.8,135.7,85.6,51.9,27.2,,,,,,,,,,,,802456.2,235786.9,137185.9,75331.2,30559.9,11979.8,2607.7
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,131.4,79.6,35.5,25.1,,,,,,,,,,,,,,,101972.7,34085.0,4428.3,2177.8
DDS-NBDS,,,,,,,,,,,,,,,164.9,59.1,43.8,24.1,,,,,,,,,,,,,,,122154.8,14517.8,6640.6,2275.7
IowaStateLW-STEM,1594.1,1432.3,1466.9,1259.4,1008.0,905.5,935.5,694.9,529.6,390.5,318.6,278.3,,188.3,172.4,83.4,58.1,33.6,9156040.8,8278136.5,9509671.2,7040527.1,4763589.4,3655856.3,4860832.6,2268654.4,1266970.6,392953.9,327329.4,370357.2,,143194.3,154665.3,26909.3,11364.1,2463.0
GT-DeepCOVID,,,,,,,,,,,,,,,94.0,97.0,64.9,24.8,,,,,,,,,,,,,,,31649.2,45132.9,21141.2,2482.8
CEID-Walk,,,,,,,,,,,,,,,134.0,90.3,50.5,24.4,,,,,,,,,,,,,,,94569.9,29000.7,9880.3,2060.4
Auquan-SEIR,,,,,,,,,,,,,,166.6,157.7,,,,,,,,,,,,,,,,,106880.0,99493.9,,,
Covid19Sim-Simulator,,1153.8,1141.9,1081.8,808.4,715.3,727.7,592.2,385.0,316.8,260.2,198.5,,,312.2,66.1,47.9,25.2,,6291290.0,6027875.4,5531444.0,3585957.0,2654162.7,4114604.5,3402501.8,1312671.8,659739.1,366484.2,142479.5,,,532696.2,22201.6,8358.7,2291.7
NotreDame-mobility,,,,,,,,,,,,,448.5,237.4,134.8,78.5,61.7,60.5,,,,,,,,,,,,,1269261.3,260524.9,45359.6,16705.9,10693.4,10688.2
COVIDhub-baseline,,,,,,,,,,,,,,,140.1,90.7,53.3,24.1,,,,,,,,,,,,,,,103751.9,29307.1,10207.5,2050.3
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,120.6,100.4,49.8,34.4,,,,,,,,,,,,,,,43598.9,30971.5,9911.1,3885.6
JHU_IDD-CovidSP,,,,,,,,,,,,,,367.1,162.1,97.8,53.5,28.5,,,,,,,,,,,,,,450919.2,89917.7,24239.0,6282.9,1830.6
IHME-CurveFit,,,,1101.8,725.8,517.0,644.6,572.1,,384.0,293.7,243.8,178.4,,252.6,151.6,66.9,,,,,4446628.8,2703990.2,828621.8,1843632.6,1428886.1,,401276.9,196308.4,192498.8,80644.9,,382178.1,141751.7,12961.4,
PSI-DRAFT,,,,,,,,,,,,,569.5,398.8,172.2,104.1,69.5,33.3,,,,,,,,,,,,,1032716.1,610049.9,151199.7,30315.6,13753.6,3525.9
Google_Harvard-CPF,,,,,,,,,,,,,,,,85.4,55.1,37.7,,,,,,,,,,,,,,,,13814.9,9609.1,4341.2
CU-select,,,,,,,,,,,,,,,132.1,104.0,65.1,49.6,,,,,,,,,,,,,,,43197.3,35266.9,9802.4,6602.4
UA-EpiCovDA,,,,,,,,,,,,,,,108.3,144.6,85.1,41.8,,,,,,,,,,,,,,,106879.5,134233.2,40221.6,10237.3
UT-Mobility,,,,,,,,,,,,,,,125.1,,,24.9,,,,,,,,,,,,,,,55604.5,,,2602.7
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,49.1,31.5,,,,,,,,,,,,,,,,,7965.8,3137.3
RobertWalraven-ESG,,,,,,,,,,,,,,235.2,186.3,115.4,83.4,50.1,,,,,,,,,,,,,,193990.2,117875.7,41199.6,29177.8,9262.0
UMich-RidgeTfReg,,,,,,,,,,,,,,,,73.0,77.3,58.0,,,,,,,,,,,,,,,,12896.3,37040.9,22978.3
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,79.1,23.9,,,,,,,,,,,,,,,,,38317.9,2286.7
USACE-ERDC_SEIR,,,,,,,,,,,787.3,549.4,388.7,288.6,206.8,153.7,105.2,60.3,,,,,,,,,,,1765432.3,842206.9,421794.8,256577.8,124686.4,66633.0,33608.3,10277.1
Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,61.6,28.6,,,,,,,,,,,,,,,,,12443.1,2307.1
epiforecasts-ensemble1,,,,,,,,,,,,,,,129.5,119.3,109.4,120.8,,,,,,,,,,,,,,,36674.8,49958.0,45376.9,56098.5
MITCovAlliance-SIR,,,,,,,,,,,772.4,511.8,,500.9,,,64.5,41.8,,,,,,,,,,,3184714.8,1463602.1,,1371093.9,,,20436.7,8423.5
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,68.4,37.2,,,,,,,,,,,,,,,,,17470.7,4694.3
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,5567.1
JHUAPL-Bucky,,,,,,,,,,,,,,,,176.9,130.1,73.9,,,,,,,,,,,,,,,,135122.9,76606.6,15925.0
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,108.4,77.3,,,,,,,,,,,,,,,,,40788.1,31709.9
TTU-squider,,,,,,,,,,,,,,,,,,318.0,,,,,,,,,,,,,,,,,,607291.1
