,perc_error_2020-04-20_2020-07-18,perc_error_2020-04-27_2020-07-25,perc_error_2020-05-04_2020-08-01,perc_error_2020-05-11_2020-08-08,perc_error_2020-05-18_2020-08-15,perc_error_2020-05-25_2020-08-22,perc_error_2020-06-01_2020-08-29,perc_error_2020-06-08_2020-09-05,perc_error_2020-06-15_2020-09-12,perc_error_2020-06-22_2020-09-19,perc_error_2020-06-29_2020-09-26,perc_error_2020-07-06_2020-10-03,perc_error_2020-07-13_2020-10-10,perc_error_2020-07-20_2020-10-17,perc_error_2020-07-27_2020-10-24,perc_error_2020-08-03_2020-10-31,perc_error_2020-08-10_2020-11-07,perc_error_2020-08-17_2020-11-14,perc_error_2020-08-24_2020-11-21,perc_error_2020-08-31_2020-11-28,perc_error_2020-09-07_2020-12-05,perc_error_2020-09-14_2020-12-12,perc_error_2020-09-21_2020-12-19,perc_error_2020-09-28_2020-12-26,perc_error_2020-10-05_2021-01-02,perc_error_2020-10-12_2021-01-09,perc_error_2020-10-19_2021-01-16,perc_error_2020-10-26_2021-01-23,perc_error_2020-11-02_2021-01-30,perc_error_2020-11-09_2021-02-06,perc_error_2020-11-16_2021-02-13,perc_error_2020-11-23_2021-02-20,perc_error_2020-11-30_2021-02-27,perc_error_2020-12-07_2021-03-06
Baseline,0.952,1.005,0.956,0.918,0.685,0.397,0.143,0.051,-0.117,-0.288,-0.040,-0.418,-0.145,-0.128,0.057,0.341,0.251,0.194,0.074,-0.055,-0.200,-0.387,-0.424,-0.491,-0.565,-0.604,-0.655,-0.641,-0.655,-0.631,-0.584,-0.434,-0.471,-0.172
IHME-CurveFit,-0.744,-0.799,-0.209,-0.274,,,,-0.269,-0.165,-0.275,-0.402,-0.285,,-0.072,-0.126,-0.010,0.253,,0.392,0.500,0.561,,0.100,0.119,,,-0.278,-0.291,,,,-0.176,,-0.055
Covid19Sim-Simulator,,,,,,-0.546,-0.618,-0.635,-0.405,-0.416,0.105,0.237,0.261,0.238,0.212,-0.001,,-0.505,-0.658,-0.485,-0.553,-0.646,-0.756,-0.723,-0.455,-0.499,-0.745,-0.155,-0.211,0.102,,0.129,0.013,0.288
IowaStateLW-STEM,,,-0.502,,-0.527,-0.403,-0.492,-0.681,-0.551,-0.543,-0.810,-0.142,-0.198,-0.314,-0.245,-0.152,,-0.239,-0.216,-0.247,-0.406,-0.385,-0.487,-0.739,-0.633,-0.672,-0.739,-0.696,-0.672,-0.668,-0.580,-0.347,-0.374,-0.242
UCLA-SuEIR,,,-0.438,-0.354,-0.370,-0.555,-0.662,-0.687,-0.774,-0.801,-0.620,-0.607,-0.410,-0.360,-0.177,-0.080,-0.395,-0.285,-0.365,-0.407,-0.538,-0.634,-0.666,-0.702,-0.679,-0.698,-0.727,-0.752,-0.688,-0.568,-0.454,-0.260,-0.532,-0.154
STH-3PU,,,,,,,,,-0.511,-0.724,-0.781,-0.772,-0.780,0.023,0.370,1.249,-0.050,-0.083,-0.159,-0.217,-0.746,-0.444,-0.526,,-0.618,-0.651,-0.686,-0.720,-0.724,,,,,
YYG-ParamSearch,,,,,,,,,-0.119,-0.293,-0.223,,-0.044,-0.159,-0.093,-0.041,,,,,,,,,,,,,,,,,,
USACE-ERDC_SEIR,,,,,-0.609,-0.665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC-SI_kJalpha,,,,,,,,,,,-0.056,,,,,,,,,,,,,,,,,,,,,,,
