,perc_error_2020-04-27_2020-08-29,perc_error_2020-05-04_2020-09-05,perc_error_2020-05-18_2020-09-19,perc_error_2020-05-25_2020-09-26,perc_error_2020-06-01_2020-10-03,perc_error_2020-06-08_2020-10-10,perc_error_2020-06-15_2020-10-17,perc_error_2020-06-22_2020-10-24,perc_error_2020-06-29_2020-10-31,perc_error_2020-07-06_2020-11-07,perc_error_2020-07-13_2020-11-14,perc_error_2020-07-20_2020-11-21,perc_error_2020-07-27_2020-11-28,perc_error_2020-08-03_2020-12-05,perc_error_2020-08-10_2020-12-12,perc_error_2020-08-17_2020-12-19,perc_error_2020-08-24_2020-12-26,perc_error_2020-08-31_2021-01-02,perc_error_2020-09-07_2021-01-09,perc_error_2020-09-14_2021-01-16,perc_error_2020-09-21_2021-01-23,perc_error_2020-09-28_2021-01-30,perc_error_2020-10-05_2021-02-06,perc_error_2020-10-12_2021-02-13,perc_error_2020-10-19_2021-02-20,perc_error_2020-10-26_2021-02-27,perc_error_2020-11-02_2021-03-06
Baseline,0.993,0.944,0.686,0.409,0.170,0.084,-0.090,-0.265,-0.009,-0.410,-0.157,-0.182,-0.053,0.101,-0.051,-0.158,-0.250,-0.354,-0.444,-0.561,-0.569,-0.613,-0.657,-0.667,-0.686,-0.654,-0.649
IHME-CurveFit,,,,,,-0.044,0.109,-0.087,-0.327,-0.227,,-0.113,-0.225,-0.168,0.109,,0.202,0.196,0.273,,0.070,0.035,,,-0.251,-0.264,
IowaStateLW-STEM,,-0.577,-0.596,-0.414,-0.512,-0.733,-0.564,-0.535,-0.815,-0.164,-0.206,-0.382,-0.353,-0.339,,-0.494,-0.478,-0.506,-0.604,-0.574,-0.631,-0.811,-0.722,-0.733,-0.770,-0.717,-0.673
Covid19Sim-Simulator,,,,-0.565,-0.603,-0.607,-0.409,-0.409,0.545,0.519,0.470,0.214,0.075,-0.240,,-0.671,-0.781,-0.733,-0.742,-0.792,-0.861,-0.835,-0.546,-0.576,-0.807,-0.050,-0.094
STH-3PU,,,,,,,-0.391,-0.641,-0.709,-0.673,-0.675,0.291,0.130,0.552,-0.297,-0.368,-0.426,-0.477,-0.825,-0.610,-0.654,,-0.709,-0.714,-0.721,-0.737,-0.725
