,perc_error_2020-04-20_2020-05-16,perc_error_2020-04-27_2020-05-23,perc_error_2020-05-04_2020-05-30,perc_error_2020-05-11_2020-06-06,perc_error_2020-05-18_2020-06-13,perc_error_2020-05-25_2020-06-20,perc_error_2020-06-01_2020-06-27,perc_error_2020-06-08_2020-07-04,perc_error_2020-06-15_2020-07-11,perc_error_2020-06-22_2020-07-18,perc_error_2020-06-29_2020-07-25,perc_error_2020-07-06_2020-08-01,perc_error_2020-07-13_2020-08-08,perc_error_2020-07-20_2020-08-15,perc_error_2020-07-27_2020-08-22,perc_error_2020-08-03_2020-08-29,perc_error_2020-08-10_2020-09-05,perc_error_2020-08-17_2020-09-12,perc_error_2020-08-24_2020-09-19,perc_error_2020-08-31_2020-09-26,perc_error_2020-09-07_2020-10-03,perc_error_2020-09-14_2020-10-10,perc_error_2020-09-21_2020-10-17,perc_error_2020-09-28_2020-10-24,perc_error_2020-10-05_2020-10-31,perc_error_2020-10-12_2020-11-07,perc_error_2020-10-19_2020-11-14,perc_error_2020-10-26_2020-11-21,perc_error_2020-11-02_2020-11-28,perc_error_2020-11-09_2020-12-05,perc_error_2020-11-16_2020-12-12,perc_error_2020-11-23_2020-12-19,perc_error_2020-11-30_2020-12-26,perc_error_2020-12-07_2021-01-02,perc_error_2020-12-14_2021-01-09,perc_error_2020-12-21_2021-01-16,perc_error_2020-12-28_2021-01-23,perc_error_2021-01-04_2021-01-30,perc_error_2021-01-11_2021-02-06,perc_error_2021-01-18_2021-02-13,perc_error_2021-01-25_2021-02-20,perc_error_2021-02-01_2021-02-27,perc_error_2021-02-08_2021-03-06
CovidAnalytics-DELPHI,,,0.201,0.354,0.241,0.063,-0.021,0.190,0.125,-0.102,-0.022,0.194,-0.007,-0.096,-0.080,-0.131,-0.171,-0.119,0.050,0.005,-0.056,-0.167,-0.231,-0.310,-0.325,-0.360,-0.540,-0.434,-0.419,-0.415,-0.332,-0.140,-0.201,-0.193,-0.068,-0.164,-0.253,-0.320,-0.092,0.262,0.198,0.112,0.125
IowaStateLW-STEM,,,-0.361,,-0.038,0.050,0.087,-0.015,-0.024,-0.213,-0.682,-0.028,-0.302,-0.331,-0.266,-0.103,,-0.082,0.026,0.050,-0.031,0.093,0.128,-0.375,-0.109,-0.210,-0.372,-0.345,-0.381,-0.469,-0.421,-0.214,-0.289,-0.158,0.059,0.036,-0.043,-0.295,-0.144,0.136,0.142,0.404,0.495
Baseline,0.164,0.257,0.365,0.522,0.529,0.487,0.389,0.444,0.198,-0.094,0.091,-0.444,-0.245,-0.274,-0.137,0.128,0.113,0.164,0.164,0.127,0.115,-0.031,0.034,-0.022,-0.118,-0.181,-0.286,-0.321,-0.389,-0.435,-0.451,-0.345,-0.433,-0.162,-0.142,-0.117,-0.305,-0.201,0.003,0.107,0.153,0.330,0.539
LNQ-ens1,,,,,,,,,,,,,,0.010,-0.022,0.216,0.152,0.134,-0.000,0.017,-0.004,-0.152,-0.039,0.007,-0.091,-0.120,-0.193,-0.164,-0.203,-0.182,-0.108,-0.077,-0.333,0.040,0.169,0.027,-0.286,-0.217,0.159,0.196,0.262,0.193,0.259
LANL-GrowthRate,,0.239,0.096,-0.209,-0.085,0.102,0.028,0.147,0.165,0.041,-0.120,-0.542,-0.431,-0.438,-0.438,-0.354,-0.299,-0.287,-0.308,-0.334,-0.395,-0.303,-0.312,-0.429,-0.429,-0.458,-0.564,-0.566,-0.256,-0.174,-0.157,-0.312,-0.457,-0.015,0.105,0.034,0.057,-0.259,0.159,0.236,0.028,-0.037,-0.005
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,0.092,0.048,0.000,-0.128,-0.002,0.059,0.013,-0.188,-0.189,-0.133,-0.156,-0.078,-0.051,0.079,0.005,0.026,-0.013,0.036,-0.361,-0.278,-0.031,0.067,-0.058,-0.035,0.024
UCLA-SuEIR,,,-0.141,0.038,0.163,0.019,-0.095,-0.066,-0.304,-0.430,-0.380,-0.505,-0.307,-0.302,-0.109,0.105,-0.131,0.037,-0.022,-0.013,-0.058,-0.166,-0.123,-0.182,-0.178,-0.233,-0.315,-0.414,-0.416,-0.407,-0.420,-0.310,-0.474,-0.125,-0.223,-0.169,-0.612,-0.435,-0.280,-0.285,-0.328,-0.144,0.016
COVIDhub-baseline,0.433,0.283,0.359,0.631,0.541,0.545,0.414,0.428,0.262,-0.064,0.117,-0.439,-0.256,-0.259,-0.129,0.162,0.117,0.174,0.209,0.182,0.119,-0.009,0.085,-0.005,-0.115,-0.178,-0.273,-0.300,-0.390,-0.433,-0.452,-0.355,-0.419,-0.162,-0.138,-0.109,-0.280,-0.195,-0.002,0.130,0.170,0.350,0.607
UA-EpiCovDA,,,,,,0.482,0.557,0.601,0.954,-0.094,0.043,-0.521,-0.439,-0.224,0.009,-0.415,0.169,0.174,0.156,0.323,0.278,0.182,0.234,0.102,-0.002,-0.091,-0.168,-0.118,-0.208,-0.165,-0.133,-0.253,-0.383,-0.172,-0.026,-0.262,-0.550,-0.324,-0.073,-0.049,-0.097,-0.139,-0.134
JCB-PRM,,,,,,,,,,,,,,,0.112,0.147,0.133,0.080,0.039,-0.042,-0.052,-0.162,-0.123,-0.139,-0.111,-0.091,-0.184,-0.186,-0.207,-0.242,-0.189,-0.101,-0.104,0.006,0.095,0.159,0.022,,,,,,
