,perc_error_2020-04-27_2020-08-15,perc_error_2020-05-04_2020-08-15,perc_error_2020-05-11_2020-08-15,perc_error_2020-05-18_2020-08-15,perc_error_2020-05-25_2020-08-15,perc_error_2020-06-01_2020-08-15,perc_error_2020-06-08_2020-08-15,perc_error_2020-06-15_2020-08-15,perc_error_2020-06-22_2020-08-15,perc_error_2020-06-29_2020-08-15,perc_error_2020-07-06_2020-08-15,perc_error_2020-07-13_2020-08-15,perc_error_2020-07-20_2020-08-15,perc_error_2020-07-27_2020-08-15,perc_error_2020-08-03_2020-08-15,perc_error_2020-08-10_2020-08-15
CovidActNow-SEIR_CAN,,,,,,,,,,,-0.136,,,,,
YYG-ParamSearch,,,,,,,0.051,-0.094,-0.305,-0.253,-0.366,-0.180,-0.172,-0.119,-0.012,-0.011
CovidAnalytics-DELPHI,,,,,,,,,,,0.093,-0.041,-0.094,-0.094,-0.171,-0.233
Baseline,0.970,0.924,0.891,0.677,0.411,0.169,0.080,-0.102,-0.287,-0.066,-0.462,-0.244,-0.272,-0.161,0.059,-0.033
Columbia_UNC-SurvCon,,,,,,,,,,,0.479,0.259,-0.094,-0.126,-0.037,-0.113
QJHong-Encounter,,,,,,,,,,,,0.379,0.067,0.017,0.113,0.080
IowaStateLW-STEM,,-0.544,,-0.529,-0.388,-0.454,-0.605,-0.489,-0.506,-0.783,-0.119,-0.311,-0.329,-0.257,-0.054,
JHU_IDD-CovidSP,,,,,,,,,,,,0.181,0.134,0.040,0.042,-0.233
UCLA-SuEIR,,,-0.403,-0.373,-0.517,-0.600,-0.598,-0.685,-0.702,-0.536,-0.550,-0.325,-0.300,-0.106,0.152,-0.029
OliverWyman-Navigator,,,,,,,,,,,,,-0.022,-0.042,0.078,-0.054
Covid19Sim-Simulator,,,,,-0.534,-0.608,-0.632,-0.353,-0.377,-0.238,-0.170,-0.256,-0.236,-0.343,-0.263,
LNQ-ens1,,,,,,,,,,,,,0.012,-0.037,0.188,0.066
COVIDhub-ensemble,,,,,,,,,,,,,-0.152,-0.091,0.020,-0.083
PSI-DRAFT,,,,,,,,,,,-0.493,-0.391,-0.059,0.240,0.557,-0.104
USACE-ERDC_SEIR,,,,-0.611,-0.638,-0.632,-0.634,-0.397,-0.294,-0.148,-0.109,-0.031,0.888,0.246,0.317,0.287
GT-DeepCOVID,,,,,,,,,,,,,-0.152,-0.099,0.026,0.105
IHME-CurveFit,,-0.324,-0.336,,,,-0.261,-0.189,-0.309,-0.358,-0.335,,-0.101,-0.162,-0.184,-0.260
UMass-MechBayes,,,,,,,,,,,,,-0.077,-0.169,-0.069,-0.091
COVIDhub-baseline,,,,,,,,,,,,,-0.258,-0.149,0.119,0.033
USC-SI_kJalpha,,,,,,,,,,0.171,0.863,0.739,-0.103,-0.296,0.200,0.050
MOBS-GLEAM_COVID,,,,,,,,,,,,,0.251,0.012,0.350,-0.074
UA-EpiCovDA,,,,,,,,,,,,,-0.222,-0.008,-0.679,-0.096
CU-select,,,,,,,,,,,,,-0.363,0.159,0.123,-0.082
RobertWalraven-ESG,,,,,,,,,,,,,-0.168,-0.405,-0.348,-0.042
epiforecasts-ensemble1,,,,,,,,,,,,-0.367,-0.341,0.022,-0.440,-0.768
JCB-PRM,,,,,,,,,,,,,,0.065,0.127,0.134
STH-3PU,,,,,,,,-0.423,-0.663,-0.732,-0.756,-0.806,-0.336,0.150,0.707,0.077
Auquan-SEIR,,,,,,,,,,,-0.588,,,,-0.027,0.189
LANL-GrowthRate,,,,,,,,,,-0.386,-0.610,-0.464,-0.436,-0.409,-0.297,-0.232
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,0.177,0.052
NotreDame-mobility,,,,,,,,,,,-0.642,-0.446,-0.354,-0.385,-0.605,-0.251
CEID-Walk,,,,,,,,,,,,,,,,0.017
MITCovAlliance-SIR,,,,,,,,,,,-0.524,-0.604,-0.634,-0.714,-0.640,
UMich-RidgeTfReg,,,,,,,,,,,,,-0.540,-0.350,-0.301,-0.272
Karlen-pypm,,,,,,,,,,,,,,-0.293,-0.497,0.236
DDS-NBDS,,,,,,,,,,,,,,0.636,0.244,0.373
UT-Mobility,,,,,,,,,,,,,0.351,0.498,0.660,
Geneva-DetGrowth,,,,,,,,,,,,,,,,0.187
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,-0.449,-0.505,-0.766
SWC-TerminusCM,,,,,,,,,,-0.602,,,,,,
