,mean_abs_error_2020-09-21_2021-02-13,mean_abs_error_2020-09-28_2021-02-13,mean_abs_error_2020-10-05_2021-02-13,mean_abs_error_2020-10-12_2021-02-13,mean_abs_error_2020-10-19_2021-02-13,mean_abs_error_2020-10-26_2021-02-13,mean_abs_error_2020-11-02_2021-02-13,mean_abs_error_2020-11-09_2021-02-13,mean_abs_error_2020-11-16_2021-02-13,mean_abs_error_2020-11-23_2021-02-13,mean_abs_error_2020-11-30_2021-02-13,mean_abs_error_2020-12-07_2021-02-13,mean_abs_error_2020-12-14_2021-02-13,mean_abs_error_2020-12-21_2021-02-13,mean_abs_error_2020-12-28_2021-02-13,mean_abs_error_2021-01-04_2021-02-13,mean_abs_error_2021-01-11_2021-02-13,mean_abs_error_2021-01-18_2021-02-13,mean_abs_error_2021-01-25_2021-02-13,mean_abs_error_2021-02-01_2021-02-13,mean_abs_error_2021-02-08_2021-02-13,mean_sq_abs_error_2020-09-21_2021-02-13,mean_sq_abs_error_2020-09-28_2021-02-13,mean_sq_abs_error_2020-10-05_2021-02-13,mean_sq_abs_error_2020-10-12_2021-02-13,mean_sq_abs_error_2020-10-19_2021-02-13,mean_sq_abs_error_2020-10-26_2021-02-13,mean_sq_abs_error_2020-11-02_2021-02-13,mean_sq_abs_error_2020-11-09_2021-02-13,mean_sq_abs_error_2020-11-16_2021-02-13,mean_sq_abs_error_2020-11-23_2021-02-13,mean_sq_abs_error_2020-11-30_2021-02-13,mean_sq_abs_error_2020-12-07_2021-02-13,mean_sq_abs_error_2020-12-14_2021-02-13,mean_sq_abs_error_2020-12-21_2021-02-13,mean_sq_abs_error_2020-12-28_2021-02-13,mean_sq_abs_error_2021-01-04_2021-02-13,mean_sq_abs_error_2021-01-11_2021-02-13,mean_sq_abs_error_2021-01-18_2021-02-13,mean_sq_abs_error_2021-01-25_2021-02-13,mean_sq_abs_error_2021-02-01_2021-02-13,mean_sq_abs_error_2021-02-08_2021-02-13
Baseline,3484.7,3456.1,3577.1,3537.1,3581.9,3363.8,3304.1,3080.8,2752.5,2200.6,2200.5,1626.2,1508.0,1107.5,995.1,769.1,444.6,264.3,177.5,129.6,68.7,26855616.2,27963031.0,29194953.2,30397622.2,31906772.3,30273219.2,30579564.2,27017999.1,24302768.5,17700549.0,18770546.3,10963148.4,8467600.6,4292359.9,4508751.0,2056457.1,497279.6,178758.1,91035.0,51810.6,35693.0
COVIDhub-baseline,,,,,,,,,,,,,,1134.1,964.9,796.1,483.2,293.1,194.4,147.9,109.8,,,,,,,,,,,,,,4355913.3,4151402.6,2092769.0,585354.5,237193.5,103887.3,75556.1,55894.5
COVIDhub-ensemble,,,,,,,,,,,,,,,,,,290.5,165.6,89.0,44.9,,,,,,,,,,,,,,,,,,190043.9,77901.9,20195.3,4515.6
Karlen-pypm,,,,,,,,,,,,,,,,,372.1,287.7,243.0,125.6,65.9,,,,,,,,,,,,,,,,,388251.3,204148.6,200140.8,48052.4,13297.7
UCLA-SuEIR,,,,,,,,3577.6,3473.2,2092.6,2219.6,1585.0,1463.0,1169.4,1296.4,839.8,523.1,338.2,303.2,132.3,63.8,,,,,,,,33221771.2,32482149.9,17630049.5,18939681.3,10855254.2,9512617.2,5853525.8,7680271.4,3106535.0,898101.1,391491.5,319018.9,38689.2,11677.2
Wadhwani_AI-BayesOpt,,,,,,,,,,,,,,,,803.6,,,,,,,,,,,,,,,,,,,,,2832338.6,,,,,
LANL-GrowthRate,,,,,,,,,,,,,,,,795.6,674.5,542.4,250.2,143.4,51.1,,,,,,,,,,,,,,,,2336837.3,1279618.9,1184861.9,212363.5,49155.8,6808.1
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,306.4,177.0,122.2,53.7,,,,,,,,,,,,,,,,,,241193.8,81488.9,45104.6,10365.8
RobertWalraven-ESG,,,,,,,,,,,,,,,,,,341.0,190.6,96.7,49.9,,,,,,,,,,,,,,,,,,401773.1,113649.2,26149.3,6854.9
OliverWyman-Navigator,,,,,,,,,,,,,,,,,,370.4,201.8,86.7,47.1,,,,,,,,,,,,,,,,,,350532.8,120805.2,27643.4,6214.0
