,mean_abs_error_2020-06-29_2020-11-14,mean_abs_error_2020-07-06_2020-11-14,mean_abs_error_2020-07-13_2020-11-14,mean_abs_error_2020-07-20_2020-11-14,mean_abs_error_2020-07-27_2020-11-14,mean_abs_error_2020-08-03_2020-11-14,mean_abs_error_2020-08-10_2020-11-14,mean_abs_error_2020-08-17_2020-11-14,mean_abs_error_2020-08-24_2020-11-14,mean_abs_error_2020-08-31_2020-11-14,mean_abs_error_2020-09-07_2020-11-14,mean_abs_error_2020-09-14_2020-11-14,mean_abs_error_2020-09-21_2020-11-14,mean_abs_error_2020-09-28_2020-11-14,mean_abs_error_2020-10-05_2020-11-14,mean_abs_error_2020-10-12_2020-11-14,mean_abs_error_2020-10-19_2020-11-14,mean_abs_error_2020-10-26_2020-11-14,mean_abs_error_2020-11-02_2020-11-14,mean_abs_error_2020-11-09_2020-11-14,mean_sq_abs_error_2020-06-29_2020-11-14,mean_sq_abs_error_2020-07-06_2020-11-14,mean_sq_abs_error_2020-07-13_2020-11-14,mean_sq_abs_error_2020-07-20_2020-11-14,mean_sq_abs_error_2020-07-27_2020-11-14,mean_sq_abs_error_2020-08-03_2020-11-14,mean_sq_abs_error_2020-08-10_2020-11-14,mean_sq_abs_error_2020-08-17_2020-11-14,mean_sq_abs_error_2020-08-24_2020-11-14,mean_sq_abs_error_2020-08-31_2020-11-14,mean_sq_abs_error_2020-09-07_2020-11-14,mean_sq_abs_error_2020-09-14_2020-11-14,mean_sq_abs_error_2020-09-21_2020-11-14,mean_sq_abs_error_2020-09-28_2020-11-14,mean_sq_abs_error_2020-10-05_2020-11-14,mean_sq_abs_error_2020-10-12_2020-11-14,mean_sq_abs_error_2020-10-19_2020-11-14,mean_sq_abs_error_2020-10-26_2020-11-14,mean_sq_abs_error_2020-11-02_2020-11-14,mean_sq_abs_error_2020-11-09_2020-11-14
USC-SI_kJalpha,,,,,,,,,,,,,337.3,279.2,207.3,179.8,145.8,101.9,82.3,32.6,,,,,,,,,,,,,243044.6,172244.5,104745.6,79914.5,80581.1,44942.4,21910.7,2776.0
Karlen-pypm,,,,,,,,,,,,,,,,188.8,140.9,109.5,76.4,28.6,,,,,,,,,,,,,,,,82728.2,49650.5,56609.4,18869.6,2555.1
JHUAPL-Bucky,,,,,,,,,,,,,,,202.5,181.4,155.4,117.9,98.7,53.9,,,,,,,,,,,,,,,101448.5,85964.1,70550.3,53097.3,28051.3,5976.3
JCB-PRM,,,,,,,,,,,,,323.4,247.5,227.4,197.4,182.5,125.3,94.6,42.4,,,,,,,,,,,,,224355.0,136049.6,118100.2,94142.8,94814.9,59992.4,30386.2,5225.2
UMass-MechBayes,,,,,,,,,,,,,,,,,112.8,93.9,71.2,34.0,,,,,,,,,,,,,,,,,31183.0,23587.6,17011.6,3267.1
OliverWyman-Navigator,,,,,,,,,,,,,,,,,145.2,94.9,84.2,30.2,,,,,,,,,,,,,,,,,96753.0,27332.1,23361.4,2398.4
COVIDhub-baseline,,,,,,,,,,,,,,,239.5,203.4,203.1,131.5,96.9,41.2,,,,,,,,,,,,,,,129085.8,102487.1,112155.3,43807.8,32384.7,4242.0
LNQ-ens1,,,,,,,,,,,,,,,,,165.3,105.4,77.8,33.0,,,,,,,,,,,,,,,,,65800.5,31521.4,20317.8,3008.2
Baseline,2033.2,1258.3,911.1,722.8,731.0,1040.1,922.8,849.5,685.9,569.1,477.6,380.7,365.4,306.6,249.7,225.1,195.2,131.5,94.8,43.3,36136800.0,6137819.4,2448177.2,1350642.6,1458248.4,6587270.3,4307517.9,3051444.1,1998618.1,880896.5,693063.6,343676.6,304897.9,232401.1,134459.1,129822.3,90216.5,44304.2,30661.3,4701.9
MSRA-DeepST,,,,,,,,,,,,,,,,,157.3,105.6,81.5,36.6,,,,,,,,,,,,,,,,,64740.7,33452.4,21242.9,4052.7
