,mean_abs_error_2020-04-27_2020-08-15,mean_abs_error_2020-05-04_2020-08-15,mean_abs_error_2020-05-11_2020-08-15,mean_abs_error_2020-05-18_2020-08-15,mean_abs_error_2020-05-25_2020-08-15,mean_abs_error_2020-06-01_2020-08-15,mean_abs_error_2020-06-08_2020-08-15,mean_abs_error_2020-06-15_2020-08-15,mean_abs_error_2020-06-22_2020-08-15,mean_abs_error_2020-06-29_2020-08-15,mean_abs_error_2020-07-06_2020-08-15,mean_abs_error_2020-07-13_2020-08-15,mean_abs_error_2020-07-20_2020-08-15,mean_abs_error_2020-07-27_2020-08-15,mean_abs_error_2020-08-03_2020-08-15,mean_abs_error_2020-08-10_2020-08-15,mean_sq_abs_error_2020-04-27_2020-08-15,mean_sq_abs_error_2020-05-04_2020-08-15,mean_sq_abs_error_2020-05-11_2020-08-15,mean_sq_abs_error_2020-05-18_2020-08-15,mean_sq_abs_error_2020-05-25_2020-08-15,mean_sq_abs_error_2020-06-01_2020-08-15,mean_sq_abs_error_2020-06-08_2020-08-15,mean_sq_abs_error_2020-06-15_2020-08-15,mean_sq_abs_error_2020-06-22_2020-08-15,mean_sq_abs_error_2020-06-29_2020-08-15,mean_sq_abs_error_2020-07-06_2020-08-15,mean_sq_abs_error_2020-07-13_2020-08-15,mean_sq_abs_error_2020-07-20_2020-08-15,mean_sq_abs_error_2020-07-27_2020-08-15,mean_sq_abs_error_2020-08-03_2020-08-15,mean_sq_abs_error_2020-08-10_2020-08-15
YYG-ParamSearch,,,,,,,622.4,495.9,399.0,345.1,315.1,161.3,140.4,104.3,42.7,18.6,,,,,,,1342917.8,1272799.3,986122.6,855322.4,786904.0,234356.5,132382.5,60990.5,5888.5,1754.6
Covid19Sim-Simulator,,,,,769.5,760.2,699.7,462.8,395.7,345.9,288.1,154.2,137.9,124.2,100.3,,,,,,2654794.5,2590827.8,2332422.1,1311114.8,978987.9,627941.7,516663.3,142344.9,123461.0,105866.9,60033.9,
UCLA-SuEIR,,,1009.8,751.9,720.6,642.0,654.5,576.7,528.4,505.5,409.5,259.1,200.0,108.4,59.0,20.1,,,4129306.3,2659739.5,2378626.2,1883988.3,2124886.3,2035048.7,1670771.4,1324570.4,1170687.2,413890.6,269579.1,76060.1,29516.9,2010.3
Baseline,2853.4,2464.3,2105.0,1686.3,1283.5,1021.2,915.8,707.6,570.7,735.2,447.5,299.7,202.5,117.0,40.5,22.4,62441966.2,34554193.1,21195254.5,12221366.9,5367220.6,3245800.9,2761868.4,2036382.8,1541877.7,4680395.7,1217812.3,519789.4,220921.3,77199.7,10714.2,2841.4
CovidAnalytics-DELPHI,,,,,,,,,,,331.9,217.6,149.7,114.3,80.5,37.3,,,,,,,,,,,506291.1,270717.5,136692.2,82652.7,37288.8,8120.3
USC-SI_kJalpha,,,,,,,,,,555.2,496.3,364.4,180.0,132.4,38.4,19.8,,,,,,,,,,4105632.3,1071147.6,412735.1,109856.9,129037.5,3106.3,1357.6
COVIDhub-ensemble,,,,,,,,,,,,,116.3,92.8,41.4,20.9,,,,,,,,,,,,,64421.6,56809.0,6835.0,2326.1
IowaStateLW-STEM,1228.2,1284.8,,1007.8,868.1,849.8,736.7,603.1,524.1,549.2,397.9,306.4,207.1,122.8,73.3,,4533017.0,4343714.8,,3647187.3,2876599.8,3088949.5,2524372.7,1733806.3,1350505.7,1848248.8,884810.3,490023.1,140653.1,61060.8,15525.3,
LNQ-ens1,,,,,,,,,,,,,124.8,101.8,27.2,26.6,,,,,,,,,,,,,86689.9,56088.5,1747.3,3700.8
OliverWyman-Navigator,,,,,,,,,,,,,134.4,92.7,38.8,25.4,,,,,,,,,,,,,61752.9,34547.3,5873.2,2757.3
