,mean_abs_error_2020-04-20_2020-08-01,mean_abs_error_2020-04-27_2020-08-08,mean_abs_error_2020-05-04_2020-08-15,mean_abs_error_2020-05-11_2020-08-22,mean_abs_error_2020-05-18_2020-08-29,mean_abs_error_2020-05-25_2020-09-05,mean_abs_error_2020-06-01_2020-09-12,mean_abs_error_2020-06-08_2020-09-19,mean_abs_error_2020-06-15_2020-09-26,mean_abs_error_2020-06-22_2020-10-03,mean_abs_error_2020-06-29_2020-10-10,mean_abs_error_2020-07-06_2020-10-17,mean_abs_error_2020-07-13_2020-10-24,mean_abs_error_2020-07-20_2020-10-31,mean_abs_error_2020-07-27_2020-11-07,mean_abs_error_2020-08-03_2020-11-14,mean_abs_error_2020-08-10_2020-11-21,mean_abs_error_2020-08-17_2020-11-28,mean_abs_error_2020-08-24_2020-12-05,mean_abs_error_2020-08-31_2020-12-12,mean_abs_error_2020-09-07_2020-12-19,mean_abs_error_2020-09-14_2020-12-26,mean_abs_error_2020-09-21_2021-01-02,mean_abs_error_2020-09-28_2021-01-09,mean_abs_error_2020-10-05_2021-01-16,mean_abs_error_2020-10-12_2021-01-23,mean_abs_error_2020-10-19_2021-01-30,mean_abs_error_2020-10-26_2021-02-06,mean_abs_error_2020-11-02_2021-02-13,mean_abs_error_2020-11-09_2021-02-20,mean_abs_error_2020-11-16_2021-02-27,mean_abs_error_2020-11-23_2021-03-06,mean_sq_abs_error_2020-04-20_2020-08-01,mean_sq_abs_error_2020-04-27_2020-08-08,mean_sq_abs_error_2020-05-04_2020-08-15,mean_sq_abs_error_2020-05-11_2020-08-22,mean_sq_abs_error_2020-05-18_2020-08-29,mean_sq_abs_error_2020-05-25_2020-09-05,mean_sq_abs_error_2020-06-01_2020-09-12,mean_sq_abs_error_2020-06-08_2020-09-19,mean_sq_abs_error_2020-06-15_2020-09-26,mean_sq_abs_error_2020-06-22_2020-10-03,mean_sq_abs_error_2020-06-29_2020-10-10,mean_sq_abs_error_2020-07-06_2020-10-17,mean_sq_abs_error_2020-07-13_2020-10-24,mean_sq_abs_error_2020-07-20_2020-10-31,mean_sq_abs_error_2020-07-27_2020-11-07,mean_sq_abs_error_2020-08-03_2020-11-14,mean_sq_abs_error_2020-08-10_2020-11-21,mean_sq_abs_error_2020-08-17_2020-11-28,mean_sq_abs_error_2020-08-24_2020-12-05,mean_sq_abs_error_2020-08-31_2020-12-12,mean_sq_abs_error_2020-09-07_2020-12-19,mean_sq_abs_error_2020-09-14_2020-12-26,mean_sq_abs_error_2020-09-21_2021-01-02,mean_sq_abs_error_2020-09-28_2021-01-09,mean_sq_abs_error_2020-10-05_2021-01-16,mean_sq_abs_error_2020-10-12_2021-01-23,mean_sq_abs_error_2020-10-19_2021-01-30,mean_sq_abs_error_2020-10-26_2021-02-06,mean_sq_abs_error_2020-11-02_2021-02-13,mean_sq_abs_error_2020-11-09_2021-02-20,mean_sq_abs_error_2020-11-16_2021-02-27,mean_sq_abs_error_2020-11-23_2021-03-06
Baseline,2644.3,2605.2,2483.0,2340.2,2079.7,1753.3,1534.1,1512.0,1271.9,1093.5,1537.1,973.4,730.4,569.7,627.2,1040.1,1078.3,1166.2,1170.2,1198.8,1306.0,1455.7,1668.7,1985.7,2346.8,2656.7,3009.6,3126.5,3304.1,3219.1,3003.9,2568.6,88711705.9,53043045.0,34676702.5,25516911.3,17878288.5,9849008.3,7323066.7,7276238.6,6144672.2,5032862.8,21302728.1,4661625.1,1985756.2,930015.5,1140406.8,6587270.3,5119640.9,4530781.1,3710220.8,2910899.2,3660813.7,4621140.1,5926598.3,8521799.4,11730712.3,16224696.1,21846968.3,25492731.0,30579564.2,30209605.7,31147154.6,25735925.9
IowaStateLW-STEM,,1096.1,1278.4,,1262.7,1228.7,1350.3,1259.4,1075.1,1033.1,1122.6,886.7,859.9,696.6,842.2,881.1,,1066.0,1227.2,1175.3,1342.2,1398.7,1669.3,2442.4,2777.9,3070.8,3437.7,3489.5,3445.7,3343.3,3160.2,2364.0,,3518352.2,4345229.5,,5913070.2,6010522.9,8082986.8,7040527.1,5314134.4,4407885.3,6292166.2,3253722.8,2799573.5,1053440.2,2318393.5,3069643.3,,3028787.2,3585638.6,2926055.7,3964201.9,4319348.2,6489671.3,11946257.5,16106900.0,20771446.1,27124297.6,30311035.7,32231086.1,32923168.1,34298388.5,24376832.1
Covid19Sim-Simulator,,,,,,1021.5,1074.2,1081.8,866.6,818.1,1174.6,1164.1,1019.9,790.8,693.2,563.5,,,1389.3,1167.5,1444.9,1784.6,2098.7,2269.6,2157.4,2472.1,3046.6,2329.8,2187.7,2453.2,,2423.4,,,,,,4994031.2,5426978.1,5531444.0,3984714.0,3138819.1,14716333.5,14896945.7,7691193.1,3194665.1,2355556.4,760764.9,,,4174637.1,2876870.3,4553466.0,7033586.9,9757539.3,11240596.8,10845548.5,13903506.7,23114427.9,17504565.7,18535818.2,19861988.1,,18803132.9
IHME-CurveFit,1721.3,,961.2,,,,,1101.8,808.7,607.3,725.3,704.3,,721.8,667.1,715.6,1008.1,,1433.1,1418.9,1491.4,,1479.5,1441.1,,,1482.8,1599.1,,,,1514.1,7995846.2,,3252627.8,,,,,4446628.8,3042508.3,1148188.7,2029046.1,1589117.2,,1183238.8,836300.3,1606969.9,3485377.6,,12137194.8,11687899.8,10916738.0,,9349739.8,9322555.4,,,4900559.2,7251690.8,,,,7974768.5
YYG-ParamSearch,,,,,,,,,869.9,,,,478.2,498.9,,,,,,,,,,,,,,,,,,,,,,,,,,,3772290.4,,,,693837.0,721995.3,,,,,,,,,,,,,,,,,,
