,mean_abs_error_2020-04-27_2020-08-22,mean_abs_error_2020-05-04_2020-08-29,mean_abs_error_2020-05-11_2020-09-05,mean_abs_error_2020-05-18_2020-09-12,mean_abs_error_2020-05-25_2020-09-19,mean_abs_error_2020-06-01_2020-09-26,mean_abs_error_2020-06-08_2020-10-03,mean_abs_error_2020-06-15_2020-10-10,mean_abs_error_2020-06-22_2020-10-17,mean_abs_error_2020-06-29_2020-10-24,mean_abs_error_2020-07-06_2020-10-31,mean_abs_error_2020-07-13_2020-11-07,mean_abs_error_2020-07-20_2020-11-14,mean_abs_error_2020-07-27_2020-11-21,mean_abs_error_2020-08-03_2020-11-28,mean_abs_error_2020-08-10_2020-12-05,mean_abs_error_2020-08-17_2020-12-12,mean_abs_error_2020-08-24_2020-12-19,mean_abs_error_2020-08-31_2020-12-26,mean_abs_error_2020-09-07_2021-01-02,mean_abs_error_2020-09-14_2021-01-09,mean_abs_error_2020-09-21_2021-01-16,mean_abs_error_2020-09-28_2021-01-23,mean_abs_error_2020-10-05_2021-01-30,mean_abs_error_2020-10-12_2021-02-06,mean_abs_error_2020-10-19_2021-02-13,mean_abs_error_2020-10-26_2021-02-20,mean_abs_error_2020-11-02_2021-02-27,mean_abs_error_2020-11-09_2021-03-06,mean_sq_abs_error_2020-04-27_2020-08-22,mean_sq_abs_error_2020-05-04_2020-08-29,mean_sq_abs_error_2020-05-11_2020-09-05,mean_sq_abs_error_2020-05-18_2020-09-12,mean_sq_abs_error_2020-05-25_2020-09-19,mean_sq_abs_error_2020-06-01_2020-09-26,mean_sq_abs_error_2020-06-08_2020-10-03,mean_sq_abs_error_2020-06-15_2020-10-10,mean_sq_abs_error_2020-06-22_2020-10-17,mean_sq_abs_error_2020-06-29_2020-10-24,mean_sq_abs_error_2020-07-06_2020-10-31,mean_sq_abs_error_2020-07-13_2020-11-07,mean_sq_abs_error_2020-07-20_2020-11-14,mean_sq_abs_error_2020-07-27_2020-11-21,mean_sq_abs_error_2020-08-03_2020-11-28,mean_sq_abs_error_2020-08-10_2020-12-05,mean_sq_abs_error_2020-08-17_2020-12-12,mean_sq_abs_error_2020-08-24_2020-12-19,mean_sq_abs_error_2020-08-31_2020-12-26,mean_sq_abs_error_2020-09-07_2021-01-02,mean_sq_abs_error_2020-09-14_2021-01-09,mean_sq_abs_error_2020-09-21_2021-01-16,mean_sq_abs_error_2020-09-28_2021-01-23,mean_sq_abs_error_2020-10-05_2021-01-30,mean_sq_abs_error_2020-10-12_2021-02-06,mean_sq_abs_error_2020-10-19_2021-02-13,mean_sq_abs_error_2020-10-26_2021-02-20,mean_sq_abs_error_2020-11-02_2021-02-27,mean_sq_abs_error_2020-11-09_2021-03-06
Baseline,3143.0,2944.1,2749.8,2418.2,2020.8,1737.9,1699.6,1411.5,1194.2,1714.1,1088.7,840.3,722.8,857.4,1343.1,1435.9,1589.0,1586.6,1541.3,1644.8,2044.9,2330.2,2617.4,3009.1,3290.2,3581.9,3512.7,3618.6,3493.2,72947902.2,47828244.5,34720073.8,24052722.3,13079825.0,9377660.6,9060651.1,7413644.0,5857143.4,26756249.0,5209009.4,2268222.5,1350642.6,1867459.9,8971733.4,7103295.5,6492363.3,5593141.2,4965635.3,6074689.3,8582024.9,11236070.8,15205161.9,20050983.5,25854185.5,31906772.3,33643026.3,38500391.7,38036271.1
IowaStateLW-STEM,1339.1,1526.8,,1483.9,1432.3,1578.4,1439.8,1203.9,1158.3,1264.0,1006.0,1019.6,886.3,1101.2,1194.1,,1488.2,1655.5,1643.1,1878.5,2027.9,2398.0,3225.8,3524.6,3799.5,4081.4,3945.6,3795.8,3664.0,5684717.2,6185845.6,,8050307.7,8278136.5,11034688.7,8787410.5,6292974.4,5116888.7,7174421.1,3708186.1,3604140.7,1658239.6,3403331.5,4437406.7,,5080027.0,5811642.7,5657720.1,7283054.5,8644753.7,13073325.1,21802806.9,27332471.7,33285883.6,39843479.7,40465530.7,41078523.0,41669584.6
Covid19Sim-Simulator,,,,,1153.8,1205.4,1196.3,974.6,929.0,1710.3,1607.2,1305.4,976.7,870.8,798.8,,,2022.9,1759.9,1978.1,2483.9,2922.2,3055.7,2895.3,3091.0,3642.0,2568.4,2433.9,2904.0,,,,,6291290.0,6629314.3,6549179.4,4683980.8,3643659.3,31059509.5,26964521.9,12707667.7,4403163.5,3205620.4,1460301.3,,,8112569.0,6219941.1,8876494.9,13967743.1,19418006.8,21130284.6,19516974.2,22629818.5,34672492.5,22526661.2,23280375.0,26756697.8
IHME-CurveFit,,,,,,,1378.2,1046.1,833.6,863.0,763.2,,939.1,881.5,909.4,1284.6,,1661.0,1552.4,1617.6,,1539.8,1421.1,,,1684.9,1696.0,,,,,,,,,6100810.7,4725271.0,2676418.9,2163931.8,1511929.1,,2174312.1,1608857.9,2049421.6,6468354.4,,15255235.7,15724726.6,14178781.0,,9929490.6,10025633.6,,,6217136.2,7939936.1,,
