,mean_abs_error_2020-07-06_2020-11-21,mean_abs_error_2020-07-13_2020-11-21,mean_abs_error_2020-07-20_2020-11-21,mean_abs_error_2020-07-27_2020-11-21,mean_abs_error_2020-08-03_2020-11-21,mean_abs_error_2020-08-10_2020-11-21,mean_abs_error_2020-08-17_2020-11-21,mean_abs_error_2020-08-24_2020-11-21,mean_abs_error_2020-08-31_2020-11-21,mean_abs_error_2020-09-07_2020-11-21,mean_abs_error_2020-09-14_2020-11-21,mean_abs_error_2020-09-21_2020-11-21,mean_abs_error_2020-09-28_2020-11-21,mean_abs_error_2020-10-05_2020-11-21,mean_abs_error_2020-10-12_2020-11-21,mean_abs_error_2020-10-19_2020-11-21,mean_abs_error_2020-10-26_2020-11-21,mean_abs_error_2020-11-02_2020-11-21,mean_abs_error_2020-11-09_2020-11-21,mean_abs_error_2020-11-16_2020-11-21,mean_sq_abs_error_2020-07-06_2020-11-21,mean_sq_abs_error_2020-07-13_2020-11-21,mean_sq_abs_error_2020-07-20_2020-11-21,mean_sq_abs_error_2020-07-27_2020-11-21,mean_sq_abs_error_2020-08-03_2020-11-21,mean_sq_abs_error_2020-08-10_2020-11-21,mean_sq_abs_error_2020-08-17_2020-11-21,mean_sq_abs_error_2020-08-24_2020-11-21,mean_sq_abs_error_2020-08-31_2020-11-21,mean_sq_abs_error_2020-09-07_2020-11-21,mean_sq_abs_error_2020-09-14_2020-11-21,mean_sq_abs_error_2020-09-21_2020-11-21,mean_sq_abs_error_2020-09-28_2020-11-21,mean_sq_abs_error_2020-10-05_2020-11-21,mean_sq_abs_error_2020-10-12_2020-11-21,mean_sq_abs_error_2020-10-19_2020-11-21,mean_sq_abs_error_2020-10-26_2020-11-21,mean_sq_abs_error_2020-11-02_2020-11-21,mean_sq_abs_error_2020-11-09_2020-11-21,mean_sq_abs_error_2020-11-16_2020-11-21
USC-SI_kJalpha,,,,,,,,,,,,,415.6,311.5,279.6,231.7,171.4,144.0,73.8,48.5,,,,,,,,,,,,,374747.3,223400.8,183393.4,171735.3,99883.0,58078.4,13645.8,6639.6
Karlen-pypm,,,,,,,,,,,,,,,,205.2,159.9,118.8,56.2,39.5,,,,,,,,,,,,,,,,100671.2,121922.6,40971.1,10646.8,4088.7
Covid19Sim-Simulator,2374.6,1627.2,1090.6,870.8,676.9,,,961.6,540.0,535.0,522.2,514.6,399.6,348.7,303.3,297.0,190.0,138.6,109.2,,52677293.0,18700286.3,5016317.8,3205620.4,1059329.2,,,2310792.7,665218.1,666540.3,636997.9,584361.5,373183.2,293707.3,233539.3,216567.3,118091.5,83750.2,34406.5,
JCB-PRM,,,,,,,,,,,,,364.0,329.4,296.5,288.4,210.0,167.1,100.3,51.5,,,,,,,,,,,,,307353.1,248695.7,199199.2,210407.7,138662.0,85242.9,28447.9,7596.1
JHUAPL-Bucky,,,,,,,,,,,,,,,286.5,235.5,158.2,166.7,100.1,72.4,,,,,,,,,,,,,,,205973.9,160381.2,87845.8,66928.4,24402.1,14409.6
BPagano-RtDriven,,,,,,,,,,,,,,366.0,385.4,307.0,219.7,166.5,83.4,45.3,,,,,,,,,,,,,,248996.7,322548.6,330286.9,120862.8,66816.0,15462.7,6440.0
UMass-MechBayes,,,,,,,,,,,,,,,,,160.5,124.5,71.7,44.0,,,,,,,,,,,,,,,,,58308.0,42455.7,14275.9,5735.2
OliverWyman-Navigator,,,,,,,,,,,,,,,,,155.9,155.7,76.4,45.0,,,,,,,,,,,,,,,,,66409.7,72071.0,14885.4,6164.0
LNQ-ens1,,,,,,,,,,,,,,,,,186.0,136.8,75.9,45.5,,,,,,,,,,,,,,,,,87700.6,57282.9,15721.2,5564.3
CU-select,,,,,,,,,,,,,,,,,160.2,130.7,90.3,49.5,,,,,,,,,,,,,,,,,52917.5,37421.7,25145.5,6726.8
Columbia_UNC-SurvCon,,,,,,,,,,,,,1957.2,633.0,386.2,326.2,261.5,159.0,77.6,54.7,,,,,,,,,,,,,60915022.4,1462176.5,310551.7,264656.0,281612.1,76968.0,17410.7,11032.6
Google_Harvard-CPF,,,,,,,,,,,,,,,,,175.0,133.2,85.5,57.7,,,,,,,,,,,,,,,,,81784.6,52183.7,21509.8,9821.9
COVIDhub-baseline,,,,,,,,,,,,,,352.2,309.9,318.0,229.8,189.1,117.6,65.9,,,,,,,,,,,,,,273047.5,236754.0,258098.4,127873.3,110799.4,35521.7,10771.7
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,208.0,150.2,91.5,52.1,,,,,,,,,,,,,,,,,123724.6,61032.7,24306.2,8141.0
COVIDhub-ensemble,,,,,,,,,,,,,,,,,203.8,152.8,91.5,53.5,,,,,,,,,,,,,,,,,105906.9,70888.3,25572.5,7727.8
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,167.9,175.9,88.7,54.4,,,,,,,,,,,,,,,,,71707.1,89754.3,24326.9,8301.6
Baseline,1382.7,996.8,851.0,857.4,1179.9,1078.3,1003.9,827.6,695.9,604.7,503.6,481.3,420.5,372.1,343.1,312.9,232.9,186.5,120.7,69.6,6869352.4,2711826.7,1710320.5,1867459.9,7685420.1,5119640.9,3723806.8,2452478.7,1170241.4,953870.5,555848.3,505561.9,431158.1,287786.3,285024.7,227888.2,131214.4,104596.3,36889.6,11617.2
MSRA-DeepST,,,,,,,,,,,,,,,,,200.9,149.5,92.9,54.5,,,,,,,,,,,,,,,,,105672.5,66055.7,27620.6,8021.2
IowaStateLW-STEM,1315.8,1231.3,1042.9,1101.2,1037.7,,917.3,879.7,642.1,586.9,391.8,409.9,472.9,430.2,377.2,349.2,256.3,180.3,116.6,65.6,5105060.7,4568195.4,2151850.5,3403331.5,3669949.1,,2413990.4,2313591.8,938775.2,683187.1,383050.4,371608.3,456433.5,391185.0,305815.5,254077.0,149611.6,83896.7,44167.7,13825.1
