,perc_error_2020-09-21_2021-02-20,perc_error_2020-09-28_2021-02-20,perc_error_2020-10-05_2021-02-20,perc_error_2020-10-12_2021-02-20,perc_error_2020-10-19_2021-02-20,perc_error_2020-10-26_2021-02-20,perc_error_2020-11-02_2021-02-20,perc_error_2020-11-09_2021-02-20,perc_error_2020-11-16_2021-02-20,perc_error_2020-11-23_2021-02-20,perc_error_2020-11-30_2021-02-20,perc_error_2020-12-07_2021-02-20,perc_error_2020-12-14_2021-02-20,perc_error_2020-12-21_2021-02-20,perc_error_2020-12-28_2021-02-20,perc_error_2021-01-04_2021-02-20,perc_error_2021-01-11_2021-02-20,perc_error_2021-01-18_2021-02-20,perc_error_2021-01-25_2021-02-20,perc_error_2021-02-01_2021-02-20,perc_error_2021-02-08_2021-02-20,perc_error_2021-02-15_2021-02-20
JHU_IDD-CovidSP,,,,,,,,,,,,,,,,,0.075,0.124,0.038,-0.034,-0.123,-0.356
Karlen-pypm,,,,,,,,,,,,,,,,,,0.102,-0.019,-0.051,0.022,0.138
QJHong-Encounter,,,,,,,,,,,,,,-0.020,0.017,0.035,0.031,0.125,0.036,0.089,0.203,0.390
LANL-GrowthRate,,,,,,,,,,,,,,,,,0.409,0.390,0.028,-0.046,0.084,0.141
CovidAnalytics-DELPHI,,,,,,,,,,,,,,,,,-0.032,0.290,0.198,0.065,0.124,0.398
SigSci-TS,,,,,,,,,,,,,,,,,,,0.034,0.013,0.069,0.215
TTU-squider,,,,,,,,,,,,,,,,,,,-0.035,-0.027,-0.020,-0.312
JHUAPL-Bucky,,,,,,,,,,,,,,,-0.427,-0.435,-0.297,,-0.110,0.090,0.050,-0.013
UMass-MechBayes,,,,,,,,,,,,,,,,,,,-0.117,-0.006,0.077,0.159
IHME-CurveFit,,,,,-0.251,-0.272,,,,-0.176,,-0.059,-0.222,0.080,0.108,,,0.132,0.102,-0.043,-0.151,-0.497
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,,,-0.058,-0.049,0.004,
Columbia_UNC-SurvCon,,,,,,,,,,,,,,,0.041,-0.204,0.127,0.300,0.119,0.075,0.155,0.457
USC-SI_kJalpha,,,,,,,,,,,,,,,,,,,0.077,0.040,0.086,0.347
UA-EpiCovDA,,,,,,,,,,,,,,,,,,,-0.097,-0.122,-0.062,0.058
CU-select,,,,,,,,,,,,,,,,,,,-0.098,-0.126,-0.037,0.072
