,perc_error_2020-04-27_2020-08-22,perc_error_2020-05-04_2020-08-22,perc_error_2020-05-11_2020-08-22,perc_error_2020-05-18_2020-08-22,perc_error_2020-05-25_2020-08-22,perc_error_2020-06-01_2020-08-22,perc_error_2020-06-08_2020-08-22,perc_error_2020-06-15_2020-08-22,perc_error_2020-06-22_2020-08-22,perc_error_2020-06-29_2020-08-22,perc_error_2020-07-06_2020-08-22,perc_error_2020-07-13_2020-08-22,perc_error_2020-07-20_2020-08-22,perc_error_2020-07-27_2020-08-22,perc_error_2020-08-03_2020-08-22,perc_error_2020-08-10_2020-08-22,perc_error_2020-08-17_2020-08-22
YYG-ParamSearch,,,,,,,0.037,-0.108,-0.312,-0.252,-0.354,-0.155,-0.156,-0.091,0.015,0.039,-0.030
Baseline,0.982,0.927,0.887,0.667,0.397,0.152,0.060,-0.120,-0.301,-0.080,-0.466,-0.245,-0.263,-0.137,0.091,0.026,-0.019
QJHong-Encounter,,,,,,,,,,,,0.476,0.161,0.077,0.145,0.067,0.017
Columbia_UNC-SurvCon,,,,,,,,,,,0.498,0.242,-0.130,-0.153,-0.069,-0.117,0.073
CovidAnalytics-DELPHI,,,,,,,,,,,0.057,-0.076,-0.109,-0.080,-0.153,-0.203,-0.188
UCLA-SuEIR,,,,-0.415,-0.555,-0.634,-0.635,-0.717,-0.732,-0.562,-0.566,-0.346,-0.307,-0.109,0.123,-0.075,0.038
IHME-CurveFit,,-0.366,,,,,-0.276,-0.202,-0.323,-0.384,-0.345,,-0.091,-0.129,-0.110,-0.071,
OliverWyman-Navigator,,,,,,,,,,,,,,-0.004,0.096,-0.036,-0.029
USC-SI_kJalpha,,,,,,,,,,0.148,1.000,0.874,-0.138,-0.325,0.204,0.021,-0.023
COVIDhub-ensemble,,,,,,,,,,,,,,-0.080,-0.027,-0.048,-0.070
GT-DeepCOVID,,,,,,,,,,,,,,-0.124,-0.002,0.077,0.045
COVIDhub-baseline,,,,,,,,,,,,,,-0.129,0.133,0.050,0.044
PSI-DRAFT,,,,,,,,,,,,-0.404,0.070,0.469,0.866,0.021,-0.714
LNQ-ens1,,,,,,,,,,,,,,-0.022,0.202,0.080,0.053
JHU_IDD-CovidSP,,,,,,,,,,,,,0.260,0.190,0.204,0.070,-0.125
IowaStateLW-STEM,,-0.557,,-0.550,-0.403,-0.477,-0.638,-0.518,-0.528,-0.796,-0.145,-0.317,-0.340,-0.266,-0.086,,-0.152
NotreDame-mobility,,,,,,,,,,,,-0.452,-0.328,-0.335,-0.464,-0.107,-0.016
Covid19Sim-Simulator,,,,,-0.546,-0.615,-0.636,-0.379,-0.399,-0.210,-0.138,-0.207,-0.170,-0.224,-0.193,,-1.538
UA-EpiCovDA,,,,,,,,,,,,,,0.009,-0.496,0.028,-0.096
UMass-MechBayes,,,,,,,,,,,,,,-0.172,-0.082,-0.089,-0.077
JCB-PRM,,,,,,,,,,,,,,0.112,0.139,0.139,0.063
STH-3PU,,,,,,,,-0.459,-0.688,-0.753,-0.772,-0.817,-0.326,0.272,0.985,0.037,0.082
USACE-ERDC_SEIR,,,,,-0.665,,-0.657,-0.429,-0.315,-0.154,-0.139,-0.053,0.995,0.302,0.346,0.350,0.251
CU-select,,,,,,,,,,,,,,0.247,0.181,-0.081,-0.095
MOBS-GLEAM_COVID,,,,,,,,,,,,,,0.083,0.480,-0.077,-0.180
Karlen-pypm,,,,,,,,,,,,,,-0.068,-0.235,0.271,0.208
Auquan-SEIR,,,,,,,,,,,-0.642,,,,-0.160,0.034,0.283
CEID-Walk,,,,,,,,,,,,,,,,0.012,0.074
LANL-GrowthRate,,,,,,,,,,,-0.637,-0.502,-0.468,-0.438,-0.327,-0.244,-0.234
DDS-NBDS,,,,,,,,,,,,,,1.262,0.384,0.649,0.007
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,0.391,0.288,0.059
epiforecasts-ensemble1,,,,,,,,,,,,,,0.247,-0.216,-0.421,-1.052
UMich-RidgeTfReg,,,,,,,,,,,,,,-0.344,-0.294,-0.256,-0.294
RobertWalraven-ESG,,,,,,,,,,,,,,-0.384,-0.316,0.459,-0.781
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,-0.414,-0.393,-0.422,-0.598
MITCovAlliance-SIR,,,,,,,,,,,-0.533,-0.600,-0.605,-0.655,-0.540,,-1.746
UT-Mobility,,,,,,,,,,,,,,0.757,0.899,,0.281
Geneva-DetGrowth,,,,,,,,,,,,,,,,,0.205
TTU-squider,,,,,,,,,,,,,,,,,17.950
