,perc_error_2020-07-20_2020-12-05,perc_error_2020-07-27_2020-12-05,perc_error_2020-08-03_2020-12-05,perc_error_2020-08-10_2020-12-05,perc_error_2020-08-17_2020-12-05,perc_error_2020-08-24_2020-12-05,perc_error_2020-08-31_2020-12-05,perc_error_2020-09-07_2020-12-05,perc_error_2020-09-14_2020-12-05,perc_error_2020-09-21_2020-12-05,perc_error_2020-09-28_2020-12-05,perc_error_2020-10-05_2020-12-05,perc_error_2020-10-12_2020-12-05,perc_error_2020-10-19_2020-12-05,perc_error_2020-10-26_2020-12-05,perc_error_2020-11-02_2020-12-05,perc_error_2020-11-09_2020-12-05,perc_error_2020-11-16_2020-12-05,perc_error_2020-11-23_2020-12-05,perc_error_2020-11-30_2020-12-05
BPagano-RtDriven,,,,,,,,,,,,-0.515,-0.373,-0.163,-0.144,-0.218,-0.140,-0.133,0.003,-0.072
Columbia_UNC-SurvCon,,,,,,,,,,,,,-0.245,-0.168,-0.098,-0.204,-0.192,-0.152,0.041,0.024
USC-SI_kJalpha,,,,,,,,,,,,,-0.381,-0.341,-0.204,-0.219,-0.173,-0.065,0.062,-0.186
QJHong-Encounter,,,,,,,,,,,,,-0.265,-0.303,-0.262,-0.238,-0.208,-0.111,-0.056,-0.047
Karlen-pypm,,,,,,,,,,,,,,,,-0.078,-0.055,0.053,0.022,-0.155
IBF-TimeSeries,,,,,,,,,,,,,-0.300,-0.331,-0.277,-0.285,-0.211,-0.145,0.068,0.047
Covid19Sim-Simulator,0.108,-0.002,-0.240,,-0.603,-0.711,-0.559,-0.553,-0.593,-0.666,-0.582,-0.299,-0.333,-0.523,-0.172,-0.160,-0.132,,0.072,0.136
JHUAPL-Bucky,,,,,,,,,,,,,-0.463,-0.361,-0.213,-0.334,-0.275,-0.021,-0.344,-0.145
JCB-PRM,,,,,,,,,,,,,-0.325,-0.383,-0.276,-0.283,-0.242,-0.174,-0.096,-0.211
UMass-MechBayes,,,,,,,,,,,,,,,,,-0.026,0.031,0.032,-0.273
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,-0.078,0.023,0.090,0.267
LANL-GrowthRate,,,,,,,,,,,,,,-0.751,-0.697,-0.340,-0.174,-0.117,-0.163,-0.351
LNQ-ens1,,,,,,,,,,,,,,,,,-0.182,-0.087,0.035,-0.294
OliverWyman-Navigator,,,,,,,,,,,,,,,,,-0.220,-0.226,-0.051,-0.145
TTU-squider,,,,,,,,,,,,,,,,,-0.237,-0.273,-0.065,0.147
IowaStateLW-STEM,-0.447,-0.400,-0.339,,-0.393,-0.333,-0.321,-0.406,-0.316,-0.363,-0.648,-0.472,-0.494,-0.567,-0.481,-0.460,-0.469,-0.364,-0.063,-0.232
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,-0.246,-0.247,-0.084,-0.248
CU-select,,,,,,,,,,,,,,,,,0.068,-0.140,-0.158,-0.401
UA-EpiCovDA,,,,,,,,,,,,,,,,,-0.165,-0.108,-0.176,-0.414
MSRA-DeepST,,,,,,,,,,,,,,,,,-0.307,-0.273,-0.048,-0.290
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,-0.385,-0.218,-0.082,-0.278
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,-0.268,-0.272,-0.108,-0.269
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,-0.422,-0.363,-0.046,-0.160
Caltech-CS156,,,,,,,,,,,,,,,,,-0.280,-0.245,-0.122,-0.270
CovidAnalytics-DELPHI,,,,,,,,,,,,,,-0.712,-0.545,-0.475,-0.415,-0.319,-0.111,-0.294
COVIDhub-ensemble,,,,,,,,,,,,,,,,,-0.315,-0.250,-0.134,-0.286
GT-DeepCOVID,,,,,,,,,,,,,,,,,-0.443,-0.298,-0.084,-0.192
PSI-DRAFT,,,,,,,,,,,,,,,-0.540,-0.408,-0.487,-0.219,-0.223,-0.456
COVIDhub-baseline,,,,,,,,,,,,,-0.428,-0.468,-0.427,-0.466,-0.433,-0.396,-0.230,-0.368
JHU_IDD-CovidSP,,,,,,,,,,,,,,,-0.522,-0.590,-0.639,-0.170,-0.153,-0.490
UCLA-SuEIR,,,,,,,-0.477,-0.538,-0.582,-0.566,-0.577,-0.517,-0.511,-0.528,-0.549,-0.491,-0.407,-0.372,-0.187,-0.398
Baseline,-0.260,-0.115,0.101,0.026,-0.011,-0.065,-0.140,-0.200,-0.324,-0.303,-0.347,-0.408,-0.426,-0.474,-0.440,-0.463,-0.435,-0.398,-0.230,-0.416
RobertWalraven-ESG,,,,,,,,,,,,,,,,,-0.331,-0.302,0.106,-0.636
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,-0.326,-0.276,0.237,-0.387
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,-0.413,-0.381,-0.371,-0.234
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,-0.366,-0.429,-0.473,-0.510,-0.315
