,perc_error_2020-09-14_2021-01-30,perc_error_2020-09-21_2021-01-30,perc_error_2020-09-28_2021-01-30,perc_error_2020-10-05_2021-01-30,perc_error_2020-10-12_2021-01-30,perc_error_2020-10-19_2021-01-30,perc_error_2020-10-26_2021-01-30,perc_error_2020-11-02_2021-01-30,perc_error_2020-11-09_2021-01-30,perc_error_2020-11-16_2021-01-30,perc_error_2020-11-23_2021-01-30,perc_error_2020-11-30_2021-01-30,perc_error_2020-12-07_2021-01-30,perc_error_2020-12-14_2021-01-30,perc_error_2020-12-21_2021-01-30,perc_error_2020-12-28_2021-01-30,perc_error_2021-01-04_2021-01-30,perc_error_2021-01-11_2021-01-30,perc_error_2021-01-18_2021-01-30,perc_error_2021-01-25_2021-01-30
QJHong-Encounter,,,,,,,,,,,,,,-0.058,-0.044,-0.060,-0.037,-0.108,-0.045,-0.062
LANL-GrowthRate,,,,,,,,,,,,,,,0.012,0.052,-0.259,0.093,0.072,0.006
COVIDhub-baseline,,,,,,,,,,,,,-0.257,-0.199,-0.132,-0.282,-0.195,-0.018,0.063,-0.027
Columbia_UNC-SurvCon,,,,,,,,,,,,,-0.256,0.266,0.524,-0.034,-0.225,-0.038,0.089,0.001
Baseline,-0.597,-0.586,-0.613,-0.647,-0.655,-0.679,-0.652,-0.655,-0.625,-0.580,-0.447,-0.501,-0.250,-0.197,-0.135,-0.305,-0.201,-0.018,0.022,-0.090
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,-0.234,-0.179,0.002,-0.055,-0.037
IowaStateLW-STEM,-0.613,-0.647,-0.811,-0.712,-0.721,-0.761,-0.708,-0.672,-0.661,-0.573,-0.355,-0.398,-0.285,-0.029,-0.010,-0.061,-0.295,-0.155,0.072,-0.074
JHU_IDD-CovidSP,,,,,,,,,,,,,,,0.210,-0.014,-0.109,-0.109,-0.086,-0.327
Karlen-pypm,,,,,,,,,,,,,,,,-0.118,-0.167,-0.061,-0.044,-0.099
CEID-Walk,,,,,,,,,,,,,,,,,-0.183,-0.023,0.027,-0.024
JCB-PRM,,,,,,,,,,,,,0.152,0.242,0.272,0.059,,,,
PSI-DRAFT,,,,,,,,,,,,,,,-0.198,-0.217,-0.217,-0.086,-0.073,0.092
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,-0.136,0.003,0.074,-0.040
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,-0.111,0.038,0.103,-0.021
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,-0.126,0.061,0.066,0.036
GT-DeepCOVID,,,,,,,,,,,,,,,,,-0.138,-0.063,0.032,-0.110
IBF-TimeSeries,,,,,,,,,,,,,-0.139,-0.031,-0.021,-0.165,-0.050,0.158,0.278,0.431
COVIDhub-ensemble,,,,,,,,,,,,,,,,,-0.222,-0.055,0.043,-0.069
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,-0.278,-0.041,0.047,-0.041
IHME-CurveFit,,0.039,0.035,,,-0.273,-0.294,,,,-0.181,,-0.070,-0.265,0.086,0.111,,,0.041,-0.137
UMass-MechBayes,,,,,,,,,,,,,,,,,-0.194,-0.017,-0.071,-0.157
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,-0.230,-0.070,0.168,-0.012
LNQ-ens1,,,,,,,,,,,,,,,,,-0.217,0.115,0.117,0.013
Covid19Sim-Simulator,-0.823,-0.873,-0.835,-0.538,-0.558,-0.780,-0.143,-0.211,0.069,,0.060,0.033,-0.005,-0.147,-0.138,-0.061,-0.169,-0.396,-0.524,0.302
TTU-squider,,,,,,,,,,,,,,,,,-0.082,-0.090,-0.103,-0.201
OliverWyman-Navigator,,,,,,,,,,,,,,,,,-0.140,0.167,0.088,-0.130
SigSci-TS,,,,,,,,,,,,,,,,,,-0.154,-0.056,-0.025
AIpert-pwllnod,,,,,,,,,,,,,,,0.833,-0.749,-0.329,0.049,0.181,0.067
USC-SI_kJalpha,,,,,,,,,,,,,,,,,-0.318,-0.090,0.181,0.034
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,-0.267,-0.070,0.173,0.107
RobertWalraven-ESG,,,,,,,,,,,,,,,,,-0.283,0.231,-0.006,-0.160
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,-0.290,-0.227,-0.098,-0.052
CovidAnalytics-DELPHI,,,,,,,,,,,,,,,-0.214,-0.274,-0.320,-0.129,0.325,-0.136
UT-Mobility,,,,,,,,,,,,,,,,,,-0.021,,-0.048
BPagano-RtDriven,,,,,,,,,,,,,,,,,-0.172,-0.182,-0.262,-0.114
UA-EpiCovDA,,,,,,,,,,,,,,,,,-0.324,-0.121,-0.108,-0.155
UCLA-SuEIR,,,,,,,-0.763,-0.688,-0.565,-0.473,-0.331,-0.549,-0.233,-0.309,-0.210,-0.652,-0.435,-0.230,-0.179,-0.177
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,-0.483,0.120,0.243,0.079
MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,-0.026,-0.173
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,-0.035,-0.162
JHUAPL-Bucky,,,,,,,,,,,,,-0.157,-0.184,-0.141,-0.420,-0.416,-0.295,,-0.190
