,perc_error_2020-08-31_2021-01-16,perc_error_2020-09-07_2021-01-16,perc_error_2020-09-14_2021-01-16,perc_error_2020-09-21_2021-01-16,perc_error_2020-09-28_2021-01-16,perc_error_2020-10-05_2021-01-16,perc_error_2020-10-12_2021-01-16,perc_error_2020-10-19_2021-01-16,perc_error_2020-10-26_2021-01-16,perc_error_2020-11-02_2021-01-16,perc_error_2020-11-09_2021-01-16,perc_error_2020-11-16_2021-01-16,perc_error_2020-11-23_2021-01-16,perc_error_2020-11-30_2021-01-16,perc_error_2020-12-07_2021-01-16,perc_error_2020-12-14_2021-01-16,perc_error_2020-12-21_2021-01-16,perc_error_2020-12-28_2021-01-16,perc_error_2021-01-04_2021-01-16,perc_error_2021-01-11_2021-01-16
LANL-GrowthRate,,,,,,,,,,,,,,,-0.069,0.101,0.034,0.064,-0.255,-0.034
QJHong-Encounter,,,,,,,,,,,,-0.076,0.037,-0.076,-0.122,-0.049,-0.027,-0.052,-0.044,-0.214
IBF-TimeSeries,,,,,,,,,,,,,-0.263,-0.341,-0.116,-0.002,0.017,-0.130,-0.009,0.318
JCB-PRM,,,,,,,,,,,,,0.050,-0.014,0.036,0.113,0.159,-0.016,,
Columbia_UNC-SurvCon,,,,,,,,,,,,,0.310,-0.410,-0.214,0.085,0.225,-0.029,-0.212,-0.111
Karlen-pypm,,,,,,,,,,,,,,,,0.082,0.028,-0.118,-0.198,-0.131
IowaStateLW-STEM,-0.572,-0.631,-0.574,-0.611,-0.791,-0.684,-0.694,-0.739,-0.682,-0.648,-0.639,-0.549,-0.323,-0.372,-0.250,0.005,0.036,-0.024,-0.301,-0.261
IHME-CurveFit,0.116,0.214,,0.096,0.072,,,-0.278,-0.290,,,,-0.163,,-0.061,-0.282,0.112,0.139,,
TTU-squider,,,,,,,,,,,,,,,,,0.046,0.080,-0.056,-0.072
COVIDhub-baseline,,,,,,,,,,,,,-0.436,-0.476,-0.236,-0.178,-0.109,-0.280,-0.219,-0.068
OliverWyman-Navigator,,,,,,,,,,,,,,,,,0.016,-0.176,-0.182,0.057
PSI-DRAFT,,,,,,,,,,,,,,,-0.025,0.493,-0.161,-0.202,-0.225,-0.158
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,0.018,-0.144,-0.169,-0.079
GT-DeepCOVID,,,,,,,,,,,,,,,,,-0.008,-0.090,-0.183,-0.151
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,0.051,-0.205,-0.146,-0.047
Baseline,-0.434,-0.478,-0.561,-0.549,-0.580,-0.618,-0.628,-0.655,-0.628,-0.634,-0.604,-0.560,-0.424,-0.486,-0.230,-0.179,-0.117,-0.309,-0.238,-0.112
LNQ-ens1,,,,,,,,,,,,,,,,,0.027,-0.279,-0.231,0.002
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,0.128,-0.262,-0.139,0.031
JHU_IDD-CovidSP,,,,,,,,,,,,,,,-0.358,-0.346,0.199,-0.041,-0.176,-0.267
COVIDhub-ensemble,,,,,,,,,,,,,,,,,0.016,-0.176,-0.258,-0.159
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,0.015,-0.219,-0.272,-0.124
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,0.002,-0.157,,
Covid19Sim-Simulator,-0.787,-0.767,-0.792,-0.848,-0.803,-0.510,-0.526,-0.745,-0.168,-0.224,0.003,,0.048,0.078,-0.117,-0.228,-0.195,-0.105,-0.325,-0.896
UCM_MESALab-FoGSEIR,,,,,,,,,,,,,,,,0.254,0.557,-0.245,-0.216,-0.078
Microsoft-DeepSTIA,,,,,,,,,,,,,,,,,0.126,-0.143,-0.258,-0.081
DDS-NBDS,,,,,,,,,,,,,,,,,-0.103,-0.137,-0.311,0.089
CovidAnalytics-DELPHI,,,,,,,,,,,,,,,-0.246,-0.138,-0.164,-0.244,-0.282,-0.280
JHUAPL-Bucky,,,,,,,,,,,,0.579,0.280,-0.188,-0.157,-0.195,-0.106,-0.373,-0.377,-0.364
UCLA-SuEIR,,,,,,,-0.722,-0.727,-0.738,-0.664,-0.552,-0.474,-0.341,-0.532,-0.210,-0.272,-0.169,-0.562,-0.342,-0.122
BPagano-RtDriven,,,,,,,,,-0.399,,,,,,,,0.049,-0.081,-0.272,-0.513
Caltech-CS156,,,,,,,,,,,,,,,,,-0.035,-0.197,-0.284,-0.288
CEID-Walk,,,,,,,,,,,,,,,,,,-0.269,-0.235,-0.067
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,-0.157,0.061
USC-SI_kJalpha,,,,,,,,,,,,,,,,,0.049,-0.176,-0.329,-0.218
RobertWalraven-ESG,,,,,,,,,,,,,,,,,0.083,-0.280,-0.297,-0.164
UMass-MechBayes,,,,,,,,,,,,,,,,,-0.161,-0.295,-0.236,-0.160
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,0.036,-0.315,-0.343,-0.206
AIpert-pwllnod,,,,,,,,,,,,,,,,,0.518,-0.668,-0.313,-0.103
CU-select,,,,,,,,,,,,,,,,,-0.066,-0.397,-0.511,-0.467
UA-EpiCovDA,,,,,,,,,,,,,,,,,-0.262,-0.514,-0.349,-0.190
UT-Mobility,,,,,,,,,,,,,,,,,0.152,,,-0.192
RPI_UW-Mob_Collision,,,,,,,,,,,,,,,,,-0.324,-0.399,-0.482,-0.178
NotreDame-mobility,,,,,,,,,,,,,,,-0.474,-0.534,,,,
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,-0.132
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,-0.196,-0.397,-0.414,-0.428
SigSci-TS,,,,,,,,,,,,,,,,,,,,-0.281
WalmartLabsML-LogForecasting,,,,,,,,,,,,,-0.805,-0.797,-0.776,-0.754,-0.744,,-0.663,-0.596
UpstateSU-GRU,,,,,,,,,,,,,,,,,,,,-0.306
STH-3PU,-0.548,-0.838,-0.610,-0.635,,-0.669,-0.673,-0.686,-0.710,-0.703,,,,,,,,,,
USACE-ERDC_SEIR,,,,,,,,,,,,,0.429,0.397,,,,,,
