,mean_percentile,num_summaries
YYG-ParamSearch,0.012292799792799791,12
COVIDhub-ensemble,0.0263771876361398,8
UMass-MechBayes,0.03983187387966224,8
OliverWyman-Navigator,0.04974668823474009,8
QJHong-Encounter,0.10897987707384078,6
MOBS-GLEAM_COVID,0.11672011113947223,8
Baseline,0.1515864168348333,12
LNQ-ens1,0.1749116356388229,8
GT-DeepCOVID,0.17775398544011894,8
Karlen-pypm,0.18902923174399952,10
LANL-GrowthRate,0.1944809007172954,12
UCLA-SuEIR,0.19639115634411977,12
CU-select,0.19762633818417064,12
USC-SI_kJalpha,0.2363477183675766,12
IowaStateLW-STEM,0.27910047087117623,12
CovidAnalytics-DELPHI,0.28767945649527404,12
UA-EpiCovDA,0.30777999661193367,8
JCB-PRM,0.33799241657131907,12
COVIDhub-baseline,0.3691118109300297,12
SteveMcConnell-CovidComplete,0.3704234597259903,8
Covid19Sim-Simulator,0.3806207110292496,12
IHME-CurveFit,0.4172576097551832,12
Columbia_UNC-SurvCon,0.432550596594661,12
UCSD_NEU-DeepGLEAM,0.4456580658004379,8
JHU_IDD-CovidSP,0.45387364975281336,12
UT-Mobility,0.4630477229886942,12
CEID-Walk,0.47610423604208635,8
PSI-DRAFT,0.5087997199437807,12
STH-3PU,0.5168288094544413,6
MIT_CritData-GBCF,0.5331863223597251,8
DDS-NBDS,0.5835441103019852,8
UMich-RidgeTfReg,0.6139745646727495,8
BPagano-RtDriven,0.6166348956297074,12
JHUAPL-Bucky,0.6300359556719346,12
epiforecasts-ensemble1,0.6506575243114384,9
Caltech-CS156,0.6530359039717787,8
NotreDame-mobility,0.6558085821467082,12
IBF-TimeSeries,0.6615187958482636,6
USACE-ERDC_SEIR,0.6709945403645996,12
JHU_CSSE-DECOM,0.6984459649745972,8
RobertWalraven-ESG,0.7095376020635081,12
MSRA-DeepST,0.7123350633385264,8
Microsoft-DeepSTIA,0.7815888202018446,8
TTU-squider,0.7950768197940534,8
SWC-TerminusCM,0.7974468285830417,6
Auquan-SEIR,0.8028581641707486,12
CovidActNow-SEIR_CAN,0.8643034883626695,8
MITCovAlliance-SIR,0.8893308166541368,12
SigSci-TS,0.9023179042023823,6
WalmartLabsML-LogForecasting,0.9100261508634886,12
AIpert-pwllnod,0.941421555641227,12
COVIDhub-trained_ensemble,0.9431268916882335,6
MIT_ISOLAT-Mixtures,0.9559477315141585,8
Wadhwani_AI-BayesOpt,0.9602134872740633,6
