,perc_error_2020-04-20_2020-06-13,perc_error_2020-04-27_2020-06-20,perc_error_2020-05-04_2020-06-27,perc_error_2020-05-11_2020-07-04,perc_error_2020-05-18_2020-07-11,perc_error_2020-05-25_2020-07-18,perc_error_2020-06-01_2020-07-25,perc_error_2020-06-08_2020-08-01,perc_error_2020-06-15_2020-08-08,perc_error_2020-06-22_2020-08-15,perc_error_2020-06-29_2020-08-22,perc_error_2020-07-06_2020-08-29,perc_error_2020-07-13_2020-09-05,perc_error_2020-07-20_2020-09-12,perc_error_2020-07-27_2020-09-19,perc_error_2020-08-03_2020-09-26,perc_error_2020-08-10_2020-10-03,perc_error_2020-08-17_2020-10-10,perc_error_2020-08-24_2020-10-17,perc_error_2020-08-31_2020-10-24,perc_error_2020-09-07_2020-10-31,perc_error_2020-09-14_2020-11-07,perc_error_2020-09-21_2020-11-14,perc_error_2020-09-28_2020-11-21,perc_error_2020-10-05_2020-11-28,perc_error_2020-10-12_2020-12-05,perc_error_2020-10-19_2020-12-12,perc_error_2020-10-26_2020-12-19,perc_error_2020-11-02_2020-12-26,perc_error_2020-11-09_2021-01-02,perc_error_2020-11-16_2021-01-09,perc_error_2020-11-23_2021-01-16,perc_error_2020-11-30_2021-01-23,perc_error_2020-12-07_2021-01-30,perc_error_2020-12-14_2021-02-06,perc_error_2020-12-21_2021-02-13,perc_error_2020-12-28_2021-02-20,perc_error_2021-01-04_2021-02-27,perc_error_2021-01-11_2021-03-06
YYG-ParamSearch,,,0.119,0.495,0.694,0.506,0.247,0.098,-0.075,-0.307,-0.252,-0.336,-0.097,-0.118,-0.037,0.056,0.061,-0.012,-0.151,-0.220,-0.280,,,,,,,,,,,,,,,,,,
Baseline,0.549,0.696,0.820,0.986,0.866,0.622,0.328,0.158,-0.076,-0.289,-0.080,-0.462,-0.221,-0.202,-0.023,0.270,0.247,0.258,0.236,0.160,0.092,-0.098,-0.096,-0.218,-0.334,-0.426,-0.527,-0.540,-0.571,-0.560,-0.539,-0.424,-0.494,-0.250,-0.198,-0.115,-0.241,-0.064,0.237
Covid19Sim-Simulator,,,,,,-0.411,-0.546,-0.608,-0.318,-0.378,-0.210,-0.091,-0.081,0.026,0.066,-0.007,,-0.472,-0.594,-0.119,-0.246,-0.359,-0.477,-0.442,-0.222,-0.333,-0.579,-0.209,-0.211,-0.036,,0.048,0.058,-0.005,-0.112,-0.090,-0.046,0.107,0.034
IowaStateLW-STEM,,,-0.397,,-0.286,-0.195,-0.290,-0.504,-0.449,-0.507,-0.796,-0.155,-0.292,-0.330,-0.252,-0.120,,-0.118,-0.022,-0.010,-0.130,-0.045,-0.129,-0.560,-0.395,-0.494,-0.619,-0.588,-0.579,-0.594,-0.524,-0.323,-0.386,-0.285,-0.037,-0.008,-0.013,-0.219,0.013
IHME-CurveFit,-0.668,-0.722,0.083,0.112,0.145,,-0.278,-0.193,-0.166,-0.311,-0.384,-0.346,,-0.062,-0.080,-0.019,0.173,,0.367,0.504,0.507,,-0.010,0.169,,,-0.284,-0.285,,,,-0.163,,-0.070,-0.259,0.067,0.108,,
Columbia_UNC-SurvCon,,,,,,,,,,,,0.514,0.225,-0.201,-0.240,-0.240,-0.316,-0.064,-0.254,-0.148,0.108,-0.173,-0.302,0.129,0.122,-0.245,-0.215,-0.148,-0.007,0.408,0.513,0.310,-0.456,-0.256,0.424,1.223,0.041,-0.194,0.260
USACE-ERDC_SEIR,,,,,-0.386,-0.441,-0.528,-0.572,-0.359,-0.296,-0.154,-0.162,-0.088,1.122,0.486,0.351,0.301,0.262,0.083,0.157,0.229,0.091,0.221,0.092,,0.067,,0.068,,,0.628,0.429,0.266,,,,,,
UCLA-SuEIR,,,-0.222,-0.036,0.006,-0.237,-0.416,-0.490,-0.646,-0.702,-0.562,-0.577,-0.367,-0.311,-0.113,0.042,-0.230,-0.071,-0.132,-0.138,-0.233,-0.350,-0.368,-0.453,-0.443,-0.511,-0.585,-0.649,-0.600,-0.514,-0.464,-0.341,-0.541,-0.233,-0.319,-0.209,-0.709,-0.494,-0.310
USC-SI_kJalpha,,,,,,,,,,,0.148,1.134,1.161,-0.247,-0.457,0.045,-0.256,-0.259,-0.293,-0.171,-0.182,-0.393,-0.215,-0.209,-0.337,-0.381,-0.425,-0.350,-0.373,-0.398,,,,,,,,,
IBF-TimeSeries,,,,,,,,,,,,,,,,,,,,,0.274,0.064,0.107,-0.059,,-0.300,-0.403,-0.414,-0.445,-0.401,-0.362,-0.263,-0.349,-0.139,-0.035,-0.008,-0.104,0.073,0.361
STH-3PU,,,,,,,,,-0.376,-0.664,-0.753,-0.782,-0.828,-0.267,0.532,1.666,0.001,0.003,-0.024,-0.045,-0.680,-0.147,-0.251,,-0.424,-0.486,-0.559,-0.640,-0.636,,,,,,,,,,
JCB-PRM,,,,,,,,,,,,,,,,,,,,,-0.205,-0.295,-0.300,-0.318,-0.283,-0.325,-0.447,-0.363,-0.392,-0.402,-0.107,0.050,0.029,0.152,0.331,0.482,0.273,,
QJHong-Encounter,,,,,,,,,,,,,,,,,,,,,,,,,-0.281,-0.265,-0.351,-0.352,-0.320,-0.278,-0.060,0.037,-0.073,,,-0.044,0.017,,
JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,,,-0.396,,,,-0.463,-0.417,-0.327,-0.422,-0.339,0.547,0.280,-0.167,-0.157,-0.173,-0.128,-0.427,-0.434,-0.271
CovidAnalytics-DELPHI,,,,,,,,,,,,0.038,-0.109,-0.116,,,,,,,,,,,,,,,,,,,,,,,,,
COVIDhub-baseline,,,,,,,,,,,,,,,,,,,,,,,,,-0.337,-0.428,-0.523,-0.531,-0.576,-0.561,-0.544,-0.436,-0.485,-0.257,-0.201,-0.114,-0.220,-0.066,0.221
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,-0.465,-0.373,-0.232,-0.266,-0.333,-0.277,-0.238,,,,,,,,
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,,,-0.211,-0.417,-0.346,-0.450,-0.480,-0.539,-0.587,-0.649,-0.705,-0.743,-0.767,-0.789,-0.801,-0.805,-0.807,-0.795,-0.781,-0.761,,-0.674,-0.594
MITCovAlliance-SIR,,,,,,,,,,,,-0.538,-0.596,-0.544,-0.556,-0.454,,-0.601,,,,,,,,,,,,,,,,,,,,,
RobertWalraven-ESG,,,,,,,,,,,,,,,,,,-0.487,-0.518,-0.467,-0.604,-0.656,-0.664,,-0.751,,,,,,,,,,,,,,
