,perc_error_2020-04-20_2020-04-25,perc_error_2020-04-27_2020-05-02,perc_error_2020-05-04_2020-05-09,perc_error_2020-05-11_2020-05-16,perc_error_2020-05-18_2020-05-23,perc_error_2020-05-25_2020-05-30,perc_error_2020-06-01_2020-06-06,perc_error_2020-06-08_2020-06-13,perc_error_2020-06-15_2020-06-20,perc_error_2020-06-22_2020-06-27,perc_error_2020-06-29_2020-07-04,perc_error_2020-07-06_2020-07-11,perc_error_2020-07-13_2020-07-18,perc_error_2020-07-20_2020-07-25,perc_error_2020-07-27_2020-08-01,perc_error_2020-08-03_2020-08-08,perc_error_2020-08-10_2020-08-15,perc_error_2020-08-17_2020-08-22,perc_error_2020-08-24_2020-08-29,perc_error_2020-08-31_2020-09-05,perc_error_2020-09-07_2020-09-12,perc_error_2020-09-14_2020-09-19,perc_error_2020-09-21_2020-09-26,perc_error_2020-09-28_2020-10-03,perc_error_2020-10-05_2020-10-10,perc_error_2020-10-12_2020-10-17,perc_error_2020-10-19_2020-10-24,perc_error_2020-10-26_2020-10-31,perc_error_2020-11-02_2020-11-07,perc_error_2020-11-09_2020-11-14,perc_error_2020-11-16_2020-11-21,perc_error_2020-11-23_2020-11-28,perc_error_2020-11-30_2020-12-05,perc_error_2020-12-07_2020-12-12,perc_error_2020-12-14_2020-12-19,perc_error_2020-12-21_2020-12-26,perc_error_2020-12-28_2021-01-02,perc_error_2021-01-04_2021-01-09,perc_error_2021-01-11_2021-01-16,perc_error_2021-01-18_2021-01-23,perc_error_2021-01-25_2021-01-30,perc_error_2021-02-01_2021-02-06,perc_error_2021-02-08_2021-02-13,perc_error_2021-02-15_2021-02-20,perc_error_2021-02-22_2021-02-27,perc_error_2021-03-01_2021-03-06
YYG-ParamSearch,-0.263,-0.069,-0.113,0.023,0.050,0.134,0.024,0.014,0.083,-0.049,0.001,-0.383,-0.214,-0.217,-0.258,-0.085,-0.008,-0.030,-0.089,-0.080,-0.006,-0.199,-0.220,-0.065,-0.071,,,,,,,,,,,,,,,,,,,,,
MOBS-GLEAM_COVID,-0.348,-0.320,-0.157,0.040,0.002,0.101,-0.004,-0.064,0.121,0.028,0.060,-0.191,-0.195,0.157,-0.141,0.230,-0.071,-0.180,-0.134,-0.097,0.017,-0.152,-0.124,0.212,-0.113,0.013,-0.163,-0.005,-0.197,-0.132,-0.250,0.035,-0.269,-0.125,-0.094,0.165,-0.040,-0.159,-0.079,0.071,-0.040,-0.034,0.098,0.333,-0.046,-0.045
OliverWyman-Navigator,,,,,,,,0.007,0.174,0.122,0.264,-0.250,-0.034,-0.099,-0.180,0.020,-0.051,-0.029,-0.042,-0.007,0.078,-0.134,-0.065,0.115,-0.004,0.043,-0.066,0.048,-0.123,-0.042,-0.201,0.115,-0.145,-0.142,-0.053,0.158,-0.098,-0.191,0.057,0.090,-0.130,-0.076,0.039,0.170,-0.127,-0.002
COVIDhub-ensemble,,-0.343,-0.208,0.023,0.043,0.143,0.041,0.063,0.306,0.390,0.421,-0.282,-0.114,-0.151,-0.180,-0.055,-0.081,-0.070,-0.022,0.009,0.051,-0.146,-0.131,-0.018,-0.091,-0.048,-0.154,-0.051,-0.178,-0.175,-0.231,0.022,-0.286,-0.164,-0.104,0.166,-0.072,-0.249,-0.159,0.039,-0.069,-0.041,0.109,0.364,-0.154,-0.094
GT-DeepCOVID,,,-0.016,0.011,-0.032,0.159,0.045,-0.072,0.344,0.065,0.387,-1.920,0.041,-0.037,-0.123,0.084,0.108,0.045,0.010,-0.084,0.077,-0.189,-0.069,0.144,0.017,0.032,-0.044,0.059,-0.105,-0.182,-0.162,0.107,-0.192,-0.149,-0.140,0.089,0.025,-0.173,-0.151,0.045,-0.110,-0.140,0.178,0.604,-0.299,0.128
Baseline,-0.061,-0.003,-0.011,0.123,0.120,0.180,0.074,0.122,0.155,0.019,0.497,-0.376,-0.118,-0.236,-0.261,-0.010,-0.030,-0.019,-0.010,-0.007,0.080,-0.134,-0.090,-0.013,-0.095,-0.086,-0.214,-0.137,-0.266,-0.238,-0.344,-0.073,-0.416,-0.188,-0.177,0.054,-0.242,-0.250,-0.112,-0.003,-0.090,-0.023,0.167,0.228,-0.116,0.081
Imperial-combined,0.901,-0.001,0.056,0.309,0.107,0.172,0.166,0.109,0.280,0.034,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UCLA-SuEIR,,,-0.129,-0.016,0.125,0.094,-0.028,0.024,-0.009,-0.058,0.036,-0.386,-0.130,-0.236,-0.165,0.156,-0.027,0.038,0.042,0.080,0.112,-0.096,-0.014,0.035,-0.043,-0.041,-0.161,-0.093,-0.239,-0.190,-0.300,0.002,-0.398,-0.084,-0.149,0.107,-0.318,-0.257,-0.122,-0.093,-0.177,-0.074,0.166,,-0.302,0.091
UMass-MechBayes,,,,,0.066,0.007,-0.043,0.026,0.064,0.067,0.266,-0.179,-0.041,-0.132,-0.256,-0.096,-0.089,-0.077,-0.107,-0.097,-0.001,-0.158,-0.142,-0.031,-0.047,-0.054,-0.109,-0.054,-0.134,-0.095,-0.121,0.067,-0.273,-0.183,-0.172,0.057,-0.170,-0.261,-0.160,-0.242,-0.157,-0.140,-0.040,0.159,-0.218,-0.171
COVIDhub-baseline,0.174,0.075,0.019,0.294,0.192,0.300,0.145,0.134,0.311,0.132,0.666,-0.333,-0.085,-0.176,-0.210,0.103,0.036,0.044,0.099,0.128,0.154,-0.060,0.038,0.085,-0.031,-0.030,-0.154,-0.046,-0.226,-0.208,-0.309,-0.044,-0.368,-0.139,-0.128,0.121,-0.167,-0.200,-0.068,0.079,-0.027,0.047,0.312,0.744,-0.079,0.176
