,mean_abs_error_2020-04-20_2020-06-13,mean_abs_error_2020-04-27_2020-06-13,mean_abs_error_2020-05-04_2020-06-13,mean_abs_error_2020-05-11_2020-06-13,mean_abs_error_2020-05-18_2020-06-13,mean_abs_error_2020-05-25_2020-06-13,mean_abs_error_2020-06-01_2020-06-13,mean_abs_error_2020-06-08_2020-06-13,mean_sq_abs_error_2020-04-20_2020-06-13,mean_sq_abs_error_2020-04-27_2020-06-13,mean_sq_abs_error_2020-05-04_2020-06-13,mean_sq_abs_error_2020-05-11_2020-06-13,mean_sq_abs_error_2020-05-18_2020-06-13,mean_sq_abs_error_2020-05-25_2020-06-13,mean_sq_abs_error_2020-06-01_2020-06-13,mean_sq_abs_error_2020-06-08_2020-06-13
YYG-ParamSearch,,,188.3,207.4,174.8,82.4,33.1,14.9,,,132127.5,153487.2,99918.5,22110.1,2415.1,783.0
LANL-GrowthRate,,481.7,254.4,171.3,131.6,77.5,51.1,27.3,,1063699.5,213354.0,103060.4,61756.0,18705.6,6913.0,2815.9
UCLA-SuEIR,,,326.5,250.8,109.7,71.0,49.6,28.2,,,302248.2,628108.9,39758.3,15291.2,6877.8,2138.4
COVIDhub-ensemble,,,,,119.3,76.2,47.9,17.9,,,,,41137.4,14900.9,5636.9,1102.6
UMass-MechBayes,,,,,104.7,44.6,53.6,20.9,,,,,31546.8,5678.1,7926.5,2133.0
UT-Mobility,,,2622.1,,230.1,84.4,49.6,26.8,,,200618766.2,,164215.4,24321.7,8403.1,3108.1
Baseline,1006.7,776.6,573.8,438.8,266.9,125.3,52.2,25.5,16832163.5,6619252.1,2571862.2,1188561.8,443183.5,61792.7,6620.3,2964.9
CovidAnalytics-DELPHI,,,433.0,388.2,241.0,113.3,64.8,37.2,,,748238.1,710140.1,217902.5,42568.9,14708.8,4314.9
MOBS-GLEAM_COVID,,,,,267.3,105.8,56.9,33.9,,,,,275830.9,37748.9,8291.3,3855.3
IHME-CurveFit,1004.5,870.6,328.8,210.6,196.4,,82.7,43.6,3415887.1,2825916.5,372956.5,191250.8,139187.5,,18905.2,5569.7
IowaStateLW-STEM,,421.5,470.2,,155.7,108.2,112.2,52.3,,438808.3,840899.9,,94851.7,36529.2,46393.2,8368.1
CU-select,,,738.2,368.9,224.9,125.2,118.5,49.0,,,2700246.3,441521.5,296867.1,46836.3,58336.7,6814.8
COVIDhub-baseline,,,,,277.1,150.2,58.2,27.6,,,,,420220.7,91654.9,8785.0,3202.1
OliverWyman-Navigator,,,,,,,,23.8,,,,,,,,1730.2
PSI-DRAFT,,,,,329.3,175.8,90.1,171.5,,,,,488456.2,168415.7,53219.0,180408.5
SWC-TerminusCM,,,,,,,90.6,51.6,,,,,,,41228.0,7963.4
USACE-ERDC_SEIR,,,,,244.8,158.4,176.7,120.3,,,,,222827.2,111683.4,161910.3,76888.9
Covid19Sim-Simulator,,,,,,145.3,128.5,86.8,,,,,,56979.3,45321.2,20941.9
CovidActNow-SEIR_CAN,,,,,,,94.4,54.1,,,,,,,25080.1,7219.2
Geneva-DetGrowth,,,,,,,,33.9,,,,,,,,3725.6
JHU_IDD-CovidSP,,,,,1105.0,282.2,140.2,55.4,,,,,3332595.4,206336.4,51183.2,7405.4
UA-EpiCovDA,,,,,,229.6,159.6,83.4,,,,,,140619.6,81159.9,21163.7
Auquan-SEIR,,,,,349.7,349.7,336.0,285.3,,,,,598007.8,594938.9,516125.0,236806.5
