,perc_error_2020-04-20_2020-05-02,perc_error_2020-04-27_2020-05-09,perc_error_2020-05-04_2020-05-16,perc_error_2020-05-11_2020-05-23,perc_error_2020-05-18_2020-05-30,perc_error_2020-05-25_2020-06-06,perc_error_2020-06-01_2020-06-13,perc_error_2020-06-08_2020-06-20,perc_error_2020-06-15_2020-06-27,perc_error_2020-06-22_2020-07-04,perc_error_2020-06-29_2020-07-11,perc_error_2020-07-06_2020-07-18,perc_error_2020-07-13_2020-07-25,perc_error_2020-07-20_2020-08-01,perc_error_2020-07-27_2020-08-08,perc_error_2020-08-03_2020-08-15,perc_error_2020-08-10_2020-08-22,perc_error_2020-08-17_2020-08-29,perc_error_2020-08-24_2020-09-05,perc_error_2020-08-31_2020-09-12,perc_error_2020-09-07_2020-09-19,perc_error_2020-09-14_2020-09-26,perc_error_2020-09-21_2020-10-03,perc_error_2020-09-28_2020-10-10,perc_error_2020-10-05_2020-10-17,perc_error_2020-10-12_2020-10-24,perc_error_2020-10-19_2020-10-31,perc_error_2020-10-26_2020-11-07,perc_error_2020-11-02_2020-11-14,perc_error_2020-11-09_2020-11-21,perc_error_2020-11-16_2020-11-28,perc_error_2020-11-23_2020-12-05,perc_error_2020-11-30_2020-12-12,perc_error_2020-12-07_2020-12-19,perc_error_2020-12-14_2020-12-26,perc_error_2020-12-21_2021-01-02,perc_error_2020-12-28_2021-01-09,perc_error_2021-01-04_2021-01-16,perc_error_2021-01-11_2021-01-23,perc_error_2021-01-18_2021-01-30,perc_error_2021-01-25_2021-02-06,perc_error_2021-02-01_2021-02-13,perc_error_2021-02-08_2021-02-20,perc_error_2021-02-15_2021-02-27,perc_error_2021-02-22_2021-03-06
YYG-ParamSearch,-0.233,-0.074,-0.056,0.074,0.185,0.188,0.079,0.135,0.152,-0.000,-0.134,-0.349,-0.208,-0.236,-0.164,-0.015,0.039,0.016,-0.058,-0.025,-0.062,-0.209,-0.173,-0.050,-0.048,,,,,,,,,,,,,,,,,,,,
UMass-MechBayes,,,,,0.063,0.013,0.091,0.128,0.099,0.169,0.151,-0.118,-0.018,-0.159,-0.187,-0.072,-0.089,-0.042,-0.093,-0.047,-0.047,-0.142,-0.048,-0.013,-0.040,-0.067,-0.059,-0.051,-0.080,-0.092,0.038,0.032,-0.264,-0.130,0.017,0.008,-0.237,-0.236,-0.064,-0.071,-0.149,-0.071,0.077,0.079,-0.210
MOBS-GLEAM_COVID,-0.382,-0.370,-0.140,0.026,0.045,0.060,-0.018,-0.015,0.087,-0.010,-0.187,-0.225,-0.249,0.092,-0.057,0.346,-0.077,-0.184,-0.138,-0.082,-0.057,-0.169,-0.091,0.194,-0.123,-0.033,-0.152,-0.072,-0.195,-0.217,-0.204,-0.108,-0.266,-0.110,0.021,0.114,-0.113,-0.169,-0.018,0.074,-0.029,0.038,0.219,0.222,-0.035
OliverWyman-Navigator,,,,,,,,0.022,0.202,0.194,0.105,-0.203,-0.009,-0.130,-0.092,0.075,-0.036,0.013,-0.012,0.055,0.016,-0.154,-0.005,0.123,0.010,-0.005,-0.035,-0.006,-0.136,-0.137,-0.152,-0.051,-0.136,-0.136,0.051,0.110,-0.156,-0.182,0.138,0.088,-0.095,-0.003,0.164,0.110,-0.116
GT-DeepCOVID,,,0.724,0.012,-0.048,0.117,0.061,0.108,0.354,-0.025,0.162,-0.913,0.008,-0.129,-0.105,0.023,0.077,0.043,0.005,-0.038,0.023,-0.148,-0.002,0.136,0.048,-0.029,-0.059,-0.054,-0.137,-0.303,-0.180,-0.084,-0.208,-0.136,-0.038,0.057,-0.059,-0.183,-0.096,0.032,-0.086,-0.157,0.228,0.471,-0.335
COVIDhub-ensemble,,-0.224,-0.110,0.042,0.042,0.157,0.108,0.160,0.326,0.387,0.211,-0.247,-0.124,-0.198,-0.115,0.018,-0.048,0.008,0.016,0.078,0.020,-0.149,-0.048,0.003,-0.094,-0.095,-0.151,-0.127,-0.174,-0.260,-0.190,-0.134,-0.272,-0.160,0.039,0.119,-0.156,-0.258,-0.089,0.043,-0.058,0.012,0.188,0.247,-0.163
QJHong-Encounter,,,,,,,,,,,,0.254,0.246,-0.082,-0.061,0.110,0.067,0.020,0.024,0.032,-0.016,-0.146,-0.136,-0.001,-0.001,-0.075,-0.110,-0.102,-0.114,-0.171,-0.074,-0.056,-0.106,-0.162,-0.017,0.085,0.012,-0.044,-0.138,-0.045,-0.069,0.008,0.203,0.247,-0.087
Baseline,0.024,0.067,0.127,0.255,0.309,0.278,0.183,0.286,0.243,0.090,0.260,-0.365,-0.156,-0.290,-0.192,0.056,0.026,0.052,0.070,0.103,0.077,-0.090,0.010,0.011,-0.069,-0.114,-0.196,-0.190,-0.271,-0.332,-0.314,-0.230,-0.425,-0.192,-0.086,0.009,-0.283,-0.238,-0.037,0.022,-0.034,0.108,0.400,0.232,-0.024
CU-select,0.249,-0.043,-0.076,0.038,-0.026,0.159,0.403,0.323,0.466,0.909,1.118,0.378,-0.086,-0.260,0.062,0.120,-0.081,-0.032,-0.118,-0.028,-0.089,-0.268,-0.103,-0.043,-0.108,-0.152,-0.073,-0.064,-0.024,0.029,-0.095,-0.158,-0.392,-0.298,0.039,0.090,-0.277,-0.511,-0.428,-0.199,-0.187,-0.186,-0.037,-0.069,-0.215
Columbia_UNC-SurvCon,,,,,,,,,,,,-0.026,0.171,-0.054,-0.111,-0.040,-0.117,0.062,-0.005,0.069,0.095,-0.073,-0.033,0.181,0.164,0.029,0.039,0.040,-0.199,-0.177,-0.120,0.041,-0.105,-0.144,0.085,0.223,0.021,-0.212,-0.057,0.089,0.002,0.012,0.155,0.281,-0.165
