,mean_abs_error_2020-04-20_2020-07-18,mean_abs_error_2020-04-27_2020-07-25,mean_abs_error_2020-05-04_2020-08-01,mean_abs_error_2020-05-11_2020-08-08,mean_abs_error_2020-05-18_2020-08-15,mean_abs_error_2020-05-25_2020-08-22,mean_abs_error_2020-06-01_2020-08-29,mean_abs_error_2020-06-08_2020-09-05,mean_abs_error_2020-06-15_2020-09-12,mean_abs_error_2020-06-22_2020-09-19,mean_abs_error_2020-06-29_2020-09-26,mean_abs_error_2020-07-06_2020-10-03,mean_abs_error_2020-07-13_2020-10-10,mean_abs_error_2020-07-20_2020-10-17,mean_abs_error_2020-07-27_2020-10-24,mean_abs_error_2020-08-03_2020-10-31,mean_abs_error_2020-08-10_2020-11-07,mean_abs_error_2020-08-17_2020-11-14,mean_abs_error_2020-08-24_2020-11-21,mean_abs_error_2020-08-31_2020-11-28,mean_abs_error_2020-09-07_2020-12-05,mean_abs_error_2020-09-14_2020-12-12,mean_abs_error_2020-09-21_2020-12-19,mean_abs_error_2020-09-28_2020-12-26,mean_abs_error_2020-10-05_2021-01-02,mean_abs_error_2020-10-12_2021-01-09,mean_abs_error_2020-10-19_2021-01-16,mean_abs_error_2020-10-26_2021-01-23,mean_abs_error_2020-11-02_2021-01-30,mean_abs_error_2020-11-09_2021-02-06,mean_abs_error_2020-11-16_2021-02-13,mean_abs_error_2020-11-23_2021-02-20,mean_abs_error_2020-11-30_2021-02-27,mean_abs_error_2020-12-07_2021-03-06,mean_sq_abs_error_2020-04-20_2020-07-18,mean_sq_abs_error_2020-04-27_2020-07-25,mean_sq_abs_error_2020-05-04_2020-08-01,mean_sq_abs_error_2020-05-11_2020-08-08,mean_sq_abs_error_2020-05-18_2020-08-15,mean_sq_abs_error_2020-05-25_2020-08-22,mean_sq_abs_error_2020-06-01_2020-08-29,mean_sq_abs_error_2020-06-08_2020-09-05,mean_sq_abs_error_2020-06-15_2020-09-12,mean_sq_abs_error_2020-06-22_2020-09-19,mean_sq_abs_error_2020-06-29_2020-09-26,mean_sq_abs_error_2020-07-06_2020-10-03,mean_sq_abs_error_2020-07-13_2020-10-10,mean_sq_abs_error_2020-07-20_2020-10-17,mean_sq_abs_error_2020-07-27_2020-10-24,mean_sq_abs_error_2020-08-03_2020-10-31,mean_sq_abs_error_2020-08-10_2020-11-07,mean_sq_abs_error_2020-08-17_2020-11-14,mean_sq_abs_error_2020-08-24_2020-11-21,mean_sq_abs_error_2020-08-31_2020-11-28,mean_sq_abs_error_2020-09-07_2020-12-05,mean_sq_abs_error_2020-09-14_2020-12-12,mean_sq_abs_error_2020-09-21_2020-12-19,mean_sq_abs_error_2020-09-28_2020-12-26,mean_sq_abs_error_2020-10-05_2021-01-02,mean_sq_abs_error_2020-10-12_2021-01-09,mean_sq_abs_error_2020-10-19_2021-01-16,mean_sq_abs_error_2020-10-26_2021-01-23,mean_sq_abs_error_2020-11-02_2021-01-30,mean_sq_abs_error_2020-11-09_2021-02-06,mean_sq_abs_error_2020-11-16_2021-02-13,mean_sq_abs_error_2020-11-23_2021-02-20,mean_sq_abs_error_2020-11-30_2021-02-27,mean_sq_abs_error_2020-12-07_2021-03-06
Covid19Sim-Simulator,,,,,,859.3,938.2,955.2,746.4,715.3,832.2,813.7,743.9,614.8,553.0,404.8,,,961.6,690.9,886.5,1205.3,1509.7,1592.8,1468.1,1806.9,2359.6,1872.9,1753.6,2020.6,,2158.9,1961.3,1591.0,,,,,,3531437.3,4157635.7,4418612.1,3195588.4,2654162.7,6307694.4,7723632.5,4258355.7,2035981.0,1552372.7,418951.5,,,2310792.7,1033396.2,1761254.5,3201057.7,4982400.8,5456499.7,5339072.7,7315828.1,12890966.8,10471533.5,12138951.9,14064252.1,,14493716.0,13363738.9,7525362.7
IowaStateLW-STEM,,837.1,1015.1,,1003.8,992.9,1114.5,1070.5,937.5,905.5,1002.8,787.7,710.9,554.6,663.9,659.8,,768.3,879.7,772.0,910.5,909.8,1160.9,1744.3,1986.9,2298.5,2694.0,2788.2,2870.4,2948.2,2851.4,2091.9,2210.5,2065.5,,1801446.0,2733932.3,,3708669.0,3898774.9,5500874.1,5304169.6,4208115.8,3655856.3,5391545.1,2738792.5,2019431.5,711329.1,1509530.2,2100658.5,,1952635.6,2313591.8,1305592.7,1671371.0,1947391.5,3264576.7,5998980.1,8007683.8,11057441.1,15644694.8,18328434.1,21405860.9,24438897.3,26334919.1,18406241.0,20962564.0,19175366.4
Baseline,2087.1,2075.8,1996.4,1904.3,1704.7,1459.3,1306.6,1298.9,1104.3,983.0,1367.1,874.0,657.3,496.6,444.3,830.2,796.8,849.5,827.6,829.7,916.6,1028.5,1216.6,1398.5,1664.5,1996.6,2339.6,2494.0,2760.8,2854.7,2752.5,2320.7,2454.6,2006.4,61298416.6,36383835.5,23639574.2,17526357.1,12321115.0,6888006.1,5329436.1,5485048.1,4829184.3,4172996.7,16373309.6,4016546.4,1763808.1,742416.0,675338.2,4502840.0,3534337.4,3051444.1,2452478.7,1572893.6,1865565.4,2256516.6,3236331.2,4453238.5,5806432.5,8749367.1,12639421.3,15453363.6,20562019.6,22583320.2,24302768.5,19996109.4,24516738.9,17153023.8
IHME-CurveFit,1440.5,1416.3,764.7,673.9,,,,876.7,661.6,517.0,676.3,634.6,,568.5,516.8,606.0,759.1,,1153.2,1249.6,1339.7,,1305.3,1380.4,,,1252.1,1343.6,,,,1318.0,,1216.2,5970443.5,5718832.3,1716556.3,1863118.1,,,,3261464.6,2445112.0,828621.8,1939226.6,1545745.2,,754129.3,482197.4,1363820.4,2040255.9,,8316759.0,7971872.9,7626385.6,,6511627.3,7776323.6,,,3578231.7,5187523.8,,,,6616159.2,,3344051.0
UCLA-SuEIR,,,873.4,878.4,749.4,821.1,830.7,925.6,962.2,980.1,1030.3,940.6,626.1,613.5,482.2,457.9,668.3,630.6,645.3,730.4,950.2,1247.3,1489.3,1704.1,2029.7,2368.9,2784.9,3056.9,3232.7,3307.7,3473.2,2249.6,2457.1,2032.8,,,2521783.5,3287027.2,2729860.3,3326011.4,3429250.8,4618874.3,5201736.1,5052742.5,4627956.7,4633692.7,1667797.5,1753825.3,643345.7,678718.5,1184508.8,827848.0,793674.2,1063989.6,1769029.7,3106641.1,4549348.9,5953318.0,8432826.6,11667935.6,16483133.0,20779172.5,25591095.6,27661123.5,32482149.9,20314811.5,24784534.8,17355272.0
YYG-ParamSearch,,,,,,,,,776.6,673.6,654.2,,397.1,426.5,354.5,309.4,,,,,,,,,,,,,,,,,,,,,,,,,,,3031468.0,2457841.5,2482158.1,,568181.4,581485.7,314871.5,180963.0,,,,,,,,,,,,,,,,,,
USACE-ERDC_SEIR,,,,,963.4,987.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3143237.6,3872974.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USC-SI_kJalpha,,,,,,,,,,,1001.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8003408.4,,,,,,,,,,,,,,,,,,,,,,,
