,perc_error_2020-05-25_2020-10-03,perc_error_2020-06-01_2020-10-10,perc_error_2020-06-08_2020-10-17,perc_error_2020-06-15_2020-10-24,perc_error_2020-06-22_2020-10-31,perc_error_2020-06-29_2020-11-07,perc_error_2020-07-06_2020-11-14,perc_error_2020-07-13_2020-11-21,perc_error_2020-07-20_2020-11-28,perc_error_2020-07-27_2020-12-05,perc_error_2020-08-03_2020-12-12,perc_error_2020-08-10_2020-12-19,perc_error_2020-08-17_2020-12-26,perc_error_2020-08-24_2021-01-02,perc_error_2020-08-31_2021-01-09,perc_error_2020-09-07_2021-01-16,perc_error_2020-09-14_2021-01-23,perc_error_2020-09-21_2021-01-30,perc_error_2020-09-28_2021-02-06,perc_error_2020-10-05_2021-02-13,perc_error_2020-10-12_2021-02-20,perc_error_2020-10-19_2021-02-27,perc_error_2020-10-26_2021-03-06
Baseline,0.421,0.176,0.089,-0.091,-0.267,-0.021,-0.419,-0.189,-0.210,-0.115,0.022,-0.120,-0.199,-0.291,-0.397,-0.478,-0.581,-0.586,-0.624,-0.661,-0.665,-0.684,-0.650
IHME-CurveFit,,,0.023,0.182,-0.064,-0.309,-0.214,,-0.125,-0.261,-0.203,0.066,,0.186,0.152,0.214,,0.039,0.018,,,-0.243,-0.256
Covid19Sim-Simulator,-0.564,-0.599,-0.601,-0.412,-0.410,0.605,0.541,0.456,0.178,-0.002,-0.306,,-0.692,-0.797,-0.762,-0.767,-0.809,-0.873,-0.847,-0.545,-0.576,-0.813,-0.028
STH-3PU,,,,-0.342,-0.613,-0.695,-0.660,-0.672,0.278,0.057,0.408,-0.352,-0.403,-0.461,-0.515,-0.838,-0.629,-0.670,,-0.714,-0.713,-0.721,-0.735
IowaStateLW-STEM,,,,,,,-0.183,-0.238,-0.406,-0.400,-0.391,,-0.523,-0.510,-0.541,-0.631,-0.595,-0.647,-0.818,-0.727,-0.733,-0.770,-0.715
