,mean_abs_error_2020-06-01_2020-10-17,mean_abs_error_2020-06-08_2020-10-17,mean_abs_error_2020-06-15_2020-10-17,mean_abs_error_2020-06-22_2020-10-17,mean_abs_error_2020-06-29_2020-10-17,mean_abs_error_2020-07-06_2020-10-17,mean_abs_error_2020-07-13_2020-10-17,mean_abs_error_2020-07-20_2020-10-17,mean_abs_error_2020-07-27_2020-10-17,mean_abs_error_2020-08-03_2020-10-17,mean_abs_error_2020-08-10_2020-10-17,mean_abs_error_2020-08-17_2020-10-17,mean_abs_error_2020-08-24_2020-10-17,mean_abs_error_2020-08-31_2020-10-17,mean_abs_error_2020-09-07_2020-10-17,mean_abs_error_2020-09-14_2020-10-17,mean_abs_error_2020-09-21_2020-10-17,mean_abs_error_2020-09-28_2020-10-17,mean_abs_error_2020-10-05_2020-10-17,mean_abs_error_2020-10-12_2020-10-17,mean_sq_abs_error_2020-06-01_2020-10-17,mean_sq_abs_error_2020-06-08_2020-10-17,mean_sq_abs_error_2020-06-15_2020-10-17,mean_sq_abs_error_2020-06-22_2020-10-17,mean_sq_abs_error_2020-06-29_2020-10-17,mean_sq_abs_error_2020-07-06_2020-10-17,mean_sq_abs_error_2020-07-13_2020-10-17,mean_sq_abs_error_2020-07-20_2020-10-17,mean_sq_abs_error_2020-07-27_2020-10-17,mean_sq_abs_error_2020-08-03_2020-10-17,mean_sq_abs_error_2020-08-10_2020-10-17,mean_sq_abs_error_2020-08-17_2020-10-17,mean_sq_abs_error_2020-08-24_2020-10-17,mean_sq_abs_error_2020-08-31_2020-10-17,mean_sq_abs_error_2020-09-07_2020-10-17,mean_sq_abs_error_2020-09-14_2020-10-17,mean_sq_abs_error_2020-09-21_2020-10-17,mean_sq_abs_error_2020-09-28_2020-10-17,mean_sq_abs_error_2020-10-05_2020-10-17,mean_sq_abs_error_2020-10-12_2020-10-17
JCB-PRM,,,,,,,,,,,,,,,118.9,121.0,79.4,57.3,43.3,21.9,,,,,,,,,,,,,,,62063.2,55357.4,24202.7,9271.9,4098.0,970.8
YYG-ParamSearch,,,,,,,439.7,426.5,321.9,234.1,208.9,165.1,186.0,161.5,147.2,144.3,95.3,63.5,29.2,,,,,,,,633089.7,581485.7,271623.0,118842.8,123938.3,63470.7,126487.7,108329.9,89654.7,79267.4,26340.3,9186.3,1816.5,
USC-SI_kJalpha,,,,,,,,,,,,,293.6,217.9,156.8,127.3,90.3,72.1,41.7,23.8,,,,,,,,,,,,,292481.3,208879.6,65265.7,42419.3,20132.2,12073.1,4530.0,1706.7
Baseline,2003.9,1868.4,1476.9,1194.2,1625.4,973.4,692.8,496.6,363.3,619.1,491.3,453.3,341.5,260.0,187.9,130.6,107.0,74.1,37.8,18.7,12571724.2,10923602.3,8070858.6,5857143.4,24010508.8,4661625.1,1891298.0,742416.0,498537.9,2713862.2,1608933.3,1028642.8,639485.2,222478.7,152848.3,43470.7,31551.5,12538.6,3162.4,894.8
JHU_IDD-CovidSP,,,,,,,,,,,,,,,167.7,114.0,88.1,63.1,52.2,26.1,,,,,,,,,,,,,,,88624.1,33735.5,16642.5,7751.3,6169.6,2066.9
UCLA-SuEIR,,,,,,,674.1,613.5,426.9,338.1,397.1,288.4,238.3,202.8,158.4,118.4,107.8,66.8,48.3,30.6,,,,,,,1826773.9,1753825.3,563427.3,465761.7,518388.0,196182.5,137202.5,80643.2,63048.8,34142.4,24375.3,9041.9,5354.2,2341.6
Karlen-pypm,,,,,,,,,,,,,,,,126.9,95.4,61.4,36.3,23.9,,,,,,,,,,,,,,,,66191.6,39947.1,15005.5,2989.6,1516.4
UMass-MechBayes,,,,,,,,,,,,,,,,,86.1,53.2,37.0,16.2,,,,,,,,,,,,,,,,,20643.9,7795.2,4383.0,731.6
COVIDhub-ensemble,,,,,,,,,,,,,,,,,79.5,58.3,36.1,19.0,,,,,,,,,,,,,,,,,16305.4,8003.7,3154.3,1051.5
LNQ-ens1,,,,,,,,,,,,,,,,,94.2,54.8,38.7,15.3,,,,,,,,,,,,,,,,,20751.5,6739.9,4395.2,549.9
CMU-TimeSeries,,,,,,,,,,,,,,,,,91.7,65.3,37.5,23.2,,,,,,,,,,,,,,,,,18031.1,8510.7,3400.3,1675.0
CovidAnalytics-DELPHI,,,,,,,,,,,,,,254.3,207.8,166.1,129.5,95.2,50.9,22.9,,,,,,,,,,,,,,224378.7,112300.5,65544.3,39115.5,18811.9,6957.2,1501.5
Covid19Sim-Simulator,1372.9,1304.8,1034.9,929.0,1429.0,1164.1,876.7,614.8,489.6,319.0,,,470.2,176.0,179.4,130.9,117.4,77.6,54.2,86.2,8183382.3,7521663.5,5067526.6,3643659.3,21944340.5,14896945.7,5753849.4,2035981.0,1223018.3,265777.1,,,987195.4,153503.8,161764.1,59157.1,35239.2,14349.1,6699.3,19624.2
