,perc_error_2020-04-20_2020-05-30,perc_error_2020-04-27_2020-05-30,perc_error_2020-05-04_2020-05-30,perc_error_2020-05-11_2020-05-30,perc_error_2020-05-18_2020-05-30,perc_error_2020-05-25_2020-05-30
YYG-ParamSearch,-0.224,-0.027,0.003,0.127,0.168,0.064
LANL-GrowthRate,,0.259,0.090,-0.190,-0.042,0.005
COVIDhub-ensemble,,,-0.030,0.064,0.024,0.073
MOBS_NEU-GLEAM_COVID,,,-0.160,0.031,0.027,0.031
Baseline_0.98,-0.046,0.017,0.068,0.164,0.169,0.104
CU-select,0.201,0.200,0.149,0.098,-0.044,0.138
UCLA-SuEIR,,,-0.147,0.028,0.178,0.025
GT-DeepCOVID,,,,0.059,-0.066,0.089
UT-Mobility,-0.697,-0.534,-0.309,-0.057,-0.211,0.113
UMass-MechBayes,,,,,0.045,-0.062
MIT_CovidAnalytics-DELPHI,,,0.196,0.324,0.265,0.021
Baseline,0.388,0.392,0.372,0.401,0.316,0.161
PSI-DRAFT,,,,,0.123,-0.396
IHME-CurveFit,-0.608,-0.648,0.172,0.216,0.319,
Imperial-combined,,,,,,0.102
UA-EpiCovDA,,,,,0.247,0.248
IowaStateLW-STEM,,,-0.368,,0.221,0.369
Geneva-DetGrowth,,,,,,-0.172
USACE-ERDC_SEIR,,,,,-0.318,-0.362
JHU_IDD-CovidSP,,,,,1.216,0.295
Covid19Sim-Simulator,,,,,,-0.544
