,perc_error_2020-04-20_2020-05-16,perc_error_2020-04-27_2020-05-16,perc_error_2020-05-04_2020-05-16,perc_error_2020-05-11_2020-05-16
Baseline_0.98,-0.058,-0.015,0.013,0.090
YYG-ParamSearch,-0.245,-0.084,-0.108,-0.124
Baseline,0.210,0.185,0.140,0.146
CU-select,0.248,0.050,-0.129,-0.182
MOBS_NEU-GLEAM_COVID,-0.437,-0.422,-0.193,-0.107
COVIDhub-ensemble,,-0.206,-0.163,-0.124
LANL-GrowthRate,,0.229,0.009,-0.318
MIT_CovidAnalytics-DELPHI,,,0.026,0.217
UCLA-SuEIR,,,-0.177,-0.163
IHME-CurveFit,-0.516,-0.573,0.203,0.232
GT-DeepCOVID,,,0.671,-0.137
UT-Mobility,-0.652,-0.572,-0.552,-0.246
Imperial-combined,,,,0.162
IowaStateLW-STEM,,,-0.403,
Geneva-DetGrowth,,,,-0.481
JHU_IDD-CovidSP,,2.289,,
