,mean_abs_error_2020-07-20_2020-12-05,mean_abs_error_2020-07-27_2020-12-05,mean_abs_error_2020-08-03_2020-12-05,mean_abs_error_2020-08-10_2020-12-05,mean_abs_error_2020-08-17_2020-12-05,mean_abs_error_2020-08-24_2020-12-05,mean_abs_error_2020-08-31_2020-12-05,mean_abs_error_2020-09-07_2020-12-05,mean_abs_error_2020-09-14_2020-12-05,mean_abs_error_2020-09-21_2020-12-05,mean_abs_error_2020-09-28_2020-12-05,mean_abs_error_2020-10-05_2020-12-05,mean_abs_error_2020-10-12_2020-12-05,mean_abs_error_2020-10-19_2020-12-05,mean_abs_error_2020-10-26_2020-12-05,mean_abs_error_2020-11-02_2020-12-05,mean_abs_error_2020-11-09_2020-12-05,mean_abs_error_2020-11-16_2020-12-05,mean_abs_error_2020-11-23_2020-12-05,mean_abs_error_2020-11-30_2020-12-05,mean_sq_abs_error_2020-07-20_2020-12-05,mean_sq_abs_error_2020-07-27_2020-12-05,mean_sq_abs_error_2020-08-03_2020-12-05,mean_sq_abs_error_2020-08-10_2020-12-05,mean_sq_abs_error_2020-08-17_2020-12-05,mean_sq_abs_error_2020-08-24_2020-12-05,mean_sq_abs_error_2020-08-31_2020-12-05,mean_sq_abs_error_2020-09-07_2020-12-05,mean_sq_abs_error_2020-09-14_2020-12-05,mean_sq_abs_error_2020-09-21_2020-12-05,mean_sq_abs_error_2020-09-28_2020-12-05,mean_sq_abs_error_2020-10-05_2020-12-05,mean_sq_abs_error_2020-10-12_2020-12-05,mean_sq_abs_error_2020-10-19_2020-12-05,mean_sq_abs_error_2020-10-26_2020-12-05,mean_sq_abs_error_2020-11-02_2020-12-05,mean_sq_abs_error_2020-11-09_2020-12-05,mean_sq_abs_error_2020-11-16_2020-12-05,mean_sq_abs_error_2020-11-23_2020-12-05,mean_sq_abs_error_2020-11-30_2020-12-05
USC-SI_kJalpha,,,,,,,,,,,,,572.1,502.2,402.1,327.9,211.3,152.9,95.9,66.5,,,,,,,,,,,,,814205.1,637897.3,411974.9,326857.8,121491.0,83539.7,31900.3,10554.9
Karlen-pypm,,,,,,,,,,,,,,,,253.0,169.4,150.9,85.3,54.6,,,,,,,,,,,,,,,,171066.7,86924.2,73415.8,28730.4,9047.7
JCB-PRM,,,,,,,,,,,,,568.9,575.7,431.9,380.4,278.6,165.8,102.3,71.8,,,,,,,,,,,,,753474.3,804596.7,536987.5,431323.7,225335.9,106626.1,41269.6,14418.0
BPagano-RtDriven,,,,,,,,,,,,672.3,636.5,564.7,449.6,388.5,280.5,189.5,127.9,47.2,,,,,,,,,,,,850394.1,932005.4,973476.0,454921.7,307818.5,159770.4,104054.0,52057.8,5905.8
JHUAPL-Bucky,,,,,,,,,,,,,619.3,492.7,345.9,359.3,257.3,209.2,204.0,80.1,,,,,,,,,,,,,927692.0,664155.7,325540.1,349571.8,193567.1,118599.7,121724.6,20210.3
IowaStateLW-STEM,1426.8,1494.2,1410.0,,1268.1,1227.2,964.5,910.5,690.2,684.2,869.0,813.3,758.7,738.0,580.2,476.5,378.4,256.5,93.5,54.4,3849907.0,5319008.8,5457791.4,,3887572.6,3585638.6,1954664.8,1671371.0,1145955.5,1164642.3,1545728.1,1414069.2,1232325.2,1120631.0,784409.5,565976.4,402866.3,193481.5,35931.2,8781.4
UMass-MechBayes,,,,,,,,,,,,,,,,,197.0,130.0,81.7,92.6,,,,,,,,,,,,,,,,,117274.1,58936.7,28830.5,22374.0
OliverWyman-Navigator,,,,,,,,,,,,,,,,,236.2,176.5,94.9,62.4,,,,,,,,,,,,,,,,,167620.7,113163.6,37704.3,11835.7
Covid19Sim-Simulator,1355.4,1119.0,971.6,,,1389.3,919.4,886.5,921.2,915.2,771.7,598.3,574.0,602.5,397.0,306.2,230.8,,196.9,109.1,6297280.7,4207938.0,2150432.8,,,4174637.1,1765005.0,1761254.5,1912182.6,1849412.1,1319238.7,984339.5,869702.2,883889.3,482110.8,328633.2,189417.7,,130934.9,27409.0
Caltech-CS156,,,,,,,,,,,,,,,,,244.9,175.1,89.7,81.4,,,,,,,,,,,,,,,,,200246.6,106765.3,34836.9,17462.0
LNQ-ens1,,,,,,,,,,,,,,,,,228.4,147.7,90.7,102.6,,,,,,,,,,,,,,,,,146558.4,69847.5,33255.8,25302.6
Google_Harvard-CPF,,,,,,,,,,,,,,,,,244.1,199.6,93.8,76.1,,,,,,,,,,,,,,,,,173694.7,131371.1,33604.2,18437.6
LANL-GrowthRate,,,,,,,,,,,,,,855.8,749.4,405.0,272.0,205.1,128.3,96.1,,,,,,,,,,,,,,1476683.2,1249729.1,425595.8,174987.9,98760.0,58625.0,22713.2
CU-select,,,,,,,,,,,,,,,,,225.1,143.2,109.9,107.6,,,,,,,,,,,,,,,,,176577.1,56002.0,35469.4,29270.7
COVIDhub-ensemble,,,,,,,,,,,,,,,,,288.6,184.8,79.8,82.4,,,,,,,,,,,,,,,,,242852.1,115620.2,34884.9,18385.6
MSRA-DeepST,,,,,,,,,,,,,,,,,262.4,227.3,70.9,84.0,,,,,,,,,,,,,,,,,230909.6,145871.6,26535.9,18330.4
COVIDhub-baseline,,,,,,,,,,,,,596.0,628.7,503.0,472.6,375.6,285.0,127.0,106.4,,,,,,,,,,,,,927174.9,983635.4,652174.9,646189.4,361524.6,213529.2,60716.9,26172.9
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,266.3,201.6,114.7,76.0,,,,,,,,,,,,,,,,,218278.3,130726.8,48912.2,16324.7
GT-DeepCOVID,,,,,,,,,,,,,,,,,297.4,190.1,116.5,69.0,,,,,,,,,,,,,,,,,258880.1,119616.7,48108.4,15706.3
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,258.3,190.5,130.0,74.5,,,,,,,,,,,,,,,,,231373.0,125186.3,50849.8,12669.7
CMU-TimeSeries,,,,,,,,,,,,,,,,,259.6,240.9,98.8,96.9,,,,,,,,,,,,,,,,,193720.1,168919.4,41279.5,22102.5
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,278.0,214.0,117.9,80.6,,,,,,,,,,,,,,,,,228364.2,139825.1,50874.9,17883.8
JHU_CSSE-DECOM,,,,,,,,,,,,,,,,,318.8,190.0,122.9,83.1,,,,,,,,,,,,,,,,,285328.9,116441.1,43383.6,18841.8
MIT_CritData-GBCF,,,,,,,,,,,,,,,,,380.2,274.7,98.5,62.5,,,,,,,,,,,,,,,,,423249.5,227545.6,33306.7,11856.2
Baseline,1171.8,1165.5,1537.8,1435.9,1365.6,1170.2,1001.1,916.6,814.4,793.8,729.8,693.3,650.7,632.0,519.0,476.1,381.6,285.8,127.0,119.3,2958145.3,3127984.9,10195943.4,7103295.5,5401892.2,3710220.8,2123156.1,1865565.4,1420464.6,1343251.6,1264226.7,1031538.3,1041258.8,953953.0,680358.9,627095.3,365928.3,212567.0,60666.5,33014.6
UA-EpiCovDA,,,,,,,,,,,,,,,,,275.4,182.4,119.0,128.8,,,,,,,,,,,,,,,,,238422.0,109829.1,64369.7,42361.7
Columbia_UNC-SurvCon,,,,,,,,,,,,,837.2,720.6,665.5,470.3,297.3,331.8,179.9,241.5,,,,,,,,,,,,,1316753.1,1365988.1,2017470.3,703061.2,208009.3,343223.4,84492.1,121072.9
CovidAnalytics-DELPHI,,,,,,,,,,,,,,883.4,614.3,546.1,448.0,318.5,159.7,97.1,,,,,,,,,,,,,,1626523.7,888190.5,737816.5,519102.2,277581.5,81923.7,27963.5
JHU_IDD-CovidSP,,,,,,,,,,,,,,,617.0,600.4,556.2,195.6,145.2,127.7,,,,,,,,,,,,,,,808597.5,802037.5,691344.5,105888.8,55779.9,42292.9
UCSB-ACTS,,,,,,,,,,,,,,,,,395.1,288.8,205.6,60.3,,,,,,,,,,,,,,,,,486319.9,263622.1,95339.6,12505.9
CEID-Walk,,,,,,,,,,,,,,,,,377.8,285.4,128.6,107.1,,,,,,,,,,,,,,,,,361513.9,209785.6,62669.8,26121.8
UCLA-SuEIR,,,,,,,936.7,950.2,954.0,882.3,825.5,827.3,789.2,763.9,667.0,573.2,445.2,376.4,124.1,119.0,,,,,,,1843488.3,1769029.7,1847824.1,1680799.3,1491320.5,1484080.7,1353426.2,1290299.6,1022950.8,846108.3,446954.8,372562.4,55063.5,33018.0
epiforecasts-ensemble1,,,,,,,,,,,,,,,,,339.9,271.0,168.2,124.8,,,,,,,,,,,,,,,,,317010.8,196101.6,92432.9,41478.2
DDS-NBDS,,,,,,,,,,,,,,,,,389.6,308.5,123.4,113.8,,,,,,,,,,,,,,,,,415179.3,258730.7,60078.2,33800.9
UT-Mobility,,,,,,,,,,,,,,,,,416.8,281.1,146.2,108.4,,,,,,,,,,,,,,,,,419145.3,204270.0,60111.2,24733.4
PSI-DRAFT,,,,,,,,,,,,,,,666.2,471.6,455.1,350.1,229.2,146.0,,,,,,,,,,,,,,,1090603.7,658093.4,531816.5,311812.0,148657.6,56304.5
NotreDame-mobility,,,,,,,,,,,,,,,624.8,538.1,474.4,304.0,219.3,136.8,,,,,,,,,,,,,,,963531.3,722539.5,569868.5,206688.5,128024.7,51669.9
RobertWalraven-ESG,,,,,,,,,,,,,,,,,303.2,276.5,186.7,217.6,,,,,,,,,,,,,,,,,202001.4,216694.7,102257.0,113747.6
IHME-CurveFit,1440.7,1219.7,1044.8,1284.6,,1433.1,1340.4,1339.7,,966.2,945.0,,,512.6,470.4,,,,169.8,,4789614.8,3289975.0,2473045.7,6468354.4,,12137194.8,9792573.7,7626385.6,,3268286.0,3313772.0,,,652701.2,624966.8,,,,82296.1,
UChicagoCHATTOPADHYAY-UnIT,,,,,,,,,,,,,,,,,,,107.2,120.5,,,,,,,,,,,,,,,,,,,33041.3,33295.4
UMich-RidgeTfReg,,,,,,,,,,,,,,,,,398.9,291.9,153.8,,,,,,,,,,,,,,,,,,423749.4,240826.9,82095.7,
USC-SI_kJalpha_RF,,,,,,,,,,,,,,,,,365.2,,,,,,,,,,,,,,,,,,,,415856.7,,,
USACE-ERDC_SEIR,,,,,,,,,,,,,606.8,,508.3,,,661.5,549.6,317.1,,,,,,,,,,,,,1262437.7,,970785.9,,,1589748.7,1065747.7,363587.8
Geneva-DetGrowth,,,,,,,,,,,,,,,,,,,,86.2,,,,,,,,,,,,,,,,,,,,19695.1
IQVIA_ACOE-STAN,,,,,,,,,,,,,,,,,,,169.7,123.3,,,,,,,,,,,,,,,,,,,81600.2,31591.3
WalmartLabsML-LogForecasting,,,,,,,,,,,,,1025.2,928.5,839.0,760.0,656.9,541.1,371.2,237.1,,,,,,,,,,,,,2032060.2,1734124.7,1447704.5,1222899.0,909400.8,613592.3,297859.4,114337.4
JHU_UNC_GAS-StatMechPool,,,,,,,,,,,,,,,,,473.4,,,,,,,,,,,,,,,,,,,,701570.4,,,
TTU-squider,,,,,,,,,,,,,,,,,724.7,507.3,345.3,272.9,,,,,,,,,,,,,,,,,1766245.0,767956.3,360049.4,241451.6
MITCovAlliance-SIR,,,,,,,,,,,,,,718.1,,,,,,,,,,,,,,,,,,,,1173919.3,,,,,,
