,mean_abs_error_2020-04-20_2020-07-04,mean_abs_error_2020-04-27_2020-07-11,mean_abs_error_2020-05-04_2020-07-18,mean_abs_error_2020-05-11_2020-07-25,mean_abs_error_2020-05-18_2020-08-01,mean_abs_error_2020-05-25_2020-08-08,mean_abs_error_2020-06-01_2020-08-15,mean_abs_error_2020-06-08_2020-08-22,mean_abs_error_2020-06-15_2020-08-29,mean_abs_error_2020-06-22_2020-09-05,mean_abs_error_2020-06-29_2020-09-12,mean_abs_error_2020-07-06_2020-09-19,mean_abs_error_2020-07-13_2020-09-26,mean_abs_error_2020-07-20_2020-10-03,mean_abs_error_2020-07-27_2020-10-10,mean_abs_error_2020-08-03_2020-10-17,mean_abs_error_2020-08-10_2020-10-24,mean_abs_error_2020-08-17_2020-10-31,mean_abs_error_2020-08-24_2020-11-07,mean_abs_error_2020-08-31_2020-11-14,mean_abs_error_2020-09-07_2020-11-21,mean_abs_error_2020-09-14_2020-11-28,mean_abs_error_2020-09-21_2020-12-05,mean_abs_error_2020-09-28_2020-12-12,mean_abs_error_2020-10-05_2020-12-19,mean_abs_error_2020-10-12_2020-12-26,mean_abs_error_2020-10-19_2021-01-02,mean_abs_error_2020-10-26_2021-01-09,mean_abs_error_2020-11-02_2021-01-16,mean_abs_error_2020-11-09_2021-01-23,mean_abs_error_2020-11-16_2021-01-30,mean_abs_error_2020-11-23_2021-02-06,mean_sq_abs_error_2020-04-20_2020-07-04,mean_sq_abs_error_2020-04-27_2020-07-11,mean_sq_abs_error_2020-05-04_2020-07-18,mean_sq_abs_error_2020-05-11_2020-07-25,mean_sq_abs_error_2020-05-18_2020-08-01,mean_sq_abs_error_2020-05-25_2020-08-08,mean_sq_abs_error_2020-06-01_2020-08-15,mean_sq_abs_error_2020-06-08_2020-08-22,mean_sq_abs_error_2020-06-15_2020-08-29,mean_sq_abs_error_2020-06-22_2020-09-05,mean_sq_abs_error_2020-06-29_2020-09-12,mean_sq_abs_error_2020-07-06_2020-09-19,mean_sq_abs_error_2020-07-13_2020-09-26,mean_sq_abs_error_2020-07-20_2020-10-03,mean_sq_abs_error_2020-07-27_2020-10-10,mean_sq_abs_error_2020-08-03_2020-10-17,mean_sq_abs_error_2020-08-10_2020-10-24,mean_sq_abs_error_2020-08-17_2020-10-31,mean_sq_abs_error_2020-08-24_2020-11-07,mean_sq_abs_error_2020-08-31_2020-11-14,mean_sq_abs_error_2020-09-07_2020-11-21,mean_sq_abs_error_2020-09-14_2020-11-28,mean_sq_abs_error_2020-09-21_2020-12-05,mean_sq_abs_error_2020-09-28_2020-12-12,mean_sq_abs_error_2020-10-05_2020-12-19,mean_sq_abs_error_2020-10-12_2020-12-26,mean_sq_abs_error_2020-10-19_2021-01-02,mean_sq_abs_error_2020-10-26_2021-01-09,mean_sq_abs_error_2020-11-02_2021-01-16,mean_sq_abs_error_2020-11-09_2021-01-23,mean_sq_abs_error_2020-11-16_2021-01-30,mean_sq_abs_error_2020-11-23_2021-02-06
YYG-ParamSearch,,,,,,,,721.9,654.6,580.9,558.4,488.9,330.9,353.4,304.1,237.6,245.7,245.0,,,,,,,,,,,,,,,,,,,,,,1880087.6,2251887.1,1980296.3,1995568.5,1733905.0,473461.8,474172.8,227689.4,119604.0,151499.3,129578.9,,,,,,,,,,,,,,
Covid19Sim-Simulator,,,,,,672.8,766.1,800.0,623.2,605.5,636.4,592.4,489.6,446.7,424.9,315.1,,,674.2,385.8,503.4,630.4,855.5,961.2,931.9,1117.2,1509.8,1244.0,1201.3,1336.8,,1833.7,,,,,,1976117.9,2671358.9,3133490.7,2362513.4,2108444.1,2677613.5,3402272.1,1989334.4,1232752.6,974339.3,265464.8,,,1453614.6,405832.4,608963.5,922969.5,1591186.9,1894908.3,2102561.6,2758315.9,4918184.3,4066690.8,5080439.9,6511996.8,,10539222.9
UCLA-SuEIR,,,625.0,626.9,536.6,617.3,647.9,757.9,786.7,818.3,860.9,797.5,542.7,508.9,379.7,335.4,470.2,412.8,420.2,438.0,535.4,660.0,822.6,1034.9,1336.8,1544.2,1844.4,2126.2,2355.6,2476.2,2738.5,1822.0,,,1122935.1,1796160.1,1209162.2,1693062.5,1964867.3,3017986.9,3687108.8,3734883.1,3505994.4,3634319.8,1370949.8,1345913.0,488841.4,462659.9,670304.5,377578.8,352208.9,374222.5,513174.4,863702.5,1429621.9,2147065.1,3544245.4,4699927.6,6799477.6,9428714.0,12817172.3,14904349.0,19644214.1,13796709.3
IHME-CurveFit,1243.8,1202.5,566.6,430.2,538.3,,,671.8,574.7,457.6,600.4,569.4,,458.1,414.1,453.7,557.6,,865.3,987.9,1030.1,,927.7,1058.5,,,822.7,969.1,,,,1126.0,4782637.6,4481810.2,857430.3,717698.3,955030.7,,,2166454.7,1922683.4,848140.7,1700961.8,1427299.1,,540636.7,322949.6,757775.7,1214390.5,,4838518.5,4352730.6,3896845.2,,3164184.7,4520374.2,,,1529721.9,2363837.3,,,,5399461.1
Baseline,1612.0,1570.4,1505.1,1453.6,1293.7,1120.7,1027.1,1053.2,924.6,841.4,1186.4,785.1,588.4,447.6,308.2,615.8,584.4,637.1,574.1,550.3,573.0,586.7,734.1,865.0,1071.0,1281.0,1524.6,1687.8,1987.0,2118.9,2149.6,1911.0,39573555.0,23303871.9,14860432.1,11005562.7,7707603.1,4183596.9,3322990.8,3719517.9,3517990.3,3223172.7,11967064.9,3355270.4,1541216.1,628186.9,374089.1,2713089.3,2170481.5,1934274.6,1585888.1,858966.3,892014.7,752625.0,1165177.7,1666361.9,2384525.8,3291960.2,4836528.6,6521537.1,9928376.7,11921068.2,14466229.3,13541371.2
IowaStateLW-STEM,,659.4,792.5,,734.0,738.1,855.7,861.0,792.3,779.6,868.1,695.1,575.1,450.2,506.0,486.0,,547.7,608.6,490.0,555.2,475.8,624.5,1078.8,1316.7,1499.2,1784.1,1918.0,2062.4,2184.3,2193.2,1690.5,,1055451.0,1767251.9,,1813551.0,2024508.9,3168375.4,3520624.2,3080898.6,2850847.9,4322558.6,2272204.7,1483736.7,520500.1,857742.0,1300973.2,,1239483.4,1544709.5,660059.9,628925.4,573756.6,940497.0,2191693.1,3288812.6,4404460.2,6323479.3,8014676.5,10425246.0,13027963.1,15763705.3,12191773.5
USACE-ERDC_SEIR,,,,,722.6,752.3,842.9,836.5,638.8,581.5,651.3,,,,,,,,,,,,,,,,,,,,,,,,,,1629012.6,2109214.5,2557487.0,2753791.2,2124852.0,1542231.7,2372770.5,,,,,,,,,,,,,,,,,,,,,
BPagano-RtDriven,,,,,,,,,,,,,,,,,,,,,,,,,1112.3,1079.9,1180.3,1449.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2356484.6,2337238.9,3252278.1,4642202.3,,,,
USC-SI_kJalpha,,,,,,,,,,,889.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8033731.9,,,,,,,,,,,,,,,,,,,,,
JHUAPL-Bucky,,,,,,,,,,,,,,,,,,,,,,,,,,1350.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3730935.6,,,,,,
