,mean_abs_error_2020-06-15_2020-10-31,mean_abs_error_2020-06-22_2020-10-31,mean_abs_error_2020-06-29_2020-10-31,mean_abs_error_2020-07-06_2020-10-31,mean_abs_error_2020-07-13_2020-10-31,mean_abs_error_2020-07-20_2020-10-31,mean_abs_error_2020-07-27_2020-10-31,mean_abs_error_2020-08-03_2020-10-31,mean_abs_error_2020-08-10_2020-10-31,mean_abs_error_2020-08-17_2020-10-31,mean_abs_error_2020-08-24_2020-10-31,mean_abs_error_2020-08-31_2020-10-31,mean_abs_error_2020-09-07_2020-10-31,mean_abs_error_2020-09-14_2020-10-31,mean_abs_error_2020-09-21_2020-10-31,mean_abs_error_2020-09-28_2020-10-31,mean_abs_error_2020-10-05_2020-10-31,mean_abs_error_2020-10-12_2020-10-31,mean_abs_error_2020-10-19_2020-10-31,mean_abs_error_2020-10-26_2020-10-31,mean_sq_abs_error_2020-06-15_2020-10-31,mean_sq_abs_error_2020-06-22_2020-10-31,mean_sq_abs_error_2020-06-29_2020-10-31,mean_sq_abs_error_2020-07-06_2020-10-31,mean_sq_abs_error_2020-07-13_2020-10-31,mean_sq_abs_error_2020-07-20_2020-10-31,mean_sq_abs_error_2020-07-27_2020-10-31,mean_sq_abs_error_2020-08-03_2020-10-31,mean_sq_abs_error_2020-08-10_2020-10-31,mean_sq_abs_error_2020-08-17_2020-10-31,mean_sq_abs_error_2020-08-24_2020-10-31,mean_sq_abs_error_2020-08-31_2020-10-31,mean_sq_abs_error_2020-09-07_2020-10-31,mean_sq_abs_error_2020-09-14_2020-10-31,mean_sq_abs_error_2020-09-21_2020-10-31,mean_sq_abs_error_2020-09-28_2020-10-31,mean_sq_abs_error_2020-10-05_2020-10-31,mean_sq_abs_error_2020-10-12_2020-10-31,mean_sq_abs_error_2020-10-19_2020-10-31,mean_sq_abs_error_2020-10-26_2020-10-31
YYG-ParamSearch,,,,,521.3,498.9,387.7,309.4,289.3,249.7,287.8,269.2,263.3,269.7,189.2,125.2,72.9,,,,,,,,779546.3,721995.3,359863.1,180963.0,186009.7,132248.6,232364.1,223143.1,199880.5,192995.0,80347.7,41984.2,13585.4,,,
USC-SI_kJalpha,,,,,,,,,,,,,261.1,258.8,174.0,148.6,94.1,72.4,55.4,26.4,,,,,,,,,,,,,157990.0,153869.3,72795.4,48433.4,24905.3,15076.2,11186.0,2732.5
JCB-PRM,,,,,,,,,,,,,201.2,209.5,158.9,114.9,104.9,77.2,62.3,29.3,,,,,,,,,,,,,132247.8,116250.6,61788.4,30845.2,24446.4,15093.8,13274.4,3875.6
Karlen-pypm,,,,,,,,,,,,,,,,143.6,95.3,71.2,51.2,27.5,,,,,,,,,,,,,,,,58782.8,20604.6,14150.7,6704.3,3307.6
Baseline,1597.6,1298.8,1807.6,1088.7,776.2,569.7,530.2,830.2,694.9,638.1,500.6,401.7,320.0,235.7,215.2,171.3,101.6,97.1,67.0,22.5,9238547.8,6520080.5,29657459.1,5209009.4,2089290.3,930015.5,887211.1,4502840.0,2833021.8,1936444.2,1254052.4,513223.1,379921.7,145073.1,114888.8,74669.2,27260.9,25726.8,10894.1,1165.3
UMass-MechBayes,,,,,,,,,,,,,,,,,90.6,67.2,49.0,22.6,,,,,,,,,,,,,,,,,20905.9,11083.3,5668.0,1259.0
OliverWyman-Navigator,,,,,,,,,,,,,,,,,86.4,81.4,57.3,20.7,,,,,,,,,,,,,,,,,21731.3,17902.3,14161.6,1444.7
COVIDhub-ensemble,,,,,,,,,,,,,,,,,98.5,67.0,58.2,22.5,,,,,,,,,,,,,,,,,23185.4,11718.6,9112.9,1374.7
JHU_IDD-CovidSP,,,,,,,,,,,,,,,152.1,128.1,118.9,97.3,76.0,42.3,,,,,,,,,,,,,,,54170.0,37405.3,31988.1,19980.7,12128.9,3832.6
JHUAPL-Bucky,,,,,,,,,,,,,,326.8,224.2,188.2,117.3,73.6,60.0,50.1,,,,,,,,,,,,,,392442.3,193701.3,131713.1,30655.6,15304.1,10906.5,11294.4
