,perc_error_2020-07-06_2020-11-21,perc_error_2020-07-13_2020-11-21,perc_error_2020-07-20_2020-11-21,perc_error_2020-07-27_2020-11-21,perc_error_2020-08-03_2020-11-21,perc_error_2020-08-10_2020-11-21,perc_error_2020-08-17_2020-11-21,perc_error_2020-08-24_2020-11-21,perc_error_2020-08-31_2020-11-21,perc_error_2020-09-07_2020-11-21,perc_error_2020-09-14_2020-11-21,perc_error_2020-09-21_2020-11-21,perc_error_2020-09-28_2020-11-21,perc_error_2020-10-05_2020-11-21,perc_error_2020-10-12_2020-11-21,perc_error_2020-10-19_2020-11-21,perc_error_2020-10-26_2020-11-21,perc_error_2020-11-02_2020-11-21,perc_error_2020-11-09_2020-11-21,perc_error_2020-11-16_2020-11-21
USC-SI_kJalpha,,,,,,,,,,,,,-0.209,-0.272,-0.221,-0.186,-0.072,-0.126,-0.126,-0.182
IBF-TimeSeries,,,,,,,,,,,,,-0.059,,-0.135,-0.164,-0.085,-0.077,0.070,0.284
BPagano-RtDriven,,,,,,,,,,,,,,-0.437,-0.303,-0.053,-0.046,-0.143,-0.091,-0.216
Columbia_UNC-SurvCon,,,,,,,,,,,,,0.129,0.131,-0.133,-0.083,-0.037,-0.246,-0.177,-0.160
Karlen-pypm,,,,,,,,,,,,,,,,-0.129,-0.021,-0.063,-0.071,-0.058
QJHong-Encounter,,,,,,,,,,,,,,-0.234,-0.186,-0.216,-0.176,-0.172,-0.171,-0.188
JCB-PRM,,,,,,,,,,,,,-0.318,-0.246,-0.200,-0.262,-0.186,-0.190,-0.168,-0.200
Covid19Sim-Simulator,0.526,0.456,0.214,0.120,-0.123,,-0.537,-0.658,-0.422,-0.432,-0.480,-0.551,-0.442,-0.181,-0.253,-0.415,-0.138,-0.094,-0.148,
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,-0.133,-0.118,-0.018,-0.058
JHUAPL-Bucky,,,,,,,,,,,,,,,-0.317,-0.250,-0.104,-0.251,-0.264,-0.228
UMass-MechBayes,,,,,,,,,,,,,,,,,-0.088,-0.133,-0.092,-0.121
CU-select,,,,,,,,,,,,,,,,,-0.137,-0.086,0.029,-0.197
