,mean_abs_error_2020-04-27_2020-08-22,mean_abs_error_2020-05-04_2020-08-22,mean_abs_error_2020-05-11_2020-08-22,mean_abs_error_2020-05-18_2020-08-22,mean_abs_error_2020-05-25_2020-08-22,mean_abs_error_2020-06-01_2020-08-22,mean_abs_error_2020-06-08_2020-08-22,mean_abs_error_2020-06-15_2020-08-22,mean_abs_error_2020-06-22_2020-08-22,mean_abs_error_2020-06-29_2020-08-22,mean_abs_error_2020-07-06_2020-08-22,mean_abs_error_2020-07-13_2020-08-22,mean_abs_error_2020-07-20_2020-08-22,mean_abs_error_2020-07-27_2020-08-22,mean_abs_error_2020-08-03_2020-08-22,mean_abs_error_2020-08-10_2020-08-22,mean_abs_error_2020-08-17_2020-08-22,mean_sq_abs_error_2020-04-27_2020-08-22,mean_sq_abs_error_2020-05-04_2020-08-22,mean_sq_abs_error_2020-05-11_2020-08-22,mean_sq_abs_error_2020-05-18_2020-08-22,mean_sq_abs_error_2020-05-25_2020-08-22,mean_sq_abs_error_2020-06-01_2020-08-22,mean_sq_abs_error_2020-06-08_2020-08-22,mean_sq_abs_error_2020-06-15_2020-08-22,mean_sq_abs_error_2020-06-22_2020-08-22,mean_sq_abs_error_2020-06-29_2020-08-22,mean_sq_abs_error_2020-07-06_2020-08-22,mean_sq_abs_error_2020-07-13_2020-08-22,mean_sq_abs_error_2020-07-20_2020-08-22,mean_sq_abs_error_2020-07-27_2020-08-22,mean_sq_abs_error_2020-08-03_2020-08-22,mean_sq_abs_error_2020-08-10_2020-08-22,mean_sq_abs_error_2020-08-17_2020-08-22
YYG-ParamSearch,,,,,,,721.9,581.4,469.2,410.2,362.6,189.9,176.4,136.1,74.7,32.1,18.3,,,,,,,1880087.6,1807856.0,1397415.3,1222534.0,1080411.7,320572.3,206070.0,89582.5,14584.3,3797.0,1222.8
Covid19Sim-Simulator,,,,,870.0,860.5,800.0,549.3,475.2,418.0,340.0,185.8,156.7,131.2,122.5,,,,,,,3540190.6,3443753.6,3133490.7,1887275.3,1431627.4,911451.0,744566.3,219390.5,174250.4,111812.4,91715.8,,
Baseline,3127.8,2706.4,2328.0,1883.8,1448.6,1166.8,1053.2,819.8,674.2,866.5,536.4,364.8,256.1,152.2,77.2,36.7,22.7,72903630.0,40968078.6,25467965.3,14971169.3,6850499.5,4317965.0,3719517.9,2819889.5,2178676.4,6360163.8,1741342.8,764778.3,335478.3,111874.1,35303.1,7662.3,2376.6
USC-SI_kJalpha,,,,,,,,,,676.4,635.5,463.2,255.7,188.9,67.4,35.6,18.4,,,,,,,,,,5927127.9,1680489.6,641462.1,212459.0,249474.3,9603.1,3903.6,1114.8
UCLA-SuEIR,,,,862.5,830.2,744.3,757.9,685.4,634.4,608.0,498.2,318.8,251.9,145.9,88.6,43.9,28.7,,,,3669910.3,3333866.6,2697871.6,3017986.9,2903709.1,2411909.4,1926609.2,1709634.4,620900.7,435795.2,129692.4,51772.4,7771.7,3603.7
CovidAnalytics-DELPHI,,,,,,,,,,,390.5,266.4,190.9,137.2,112.9,68.8,31.7,,,,,,,,,,,701334.5,398325.6,210241.8,121378.7,64826.6,21099.3,3456.9
COVIDhub-ensemble,,,,,,,,,,,,,,110.3,61.2,33.9,16.9,,,,,,,,,,,,,,73776.3,13224.6,4009.3,967.9
LNQ-ens1,,,,,,,,,,,,,,131.6,47.7,40.9,16.1,,,,,,,,,,,,,,88586.1,5238.2,7029.2,882.0
OliverWyman-Navigator,,,,,,,,,,,,,,117.8,70.5,38.2,17.5,,,,,,,,,,,,,,46978.5,17086.0,4071.4,1445.9
JCB-PRM,,,,,,,,,,,,,,111.7,81.0,44.9,20.8,,,,,,,,,,,,,,35737.1,15544.4,4236.7,1370.9
