,mean_abs_error_2020-06-22_2020-11-07,mean_abs_error_2020-06-29_2020-11-07,mean_abs_error_2020-07-06_2020-11-07,mean_abs_error_2020-07-13_2020-11-07,mean_abs_error_2020-07-20_2020-11-07,mean_abs_error_2020-07-27_2020-11-07,mean_abs_error_2020-08-03_2020-11-07,mean_abs_error_2020-08-10_2020-11-07,mean_abs_error_2020-08-17_2020-11-07,mean_abs_error_2020-08-24_2020-11-07,mean_abs_error_2020-08-31_2020-11-07,mean_abs_error_2020-09-07_2020-11-07,mean_abs_error_2020-09-14_2020-11-07,mean_abs_error_2020-09-21_2020-11-07,mean_abs_error_2020-09-28_2020-11-07,mean_abs_error_2020-10-05_2020-11-07,mean_abs_error_2020-10-12_2020-11-07,mean_abs_error_2020-10-19_2020-11-07,mean_abs_error_2020-10-26_2020-11-07,mean_abs_error_2020-11-02_2020-11-07,mean_sq_abs_error_2020-06-22_2020-11-07,mean_sq_abs_error_2020-06-29_2020-11-07,mean_sq_abs_error_2020-07-06_2020-11-07,mean_sq_abs_error_2020-07-13_2020-11-07,mean_sq_abs_error_2020-07-20_2020-11-07,mean_sq_abs_error_2020-07-27_2020-11-07,mean_sq_abs_error_2020-08-03_2020-11-07,mean_sq_abs_error_2020-08-10_2020-11-07,mean_sq_abs_error_2020-08-17_2020-11-07,mean_sq_abs_error_2020-08-24_2020-11-07,mean_sq_abs_error_2020-08-31_2020-11-07,mean_sq_abs_error_2020-09-07_2020-11-07,mean_sq_abs_error_2020-09-14_2020-11-07,mean_sq_abs_error_2020-09-21_2020-11-07,mean_sq_abs_error_2020-09-28_2020-11-07,mean_sq_abs_error_2020-10-05_2020-11-07,mean_sq_abs_error_2020-10-12_2020-11-07,mean_sq_abs_error_2020-10-19_2020-11-07,mean_sq_abs_error_2020-10-26_2020-11-07,mean_sq_abs_error_2020-11-02_2020-11-07
USC-SI_kJalpha,,,,,,,,,,,,,367.3,249.1,198.5,145.0,119.4,93.7,66.7,42.7,,,,,,,,,,,,,291712.8,132453.2,87950.0,54714.7,38232.9,36152.0,17576.7,7503.5
JCB-PRM,,,,,,,,,,,,,282.0,229.1,173.9,161.2,127.0,114.7,74.0,46.2,,,,,,,,,,,,,180563.9,112981.7,65259.9,58457.3,43598.5,42004.5,23567.8,9257.7
Karlen-pypm,,,,,,,,,,,,,,,,158.3,123.9,92.0,62.5,42.6,,,,,,,,,,,,,,,,54304.2,37185.2,23451.4,21057.5,7311.0
Baseline,1359.0,1919.3,1169.8,840.3,639.5,627.2,932.4,796.8,734.4,583.7,476.1,387.1,296.8,279.8,229.9,168.8,154.0,123.0,72.4,43.6,6934414.1,32824963.8,5642590.5,2268222.5,1120691.7,1140406.8,5509884.4,3534337.4,2448510.1,1594047.4,665442.9,506509.9,223418.6,188432.9,130797.7,64621.6,61949.2,36237.3,14797.9,8663.7
UMass-MechBayes,,,,,,,,,,,,,,,,,114.0,76.6,58.4,40.4,,,,,,,,,,,,,,,,,31879.7,15479.1,10415.2,7159.4
JHUAPL-Bucky,,,,,,,,,,,,,390.3,,236.5,156.5,121.4,103.6,85.7,64.0,,,,,,,,,,,,,511780.5,,182643.5,54648.6,39330.1,32844.3,30623.3,11976.0
OliverWyman-Navigator,,,,,,,,,,,,,,,,,123.7,97.1,54.1,40.1,,,,,,,,,,,,,,,,,39038.6,45066.8,11330.5,7122.8
MSRA-DeepST,,,,,,,,,,,,,,,,,127.2,96.4,57.8,39.0,,,,,,,,,,,,,,,,,38903.5,24597.9,11805.1,7239.3
LNQ-ens1,,,,,,,,,,,,,,,,,128.3,103.2,61.7,37.5,,,,,,,,,,,,,,,,,35873.6,27345.9,11838.9,7138.7
COVIDhub-ensemble,,,,,,,,,,,,,,,,,114.6,110.7,63.9,41.6,,,,,,,,,,,,,,,,,33170.0,30809.8,12673.4,7408.4
COVIDhub-baseline,,,,,,,,,,,,,,,,161.1,136.4,130.8,74.0,44.7,,,,,,,,,,,,,,,,62039.1,46827.0,48887.2,14587.2,8714.1
SteveMcConnell-CovidComplete,,,,,,,,,,,,,,,,,120.4,110.6,67.1,44.1,,,,,,,,,,,,,,,,,36353.0,39433.5,20058.3,7574.6
IowaStateLW-STEM,,,1084.1,1019.6,785.3,842.2,766.1,,659.1,623.4,420.2,372.9,243.1,255.2,242.5,201.3,158.7,135.0,83.1,43.5,,,4041283.4,3604140.7,1342891.9,2318393.5,2571878.0,,1583704.7,1558768.7,528217.2,325092.1,149126.3,146059.2,118870.2,87371.8,54383.7,36932.5,18102.8,6043.2
Covid19Sim-Simulator,1159.5,2341.0,1835.3,1305.4,878.2,693.2,486.6,,,688.5,328.6,332.2,290.6,276.8,212.0,187.3,151.9,142.9,76.1,57.3,4640306.8,57186365.8,34775475.2,12707667.7,3779657.0,2355556.4,573784.5,,,1483666.5,315099.2,317941.7,205816.5,167061.1,100443.2,83887.7,53704.6,45950.6,22868.1,13900.4
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,138.0,108.7,60.8,45.2,,,,,,,,,,,,,,,,,49049.6,28711.9,13143.4,8505.4
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,139.3,112.1,61.8,45.2,,,,,,,,,,,,,,,,,48577.5,29435.0,13161.6,8472.4
CU-select,,,,,,,,,,,,,,,,,131.3,89.8,69.3,56.0,,,,,,,,,,,,,,,,,37341.2,21436.8,12425.0,9498.5
