,perc_error_2020-09-21_2021-03-06,perc_error_2020-09-28_2021-03-06,perc_error_2020-10-05_2021-03-06,perc_error_2020-10-12_2021-03-06,perc_error_2020-10-19_2021-03-06,perc_error_2020-10-26_2021-03-06,perc_error_2020-11-02_2021-03-06,perc_error_2020-11-09_2021-03-06,perc_error_2020-11-16_2021-03-06,perc_error_2020-11-23_2021-03-06,perc_error_2020-11-30_2021-03-06,perc_error_2020-12-07_2021-03-06,perc_error_2020-12-14_2021-03-06,perc_error_2020-12-21_2021-03-06,perc_error_2020-12-28_2021-03-06,perc_error_2021-01-04_2021-03-06,perc_error_2021-01-11_2021-03-06,perc_error_2021-01-18_2021-03-06,perc_error_2021-01-25_2021-03-06,perc_error_2021-02-01_2021-03-06,perc_error_2021-02-08_2021-03-06,perc_error_2021-02-15_2021-03-06,perc_error_2021-02-22_2021-03-06,perc_error_2021-03-01_2021-03-06
LANL-GrowthRate,,,,,,,,,,,,,,,,,,,0.098,-0.012,-0.005,-0.093,-0.248,-0.013
USC-SI_kJalpha,,,,,,,,,,,,,,,,,,,0.063,0.024,0.010,0.089,-0.197,-0.165
FDANIHASU-Sweight,,,,,,,,,,,,,,,,,,,0.144,0.066,0.107,0.134,-0.133,-0.045
QJHong-Encounter,,,,,,,,,,,,,,,,,,0.250,0.101,0.122,0.177,0.212,-0.087,-0.019
JHUAPL-Bucky,,,,,,,,,,,,,,,,-0.432,-0.271,,-0.226,0.007,0.013,0.108,-0.163,-0.516
CovidAnalytics-DELPHI,,,,,,,,,,,,,,,,,,,0.301,0.168,0.125,0.189,-0.008,-0.080
JHU_IDD-CovidSP,,,,,,,,,,,,,,,,,,,0.134,0.055,-0.005,-0.014,-0.224,-0.822
Columbia_UNC-SurvCon,,,,,,,,,,,,,,,,,0.260,0.466,0.173,0.055,0.054,0.223,-0.165,-0.093
IHME-CurveFit,,,,,-0.236,-0.256,,,,-0.166,,-0.055,-0.206,0.069,0.101,,,0.100,0.084,0.023,-0.038,-0.150,-0.239,-0.579
SigSci-TS,,,,,,,,,,,,,,,,,,,,,0.016,0.039,-0.051,-0.063
WalmartLabsML-LogForecasting,,,,,,,,,,,,,,,,,-0.594,-0.517,-0.435,-0.331,-0.202,-0.066,-0.070,
OliverWyman-Navigator,,,,,,,,,,,,,,,,,,,,,0.185,0.124,-0.116,-0.002
Baseline,-0.602,-0.625,-0.656,-0.661,-0.680,-0.650,-0.649,-0.613,-0.559,-0.410,-0.458,-0.172,-0.100,-0.015,-0.182,-0.022,0.237,0.326,0.286,0.406,0.539,0.287,-0.024,0.081
TTU-squider,,,,,,,,,,,,,,,,,,,,,0.056,-0.029,-0.171,-0.053
IowaStateLW-STEM,,,,,-0.769,-0.715,-0.673,-0.656,-0.560,-0.322,-0.360,-0.242,0.063,0.082,0.047,-0.192,0.013,0.321,0.230,0.468,0.495,0.333,-0.087,0.045
Karlen-pypm,,,,,,,,,,,,,,,,,,,,-0.092,-0.064,-0.065,-0.187,-0.253
MOBS-GLEAM_COVID,,,,,,,,,,,,,,,,,,,,,0.219,0.202,-0.035,-0.045
MIT_ISOLAT-Mixtures,,,,,,,,,,,,,,,,,,,,,0.371,0.316,0.020,-0.017
UA-EpiCovDA,,,,,,,,,,,,,,,,,,,,,-0.134,-0.030,-0.175,-0.095
UMass-MechBayes,,,,,,,,,,,,,,,,,,,,,0.013,0.030,-0.210,-0.171
PSI-DRAFT,,,,,,,,,,,,,,,,,,,0.453,0.439,0.428,0.186,-0.077,-0.141
UCSD_NEU-DeepGLEAM,,,,,,,,,,,,,,,,,,,,,0.267,0.243,-0.038,-0.051
UCLA-SuEIR,,,,,,,,,,,-0.523,-0.154,-0.264,-0.141,-0.726,-0.496,-0.310,-0.329,-0.384,-0.174,0.016,,-0.384,0.091
