,mean_abs_error_2020-04-20_2020-05-30,mean_abs_error_2020-04-27_2020-05-30,mean_abs_error_2020-05-04_2020-05-30,mean_abs_error_2020-05-11_2020-05-30,mean_abs_error_2020-05-18_2020-05-30,mean_abs_error_2020-05-25_2020-05-30,median_abs_error_2020-04-20_2020-05-30,median_abs_error_2020-04-27_2020-05-30,median_abs_error_2020-05-04_2020-05-30,median_abs_error_2020-05-11_2020-05-30,median_abs_error_2020-05-18_2020-05-30,median_abs_error_2020-05-25_2020-05-30
YYG-ParamSearch,386.6,280.7,137.5,89.1,71.9,29.8,152.2,131.7,61.4,24.1,15.4,8.4
LANL-GrowthRate,590.8,375.4,182.0,95.0,64.1,29.8,200.9,111.0,62.6,43.0,19.7,13.0
Baseline_0.98,511.3,335.1,190.5,129.3,76.7,25.3,203.5,99.9,47.8,42.7,26.7,8.4
UMass-MechBayes,,,259.7,96.0,57.6,20.1,,,103.0,44.0,17.0,10.0
COVIDhub-ensemble,,,106.5,105.4,77.3,30.0,,,66.9,29.5,28.2,12.9
CU-select,600.9,413.3,212.5,129.0,90.4,46.4,240.0,132.0,84.0,66.0,28.0,21.3
UCLA-SuEIR,,,250.5,157.8,64.8,33.6,,,113.0,51.3,30.0,12.8
Baseline,680.8,496.8,298.1,201.6,101.9,29.9,94.7,85.6,51.7,34.6,22.0,9.6
UT-Mobility,926.8,657.9,451.4,144.6,77.8,38.1,259.9,132.7,106.7,42.5,25.7,15.0
MIT_CovidAnalytics-DELPHI,,355.5,301.3,226.0,122.2,38.8,,97.0,107.0,87.0,50.0,13.0
IHME-CurveFit,773.4,659.4,242.8,143.1,116.9,,246.3,204.4,47.0,40.8,28.0,
MOBS_NEU-GLEAM_COVID,,,456.3,295.7,113.0,38.1,,,142.4,46.9,37.9,7.7
IowaStateLW-STEM,,284.5,322.9,,130.3,78.1,,142.0,166.0,,47.0,29.0
USACE-ERDC_SEIR,,,,,133.9,75.7,,,,,34.4,13.2
JHU_IDD-CovidSP,,,,,518.9,68.3,,,,,197.7,24.6
PSI-DRAFT,,,,,164.2,106.0,,,,,37.0,19.0
Covid19Sim-Simulator,,,,,,74.2,,,,,,47.0
UA-EpiCovDA,,,,,354.7,80.6,,,,,71.0,32.0
Auquan-SEIR,,,499.4,,259.9,259.9,,,185.0,,94.0,94.0
