,perc_error_2020-04-27_2020-08-15,perc_error_2020-05-04_2020-08-22,perc_error_2020-05-11_2020-08-29,perc_error_2020-05-18_2020-09-05,perc_error_2020-05-25_2020-09-12,perc_error_2020-06-01_2020-09-19,perc_error_2020-06-08_2020-09-26,perc_error_2020-06-15_2020-10-03,perc_error_2020-06-22_2020-10-10,perc_error_2020-06-29_2020-10-17,perc_error_2020-07-06_2020-10-24,perc_error_2020-07-13_2020-10-31,perc_error_2020-07-20_2020-11-07,perc_error_2020-07-27_2020-11-14,perc_error_2020-08-03_2020-11-21,perc_error_2020-08-10_2020-11-28,perc_error_2020-08-17_2020-12-05,perc_error_2020-08-24_2020-12-12,perc_error_2020-08-31_2020-12-19,perc_error_2020-09-07_2020-12-26,perc_error_2020-09-14_2021-01-02,perc_error_2020-09-21_2021-01-09,perc_error_2020-09-28_2021-01-16,perc_error_2020-10-05_2021-01-23,perc_error_2020-10-12_2021-01-30,perc_error_2020-10-19_2021-02-06,perc_error_2020-10-26_2021-02-13,perc_error_2020-11-02_2021-02-20,perc_error_2020-11-09_2021-02-27,perc_error_2020-11-16_2021-03-06
Baseline,0.979,0.927,0.885,0.664,0.399,0.155,0.068,-0.100,-0.269,-0.009,-0.403,-0.133,-0.134,0.025,0.232,0.109,-0.011,-0.143,-0.279,-0.368,-0.499,-0.520,-0.580,-0.634,-0.655,-0.686,-0.661,-0.658,-0.619,-0.559
IHME-CurveFit,,-0.366,,,,,-0.164,-0.028,-0.160,-0.363,-0.246,,-0.086,-0.173,-0.099,0.201,,0.261,0.261,0.384,,0.132,0.072,,,-0.272,-0.287,,,
Covid19Sim-Simulator,,,,,-0.561,-0.612,-0.620,-0.409,-0.409,0.380,0.430,0.421,0.270,0.173,-0.123,,-0.603,-0.740,-0.669,-0.685,-0.744,-0.829,-0.803,-0.525,-0.558,-0.793,-0.107,-0.147,0.239,
IowaStateLW-STEM,,-0.557,,-0.579,-0.416,-0.509,-0.717,-0.561,-0.535,-0.811,-0.142,-0.182,-0.336,-0.289,-0.247,,-0.393,-0.394,-0.440,-0.544,-0.508,-0.583,-0.791,-0.699,-0.721,-0.768,-0.719,-0.678,-0.661,-0.560
STH-3PU,,,,,,,,-0.476,-0.692,-0.744,-0.712,-0.709,0.258,0.239,0.843,-0.168,-0.249,-0.336,-0.409,-0.797,-0.549,-0.608,,-0.685,-0.700,-0.719,-0.739,-0.729,,
YYG-ParamSearch,,,,,,,,,,,,-0.080,,,,,,,,,,,,,,,,,,
